,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.273,0.467
C9-e003Coalescence-mGAM-p3,0.492,0.0015573142408777593
C11-e003Coalescence-mBHI-p3,0.28,0.471
D11-e003Coalescence-mBHI-p5,0.0010345892599870384,0.9990318266972936
C9-e003Coalescence-mGAM-p7,0.886,0.0009025619864177274
C8-e003Coalescence-mGAM-p7,0.847,0.0013918053859316199
D10-e003Coalescence-mBHI-p3,0.4,0.353
F3-e004Assembly-epsilon-p3,0.567,0.01053475310535226
B2-e003Coalescence-mBHI-p3,0.571,0.04105994900900903
A8-e003Coalescence-mBHI-p3,0.9974047189198715,0.004614967766696506
e004-inoculumn-fecal-BD,0.04412674318037576,0.01722426353990529
A4-e003Coalescence-mBHI-p7,0.769,0.03361146130268672
B9-e003Coalescence-mGAM-p5,0.006104990552949483,0.0015707514363698662
A4-e003Coalescence-mBHI-inoculumn-redo,0.646,0.006903558868268407
B3-e003Coalescence-mBHI-p3,0.027,0.0005445196935159407
D4-e003Coalescence-mBHI-p5,0.02323365204233833,0.838
C2-e003Coalescence-mBHI-p5,0.6914191309034212,0.20294716301603266
B3-e004Assembly-mBHI-p7,0.9828169634212278,0.005006154823432353
B5-e004Assembly-mBHI-p7,0.011099205689496492,0.0021405272398918357
D4-e003Coalescence-mBHI-p3,0.014382270568581114,0.893
C4-e003GlycerolRevival-mBHI-p2,0.9838391294014408,0.004080212006344942
D10-e003Assembly-mGAM-p5,0.62,0.059925049405130035
B2-e003Assembly-mBHI-p5,0.8456316186685152,0.1280293946135131
C3-e004Assembly-mBHI-p5,0.9748037269678446,0.0070466311677886435
B8-e003Assembly-mGAM-p5,0.9928709935525996,0.008002730707838778
F4-e004Assembly-epsilon-p5,0.0312464362233691,0.011799277576879492
C4-e003Coalescence-mGAM-p7,0.542,0.009234881476394835
B12-e003Coalescence-mBHI-p3,0.04215869588934488,0.013625866613000828
D3-e004Assembly-mGAM-p7,0.9796008687944251,0.005791339391616199
C8-e003Assembly-mGAM-p3,0.9972982981443369,0.004075711042434309
C3-e003Coalescence-mGAM-p3,0.59,0.0015884913024655598
B4-e003Assembly-mBHI-p5,0.849,0.009406663403169997
D4-e004Assembly-mGAM-p5,0.015806137540713944,0.0059530114685354
D3-e003Coalescence-Inoculumn-mBHI,0.18450000000000003,0.333
C8-e003Assembly-mGAM-p5,0.9980816999174965,0.0031191005999952723
C3-e003Coalescence-mBHI-p7,0.467,0.003990349743730002
D11-e003Coalescence-mGAM-p5,0.0004994285336390687,0.9998332747885996
A11-e003Coalescence-mGAM-p7,0.0038481519598061033,0.9964379195240363
B8-e003Coalescence-mBHI-p5,0.3965,0.006006309616755332
B10-e003Assembly-mGAM-p5,0.9446662746961466,0.01721946114203702
C2-e003Coalescence-mGAM-p7,0.9359999999999999,0.0008136192952693612
D3-e003Coalescence-mBHI-p5,0.17049999999999998,0.292
B11-e003Coalescence-mGAM-p3,0.02100000000000002,0.952
C4-e003Coalescence-mBHI-inoculumn-redo,0.556,0.013206177972481734
B5-e003Assembly-mBHI-p5,0.00503794508773582,0.9960625520626604
D2-e003Coalescence-mBHI-p5,0.03281604972811523,0.9660156687078734
D8-e003Assembly-mGAM-p5,0.9984502018195942,0.002498433845714489
D5-e003Coalescence-mGAM-p5,0.0002460783946023569,0.9999449808910685
B5-e003Coalescence-mBHI-p5,0.21099999999999997,0.333
D5-e003Coalescence-mBHI-p7,0.014310618511223469,0.82
C9-e003Coalescence-mBHI-p5,0.697,0.012808420352429736
A5-e003Coalescence-mGAM-p3,0.00027318809982604907,0.9999083168886262
A2-e003Coalescence-Inoculumn-mGAM,0.9993738037007439,0.0011080338788947647
E5-e004Assembly-mGAM-p5,0.05576076490161199,0.016954621083834685
D8-e003Coalescence-mGAM-p5,0.04,0.955
A12-e003Coalescence-mGAM-p3,0.08499999999999996,0.895
C2-e003Coalescence-mBHI-p3,0.9562802952000709,0.015820683172582665
C4-e004Assembly-mBHI-p5,0.08792657852657322,0.03838936121025975
D9-e003Coalescence-mGAM-p7,0.0034676649744149086,0.967
D4-e003Coalescence-mBHI-p7,0.078,0.848
D8-e003Assembly-mGAM-p3,0.9958438786124604,0.005070585218383562
E4-e004Assembly-mGAM-p7,0.021926927137154547,0.00830161435154007
E3-e004Assembly-mGAM-p3,0.7155,0.006951724454780575
B10-e003Coalescence-mGAM-p3,0.5065,0.0033225190575609203
A9-e003Coalescence-mGAM-p7,0.378,0.0019304346344948262
D5-e004Assembly-mGAM-p5,0.1587086790012166,0.10199304211858633
B5-e003Coalescence-Inoculumn-mGAM,0.06000000000000005,0.8089999999999999
D10-e003Coalescence-mBHI-p5,0.4,0.273
D5-e003Coalescence-mBHI-p3,0.0013976886593497929,0.9995417335615064
C5-e003Coalescence-mBHI-p3,0.04508941548177636,0.765
D9-e003Coalescence-mGAM-p5,0.020000000000000018,0.951
C9-e003Coalescence-mBHI-p3,0.69,0.00838082023516658
D10-e003Coalescence-mGAM-p5,0.007,0.983
C8-e003Coalescence-mBHI-p7,0.9089166434920068,0.0395731980670441
B11-e003Assembly-mGAM-p5,0.001216790652149284,0.9996091657236358
