,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,2646,1622
A3-e003Coalescence-mBHI-p3,6051,3898
A3-e003Coalescence-mGAM-p7,2986,2061
B2-e003Coalescence-Inoculumn-mBHI,5927,3820
B2-e003Coalescence-mBHI-p3,6080,3911
B2-e003Coalescence-mBHI-p5,3072,1840
B2-e003Coalescence-mGAM-p3,4396,2890
E3-e003Coalescence-mBHI-p3_S10,6045,3898
E3-e003Coalescence-mBHI-p5_S2,4806,2968
E3-e003Coalescence-mGAM-p3_S58,3724,2606
E3-e003Coalescence-mGAM-p5_S50,5972,3846
E3-e003Coalescence-mGAM-p7_S146,5914,3779
F2-e003Coalescence-mBHI-p3_S21,6009,3830
F2-e003Coalescence-mBHI-p5_S13,6034,3880
F2-e003Coalescence-mGAM-p3_S69,5872,3813
F2-e003Coalescence-mGAM-p5_S61,5836,3819
