,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,587,961
A5-e003Coalescence-mBHI-inoculumn-redo,634,998
A5-e003Coalescence-mBHI-p3,587,959
A5-e003Coalescence-mBHI-p7,543,876
A5-e003Coalescence-mGAM-p3,624,991
D2-e003Coalescence-Inoculumn-mBHI,631,991
D2-e003Coalescence-mBHI-p3,628,975
D2-e003Coalescence-mBHI-p5,617,974
D2-e003Coalescence-mBHI-p7,422,582
D2-e003Coalescence-mGAM-p5,621,990
E5-e003Coalescence-mBHI-p3_S12,579,760
E5-e003Coalescence-mBHI-p5_S4,563,896
E5-e003Coalescence-mBHI-p7_S100,625,986
E5-e003Coalescence-mGAM-p3_S60,605,960
E5-e003Coalescence-mGAM-p5_S52,618,965
E5-e003Coalescence-mGAM-p7_S148,622,992
H2-e003Coalescence-mBHI-p3_S45,401,292
H2-e003Coalescence-mBHI-p7_S133,634,997
H2-e003Coalescence-mGAM-p3_S93,633,995
H2-e003Coalescence-mGAM-p5_S85,502,697
H2-e003Coalescence-mGAM-p7_S181,363,533
