,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,602,1016
A5-e003Coalescence-mBHI-inoculumn-redo,669,1081
A5-e003Coalescence-mBHI-p1_S740,669,1067
A5-e003Coalescence-mBHI-p3,618,1023
A5-e003Coalescence-mBHI-p7,569,946
A5-e003Coalescence-mGAM-p1_S744,430,769
A5-e003Coalescence-mGAM-p3,656,1061
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,540,922
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,653,971
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,537,528
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,606,983
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,666,1075
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,670,1079
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,666,1073
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,572,999
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,490,417
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,579,885
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,667,1077
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,592,739
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,665,1068
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,651,1011
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,475,835
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,662,1019
D2-e003Coalescence-Inoculumn-mBHI,665,1073
D2-e003Coalescence-mBHI-p1_S719,663,1058
D2-e003Coalescence-mBHI-p3,664,1068
D2-e003Coalescence-mBHI-p5,648,1052
D2-e003Coalescence-mBHI-p7,423,561
D2-e003Coalescence-mGAM-p1_S723,662,1072
D2-e003Coalescence-mGAM-p5,657,1071
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,544,981
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,666,1080
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,560,1007
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,559,876
E5-e003Coalescence-mBHI-p1_S804,665,1062
E5-e003Coalescence-mBHI-p3_S12,631,859
E5-e003Coalescence-mBHI-p5_S4,590,950
E5-e003Coalescence-mBHI-p7_S100,660,1036
E5-e003Coalescence-mGAM-p1_S808,602,977
E5-e003Coalescence-mGAM-p3_S60,619,1011
E5-e003Coalescence-mGAM-p5_S52,638,1003
E5-e003Coalescence-mGAM-p7_S148,655,1063
H2-e003Coalescence-mBHI-p1_S783,669,1072
H2-e003Coalescence-mBHI-p3_S45,454,343
H2-e003Coalescence-mBHI-p7_S133,668,1078
H2-e003Coalescence-mGAM-p1_S787,663,1064
H2-e003Coalescence-mGAM-p3_S93,670,1058
H2-e003Coalescence-mGAM-p5_S85,503,683
H2-e003Coalescence-mGAM-p7_S181,376,556
