,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,sel_med1,sel_lower1,sel_upper1,sel_med2,sel_lower2,sel_upper2
0,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mBHI-p1_S740,0,1,A5-AA-AF-mBHI-mBHI,-1.2134665465181875,-1.2834251351250971,-1.1118508141505856,-1.140514780322119,-1.2158584115599167,-1.0207654353174394,1.196443753936058,1.1656758826818385,1.2279722165976006
1,A5-e003Coalescence-Inoculumn-mBHI,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,0,2,A5-AA-AF-mBHI-mBHI,-0.4664495847150638,-0.4994285686109623,-0.4187077346482616,-0.43972508132654253,-0.4760044072381171,-0.38144443712351206,0.42171790459660546,0.4137873355540916,0.43785106840907034
2,A5-e003Coalescence-Inoculumn-mBHI,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,0,4,A5-AA-AF-mBHI-mBHI,-0.23758283414969972,-0.246267027335058,-0.21400516428188948,-0.21986254066327116,-0.22879780663518456,-0.19072221856175603,0.24651690241832883,0.2421246601385619,0.24873460524277471
3,A5-e003Coalescence-Inoculumn-mBHI,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,0,5,A5-AA-AF-mBHI-mBHI,-0.22212636863422608,-0.22990209504080747,-0.20126527698904215,-0.2085085213126715,-0.2167084071494223,-0.1825244987660573,0.21362064011374082,0.21174687947642568,0.21740859626098372
4,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mBHI-p7,0,7,A5-AA-AF-mBHI-mBHI,-0.055908643132374626,-0.0627358808232815,-0.041893535926689936,-0.04975809918117365,-0.05775698960256882,-0.033106486551736404,0.05771671940715377,0.0568600948094479,0.06117332526424963
5,A5-e003Coalescence-mBHI-p1_S740,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,1,2,A5-AA-AF-mBHI-mBHI,0.27631079800823954,0.20683999642781165,0.3475759313846271,0.25379048285506256,0.18233822498853947,0.3322269937957487,-0.33116445807672057,-0.38453640740438977,-0.28997374586369795
6,A5-e003Coalescence-mBHI-p1_S740,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1,4,A5-AA-AF-mBHI-mBHI,0.08844101943123468,0.06438248463034549,0.11138706620137473,0.08702153922301144,0.0607794083295133,0.11213608296894417,-0.07012538142091425,-0.0806348689747618,-0.05691248723691326
7,A5-e003Coalescence-mBHI-p1_S740,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,1,5,A5-AA-AF-mBHI-mBHI,0.026535149322497897,0.010042984591236592,0.04326563538947137,0.0244930434396905,0.006952907215220794,0.04316262084119404,-0.02972618519139586,-0.03760830085678152,-0.019658225344230007
8,A5-e003Coalescence-mBHI-p1_S740,A5-e003Coalescence-mBHI-p7,1,7,A5-AA-AF-mBHI-mBHI,0.13658261131443708,0.12306168717904245,0.14926146627055095,0.13013926223910846,0.11553842071854943,0.14464368409665485,-0.12905193222378025,-0.13531660871908152,-0.12392395368141036
9,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,2,4,A5-AA-AF-mBHI-mBHI,-0.004061541467539231,-0.031390044093004596,0.024412465547631955,0.005843235836795246,-0.02371376778062184,0.03628840282601671,0.07088577449951994,0.05077625686318399,0.07972765971281504
10,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,2,5,A5-AA-AF-mBHI-mBHI,-0.05572862447878313,-0.07390184777235634,-0.03498697512152031,-0.04991120652775397,-0.06974785488176916,-0.026280798769306526,0.07536853086999103,0.0641336879168545,0.08385329325314994
