,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p5,30017.0,10592.0
A10-e003Coalescence-mBHI-p7,41584.0,15303.0
A10-e003Coalescence-mGAM-p3,409691.0,146040.0
A4-e003Coalescence-Inoculumn-mGAM,346481.0,122197.0
C2-e003Coalescence-Inoculumn-mGAM,152299.0,54211.0
C8-e003Coalescence-mBHI-p5,173206.0,61840.0
C8-e003Coalescence-mBHI-p7,39288.0,14216.0
C8-e003Coalescence-mGAM-p7,103828.0,37483.0
E100-e003Coalescence-mBHI-p5_S7,65673.0,24712.0
E100-e003Coalescence-mBHI-p7_S103,246486.0,96611.0
E100-e003Coalescence-mGAM-p3_S155,184706.0,69356.0
E100-e003Coalescence-mGAM-p5_S55,100245.0,37046.0
E100-e003Coalescence-mGAM-p7_S151,53816.0,19892.0
G8-e003Coalescence-mBHI-p3_S129,195855.0,74068.0
G8-e003Coalescence-mBHI-p5_S29,92295.0,34717.0
G8-e003Coalescence-mBHI-p7_S125,83465.0,30971.0
G8-e003Coalescence-mGAM-p3_S177,92947.0,33817.0
G8-e003Coalescence-mGAM-p5_S77,54038.0,20942.0
G8-e003Coalescence-mGAM-p7_S173,147545.0,55457.0
