,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,14031,1558
A3-e003Coalescence-mBHI-p3,21313,2737
A3-e003Coalescence-mGAM-p7,22992,2881
B2-e003Coalescence-Inoculumn-mBHI,22379,2784
B2-e003Coalescence-mBHI-p3,22470,2837
B2-e003Coalescence-mBHI-p5,18001,2476
B2-e003Coalescence-mGAM-p3,22479,2802
E3-e003Coalescence-mBHI-p3_S10,21720,2778
E3-e003Coalescence-mBHI-p5_S2,21262,2753
E3-e003Coalescence-mGAM-p3_S58,22531,2853
E3-e003Coalescence-mGAM-p5_S50,22956,2880
E3-e003Coalescence-mGAM-p7_S146,22958,2879
F2-e003Coalescence-mBHI-p3_S21,20159,2700
F2-e003Coalescence-mBHI-p5_S13,22959,2868
F2-e003Coalescence-mGAM-p3_S69,22921,2878
F2-e003Coalescence-mGAM-p5_S61,22971,2880
F2-e003Coalescence-mGAM-p7_S157,22565,2858
