,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
0,A5-e003Coalescence-Inoculumn-mBHI,0.48591549295774644,0.4661799658260211,0.5085910652920962,0.4828807556080284,0.116975,0.19107499999999988,0.15599999999999997
1,A5-e003Coalescence-mBHI-inoculumn-redo,0.4684994272623138,0.4579328481502395,0.4816522671038296,0.4668166479190101,0.09099999999999997,0.135,0.11199999999999993
2,A5-e003Coalescence-mBHI-p1_S740,0.5555555555555556,0.5431202484206017,0.5694760820045558,0.555813953488372,0.114975,0.161025,0.139
3,A5-e003Coalescence-mBHI-p3,0.6748064324002382,0.6529126213592233,0.6955275711187596,0.6730538922155689,0.123975,0.19602500000000003,0.16200000000000003
4,A5-e003Coalescence-mBHI-p7,0.025343189017951424,0.02047303717093066,0.03412155121278676,0.025343189017951424,0.04049999999999998,0.0704999999999999,0.05399999999999994
5,A5-e003Coalescence-mGAM-p1_S744,0.3823191733639495,0.34561933534743206,0.4212962962962963,0.3908450704225352,0.07999999999999996,0.19999999999999996,0.1479999999999999
6,A5-e003Coalescence-mGAM-p3,0.2680468288087865,0.24971878515185603,0.2832625941276049,0.2662266226622662,0.06897499999999995,0.11602499999999998,0.09199999999999997
7,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,0.344092700193682,0.32061068702290074,0.3750072843822843,0.3411330049261084,0.14297500000000002,0.21802499999999994,0.18599999999999994
8,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,0.7109058050208179,0.6981675378082893,0.7267881876881909,0.7109004739336493,0.124,0.17501250000000004,0.15549999999999997
9,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,0.7340751172255838,0.7257336343115124,0.7448585485452762,0.733446519524618,0.09648750000000003,0.133,0.11599999999999999
10,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,0.6239316239316239,0.607607377522286,0.6413449564134497,0.6246172688303736,0.15998750000000003,0.21751250000000003,0.18599999999999994
11,A_E12_A5_AF_AA_mBHI_mGAM_4_S60,0.18432671081677704,0.17468960534305558,0.1980472121121159,0.1847345132743363,0.07997499999999996,0.11599999999999999,0.09699999999999998
12,A_E4_A5_AF_AA_mBHI_mGAM_2_S52,0.4896551724137931,0.47160631434380934,0.5017746053341564,0.49015063731170333,0.10798749999999988,0.16149999999999998,0.136
13,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,0.41676104190260477,0.40599598347622634,0.427445671101205,0.4159090909090909,0.10299999999999998,0.14300000000000002,0.121
14,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,0.030895983522142127,0.02783505154639178,0.032688087503907545,0.030880082346886256,0.02400000000000002,0.033500000000000085,0.028000000000000025
15,B_A4_E5_AF_AA_mBHI_mBHI_2_S100,0.8394396551724138,0.8342361863488624,0.8482532751091703,0.8388497015735215,0.06399999999999995,0.09299999999999997,0.07999999999999996
16,B_D1_H2_AA_AF_mBHI_mBHI_2_S133,0.9532224532224531,0.9478623566214807,0.9622245540398741,0.9532224532224531,0.028999999999999915,0.05499999999999994,0.038999999999999924
17,B_E4_E5_AF_AA_mBHI_mGAM_2_S148,0.4661477289028919,0.4567753449753473,0.4762992575671045,0.465666474321985,0.11948749999999994,0.15399999999999991,0.13549999999999995
18,C_D9_H2_AA_AF_mBHI_mBHI_4_S237,0.9396367521367521,0.9345488746935204,0.9455128205128205,0.9392324093816631,0.04999999999999993,0.0804999999999999,0.061999999999999944
19,C_E4_A5_AF_AA_mBHI_mGAM_6_S244,0.007081802960736073,0.005566513370840904,0.014448199272653034,0.007159859964949163,0.1588498603691113,0.2329760687511502,0.20244604338931366
20,C_H9_H2_AA_AF_mBHI_mGAM_4_S285,0.014583333333333334,0.006556461132947284,0.01871101871101871,0.014613778705636744,0.03500000000000003,0.052521396512145886,0.04200000000000004
21,Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,0.2738927738927739,0.2496998437493212,0.29684106040257996,0.2730496453900709,0.12,0.18700000000000006,0.15400000000000003
22,Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,0.6458569807037456,0.6355402700936448,0.6575498575498575,0.6457142857142857,0.10698749999999999,0.1439999999999999,0.1260000000000001
23,D2-e003Coalescence-Inoculumn-mBHI,0.4419642857142857,0.4298323004783925,0.45404748920411675,0.44134078212290506,0.09097499999999997,0.135,0.11099999999999999
24,D2-e003Coalescence-mBHI-p1_S719,0.5772266065388951,0.5656632300249371,0.5889145496535797,0.5760368663594471,0.10899999999999999,0.15000000000000002,0.129
25,D2-e003Coalescence-mBHI-p3,0.6127494655893497,0.6002400960384154,0.6233685134632884,0.6139088729016787,0.14450000000000007,0.18599999999999994,0.16599999999999993
26,D2-e003Coalescence-mBHI-p5,0.18854353100266474,0.1780583774514784,0.20323963424458888,0.1876799078871618,0.10998749999999999,0.15499999999999992,0.132
27,D2-e003Coalescence-mBHI-p7,0.0032308636897417095,0.0010661730425639928,0.006083564794740486,0.0032448341998287116,-0.004452956781655743,0.002711618886999864,-0.0005852556261025654
28,D2-e003Coalescence-mGAM-p1_S723,0.39841986455981937,0.3823191733639495,0.4157236776044942,0.39770114942528734,0.10499999999999998,0.16700000000000004,0.13250000000000006
29,D2-e003Coalescence-mGAM-p5,0.004666580901351584,0.0036972286591606266,0.005793310918322613,0.004667485063812065,0.043874791618463374,0.070838582625499,0.05755178827344015
30,D_A4_A5_AF_AA_mBHI_mBHI_6_S292,0.02992776057791538,0.025933609958506246,0.032955715756951595,0.02995867768595041,0.025500000000000078,0.039999999999999925,0.03200000000000003
31,D_D1_D2_AA_AF_mBHI_mBHI_6_S325,0.42087542087542085,0.40045766590389015,0.43723497190063526,0.417607223476298,0.08699999999999997,0.15000000000000002,0.11599999999999999
