,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,475,671
A5-e003Coalescence-mBHI-inoculumn-redo,554,757
A5-e003Coalescence-mBHI-p1_S740,553,759
A5-e003Coalescence-mBHI-p3,502,715
A5-e003Coalescence-mBHI-p7,482,646
A5-e003Coalescence-mGAM-p1_S744,310,476
A5-e003Coalescence-mGAM-p3,541,738
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,475,679
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,550,746
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,512,566
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,528,732
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,552,754
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,550,745
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,553,761
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,484,714
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,458,450
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,459,525
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,554,760
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,494,602
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,543,748
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,522,701
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,415,599
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,549,750
D2-e003Coalescence-Inoculumn-mBHI,553,757
D2-e003Coalescence-mBHI-p1_S719,553,759
D2-e003Coalescence-mBHI-p3,554,759
D2-e003Coalescence-mBHI-p5,536,736
D2-e003Coalescence-mBHI-p7,273,275
D2-e003Coalescence-mGAM-p1_S723,549,746
D2-e003Coalescence-mGAM-p5,539,743
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,483,706
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,538,741
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,516,713
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,437,581
E5-e003Coalescence-mBHI-p1_S804,554,761
E5-e003Coalescence-mBHI-p3_S12,544,705
E5-e003Coalescence-mBHI-p5_S4,493,657
E5-e003Coalescence-mBHI-p7_S100,536,703
E5-e003Coalescence-mGAM-p1_S808,492,685
E5-e003Coalescence-mGAM-p3_S60,493,688
E5-e003Coalescence-mGAM-p5_S52,528,720
E5-e003Coalescence-mGAM-p7_S148,539,727
H2-e003Coalescence-mBHI-p1_S783,554,759
H2-e003Coalescence-mBHI-p3_S45,382,314
H2-e003Coalescence-mBHI-p7_S133,548,757
H2-e003Coalescence-mGAM-p1_S787,540,742
H2-e003Coalescence-mGAM-p3_S93,538,732
H2-e003Coalescence-mGAM-p5_S85,315,391
H2-e003Coalescence-mGAM-p7_S181,333,415
