,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,142801.0,102562.0
A4-e003Coalescence-mBHI-p3,2749.0,2010.0
A4-e003Coalescence-mBHI-p5,38395.0,26417.0
A4-e003Coalescence-mBHI-p7,25723.0,18437.0
A4-e003Coalescence-mGAM-p5,158538.0,119779.0
C2-e003Coalescence-mBHI-inoculumn-redo,100026.0,69309.0
C2-e003Coalescence-mBHI-p3,46991.0,32719.0
C2-e003Coalescence-mBHI-p5,8536.0,5443.0
C2-e003Coalescence-mGAM-p3,60507.0,42347.0
C2-e003Coalescence-mGAM-p5,385902.0,265949.0
C2-e003Coalescence-mGAM-p7,1040359.0,713715.0
E4-e003Coalescence-mBHI-p3_S11,7778.0,6289.0
E4-e003Coalescence-mBHI-p5_S3,55295.0,38338.0
E4-e003Coalescence-mBHI-p7_S99,99761.0,68282.0
E4-e003Coalescence-mGAM-p3_S59,151470.0,102472.0
E4-e003Coalescence-mGAM-p5_S51,126732.0,85497.0
E4-e003Coalescence-mGAM-p7_S147,867011.0,590263.0
G2-e003Coalescence-mBHI-p3_S33,9119.0,6685.0
G2-e003Coalescence-mBHI-p5_S25,15544.0,10632.0
G2-e003Coalescence-mGAM-p3_S81,571820.0,392867.0
G2-e003Coalescence-mGAM-p5_S73,348040.0,237844.0
