,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,3072,2999
A9-e003Coalescence-mBHI-p3,3019,2925
A9-e003Coalescence-mBHI-p5,2982,2907
A9-e003Coalescence-mBHI-p7,3091,3016
A9-e003Coalescence-mGAM-p5,2824,2740
A9-e003Coalescence-mGAM-p7,2500,2457
B2-e003Coalescence-Inoculumn-mGAM,3097,3025
B8-e003Coalescence-mBHI-p5,3071,3003
B8-e003Coalescence-mBHI-p7,3065,3002
B8-e003Coalescence-mGAM-p5,2583,2562
B8-e003Coalescence-mGAM-p7,3013,2959
E9-e003Coalescence-mBHI-p5_S6,2906,2862
E9-e003Coalescence-mBHI-p7_S102,2235,2214
E9-e003Coalescence-mGAM-p3_S154,2978,2932
E9-e003Coalescence-mGAM-p5_S54,1622,1625
F8-e003Coalescence-mBHI-p3_S117,2736,2728
F8-e003Coalescence-mBHI-p5_S17,2982,2936
F8-e003Coalescence-mBHI-p7_S113,2974,2929
F8-e003Coalescence-mGAM-p5_S65,2167,2093
F8-e003Coalescence-mGAM-p7_S161,2344,2364
