,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mGAM-p3,1602.0,7030.0
B11-e003Coalescence-mGAM-p7,256.0,1111.0
B5-e003Coalescence-Inoculumn-mGAM,847.0,3484.0
D3-e003Coalescence-Inoculumn-mGAM,786.0,3173.0
D9-e003Coalescence-mGAM-p3,209.0,974.0
D9-e003Coalescence-mGAM-p5,600.0,2396.0
D9-e003Coalescence-mGAM-p7,1174.0,4776.0
F111-e003Coalescence-mGAM-p3_S168,532.0,1888.0
H9-e003Coalescence-mGAM-p5_S90,575.0,2276.0
H9-e003Coalescence-mGAM-p7_S186,856.0,3404.0
