,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,5762,5690
A4-e003Coalescence-mBHI-p1_S732,5757,5682
A4-e003Coalescence-mBHI-p3,5708,5659
A4-e003Coalescence-mBHI-p5,5756,5688
A4-e003Coalescence-mBHI-p7,5747,5684
A4-e003Coalescence-mGAM-p1_S736,3078,3020
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,5762,5690
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,5710,5644
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,5762,5690
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,5762,5690
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,5212,5205
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,3206,3029
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,5762,5690
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,3034,3032
C2-e003Coalescence-mBHI-inoculumn-redo,5761,5689
C2-e003Coalescence-mBHI-p1_S718,4987,4947
C2-e003Coalescence-mBHI-p3,5758,5689
C2-e003Coalescence-mBHI-p5,5675,5632
C2-e003Coalescence-mBHI-p7,1485,1422
C2-e003Coalescence-mGAM-p1_S722,3390,3461
C2-e003Coalescence-mGAM-p7,5538,5442
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,5735,5663
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,5694,5637
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,5592,5529
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,5762,5689
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,4763,4618
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,1872,1807
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,5755,5686
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,1894,1758
E4-e003Coalescence-mBHI-p1_S796,5385,5240
E4-e003Coalescence-mBHI-p3_S11,5739,5679
E4-e003Coalescence-mBHI-p5_S3,5754,5682
E4-e003Coalescence-mBHI-p7_S99,5700,5649
G2-e003Coalescence-mBHI-p1_S782,5722,5654
G2-e003Coalescence-mBHI-p3_S33,5742,5675
G2-e003Coalescence-mBHI-p5_S25,5751,5690
G2-e003Coalescence-mBHI-p7_S121,5098,5075
