,A2-e003Coalescence-Inoculumn-mGAM,A2-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p5,5.0,0.0
A10-e003Coalescence-mBHI-p7,8.0,0.0
A10-e003Coalescence-mGAM-p3,5.0,0.0
A4-e003Coalescence-Inoculumn-mGAM,19.0,0.0
C2-e003Coalescence-Inoculumn-mGAM,5.0,0.0
C8-e003Coalescence-mBHI-p5,0.0,0.0
C8-e003Coalescence-mBHI-p7,0.0,0.0
E100-e003Coalescence-mBHI-p5_S7,5.0,0.0
E100-e003Coalescence-mBHI-p7_S103,10.0,0.0
G8-e003Coalescence-mBHI-p3_S129,7.0,0.0
G8-e003Coalescence-mBHI-p5_S29,9.0,0.0
G8-e003Coalescence-mBHI-p7_S125,9.0,0.0
G8-e003Coalescence-mGAM-p7_S173,7.0,0.0
