,index,fixed_diffs,comparisons,sample1,species_id
0,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,0,2054434,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
1,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,143,1580243,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
2,A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,29912,3510605,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
3,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,29529,4170374,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
4,A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,43978,4140778,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
5,B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,42163,3983900,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
6,B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,44881,4226659,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
7,B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,44779,4223754,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
8,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,44564,4200793,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
9,B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,44469,4229859,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
10,B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,44840,4258920,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
11,B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,44754,4226641,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
12,B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,42037,3946072,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
13,B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,44921,4240354,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
14,C9-e003Coalescence-mGAM-p3,45042,4229080,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,102470
