,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,42,6
D2-e004Assembly-mGAM-p7,35,6
C11-e003Coalescence-mBHI-p3,54,12
D11-e003Coalescence-mBHI-p5,66,13
D10-e003Coalescence-mBHI-p3,75,13
F3-e004Assembly-epsilon-p3,77,13
D4-e003Coalescence-mBHI-p5,64,11
B3-e004Assembly-mBHI-p7,72,13
D4-e003Coalescence-mBHI-p3,56,10
C3-e004Assembly-mBHI-p5,57,12
B12-e003Coalescence-mBHI-p3,36,6
D3-e004Assembly-mGAM-p7,48,2
D11-e003Coalescence-mGAM-p5,80,12
A11-e003Coalescence-mGAM-p7,39,5
D3-e003Coalescence-mBHI-p5,67,11
B11-e003Coalescence-mGAM-p3,81,13
B5-e003Assembly-mBHI-p5,36,4
D5-e003Coalescence-mGAM-p5,83,11
B5-e003Coalescence-mBHI-p5,65,11
D5-e003Coalescence-mBHI-p7,76,11
A5-e003Coalescence-mGAM-p3,47,6
D8-e003Coalescence-mGAM-p5,80,11
A12-e003Coalescence-mGAM-p3,34,10
D9-e003Coalescence-mGAM-p7,67,10
D4-e003Coalescence-mBHI-p7,71,12
B5-e003Coalescence-Inoculumn-mGAM,35,6
D10-e003Coalescence-mBHI-p5,59,11
D5-e003Coalescence-mBHI-p3,66,9
D9-e003Coalescence-mGAM-p5,82,13
D10-e003Coalescence-mGAM-p5,79,13
D4-e003Coalescence-mGAM-p5,83,12
C3-e004Assembly-mBHI-p7,77,13
B5-e003Coalescence-mGAM-p5,81,13
G3-e004Assembly-epsilon-p3,82,13
B5-e003Coalescence-mGAM-p7,32,7
D8-e003Coalescence-mBHI-p5,75,10
D5-e003Coalescence-Inoculumn-mGAM,83,13
B3-e004Assembly-mBHI-p5,64,8
B5-e003Coalescence-mBHI-p3,71,10
C5-e003Coalescence-mGAM-p7,78,12
A4-e003Coalescence-mGAM-p5,80,13
D4-e003Coalescence-mGAM-p7,79,13
C5-e003Coalescence-mBHI-p5,78,13
C5-e003Coalescence-mGAM-p3,80,13
D3-e003Coalescence-mBHI-p7,80,13
D5-e003Coalescence-Inoculumn-mBHI,83,13
C11-e003Coalescence-mGAM-p5,79,12
A5-e003Coalescence-mBHI-p7,70,9
D2-e003Coalescence-mGAM-p5,78,13
D3-e003Coalescence-mGAM-p3,74,12
D9-e003Coalescence-mGAM-p3,78,13
D3-e003Coalescence-mGAM-p5,83,13
B11-e003Coalescence-mGAM-p7,62,8
B5-e003Coalescence-mBHI-p7,78,12
D4-e003Coalescence-Inoculumn-mBHI,48,4
C2-e004Assembly-mBHI-p7,36,3
D10-e003Coalescence-mGAM-p7,83,13
C12-e003Coalescence-mGAM-p3,47,10
C11-e003Coalescence-mGAM-p3,83,13
C11-e003Coalescence-mBHI-p5,78,13
D10-e003Coalescence-mGAM-p3,82,13
D11-e003Coalescence-mGAM-p7,67,10
D5-e003Coalescence-mGAM-p3,83,13
F4-e004Assembly-epsilon-p7,53,7
D9-e003Coalescence-mBHI-p5,56,6
D4-e003Coalescence-mGAM-p3,83,13
D9-e003Coalescence-mBHI-p7,55,10
C5-e003Coalescence-mBHI-p7,47,9
C11-e003Coalescence-mGAM-p7,78,12
D10-e003Coalescence-mBHI-p7,66,13
C3-e004Assembly-mBHI-p3,77,13
A11-e003Coalescence-mBHI-p5,32,7
A5-e003Coalescence-Inoculumn-mGAM,51,4
AG-Fecal,69,12
B5-e003Coalescence-mGAM-p3,76,13
F3-e004Assembly-epsilon-p5,64,10
D2-e003Coalescence-Inoculumn-mGAM,45,8
B3-e004Assembly-mBHI-p3,71,12
D3-e003Coalescence-Inoculumn-mGAM,75,10
B11-e003Coalescence-mBHI-p3,75,12
C5-e003Coalescence-Inoculumn-mGAM,62,10
B2-e004Assembly-mBHI-p3,51,8
G3-e004Assembly-epsilon-p5,69,12
A11-e003Coalescence-mBHI-p3,74,12
B2-e004Assembly-mBHI-p5,48,5
F3-e004Assembly-epsilon-p7,69,13
A11-e003Coalescence-mGAM-p3,83,12
H5-e003Coalescence-mBHI-p5_S40,83,13
G5-e003Coalescence-mBHI-p7_S124,81,13
H111-e003Coalescence-mGAM-p7_S188,83,13
H4-e003Coalescence-mGAM-p7_S183,83,13
F5-e003Coalescence-mGAM-p5_S64,83,13
F5-e003Coalescence-mGAM-p7_S160,82,13
H3-e003Coalescence-mBHI-p3_S46,79,13
H3-e003Coalescence-mBHI-p7_S134,60,11
H111-e003Coalescence-mBHI-p3_S144,83,13
G111-e003Coalescence-mGAM-p5_S80,82,13
F111-e003Coalescence-mGAM-p5_S68,73,8
G111-e003Coalescence-mBHI-p5_S32,81,13
G5-e003Coalescence-mBHI-p3_S36,61,8
H2-e003Coalescence-mGAM-p7_S181,83,13
H3-e003Coalescence-mGAM-p3_S94,65,9
E5-e003Coalescence-mBHI-p7_S100,71,10
F5-e003Coalescence-mGAM-p3_S72,59,7
E5-e003Coalescence-mBHI-p5_S4,51,6
F111-e003Coalescence-mGAM-p7_S164,57,8
E111-e003Coalescence-mBHI-p5_S8,67,8
H100-e003Coalescence-mBHI-p5_S43,80,11
F5-e003Coalescence-mBHI-p5_S16,47,8
H8-e003Coalescence-mBHI-p7_S137,69,10
E111-e003Coalescence-mBHI-p3_S108,61,9
G5-e003Coalescence-mBHI-p5_S28,83,13
H111-e003Coalescence-mGAM-p5_S92,82,13
H9-e003Coalescence-mGAM-p5_S90,55,11
H2-e003Coalescence-mGAM-p3_S93,59,8
G111-e003Coalescence-mGAM-p3_S180,60,9
G5-e003Coalescence-mGAM-p3_S84,80,12
H8-e003Coalescence-mBHI-p5_S41,79,13
G5-e003Coalescence-mGAM-p5_S76,83,13
G5-e003Coalescence-mGAM-p7_S172,83,13
E5-e003Coalescence-mGAM-p3_S60,39,3
E5-e003Coalescence-mGAM-p7_S148,83,13
H9-e003Coalescence-mGAM-p7_S186,55,12
H5-e003Coalescence-mGAM-p3_S96,69,6
H3-e003Coalescence-mGAM-p7_S182,81,12
H5-e003Coalescence-mGAM-p5_S88,68,12
H8-e003Coalescence-mGAM-p5_S89,71,11
H4-e003Coalescence-mBHI-p7_S135,75,12
