,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.3493975903614458,0.0
D2-e004Assembly-mGAM-p7,0.42168674698795183,0.0
C11-e003Coalescence-mBHI-p3,0.3132530120481928,0.07692307692307693
D11-e003Coalescence-mBHI-p5,0.2289156626506024,0.0
D10-e003Coalescence-mBHI-p3,0.5301204819277109,0.0
F3-e004Assembly-epsilon-p3,0.6867469879518072,0.07692307692307693
D4-e003Coalescence-mBHI-p5,0.5421686746987951,0.0
B3-e004Assembly-mBHI-p7,0.8313253012048193,0.07692307692307693
D4-e003Coalescence-mBHI-p3,0.43373493975903615,0.0
C3-e004Assembly-mBHI-p5,0.6746987951807228,0.07692307692307693
B12-e003Coalescence-mBHI-p3,0.30120481927710846,0.0
D3-e004Assembly-mGAM-p7,0.43373493975903615,0.07692307692307693
D11-e003Coalescence-mGAM-p5,0.6024096385542169,0.0
A11-e003Coalescence-mGAM-p7,0.3855421686746988,0.0
D3-e003Coalescence-mBHI-p5,0.7108433734939759,0.0
B11-e003Coalescence-mGAM-p3,0.5180722891566265,0.0
B5-e003Assembly-mBHI-p5,0.27710843373493976,0.0
D5-e003Coalescence-mGAM-p5,0.927710843373494,0.0
B5-e003Coalescence-mBHI-p5,0.5903614457831325,0.0
D5-e003Coalescence-mBHI-p7,0.6626506024096386,0.0
A5-e003Coalescence-mGAM-p3,0.5180722891566265,0.0
D8-e003Coalescence-mGAM-p5,0.8313253012048193,0.0
A12-e003Coalescence-mGAM-p3,0.40963855421686746,0.0
D9-e003Coalescence-mGAM-p7,0.6144578313253012,0.0
D4-e003Coalescence-mBHI-p7,0.1686746987951807,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.3493975903614458,0.0
D10-e003Coalescence-mBHI-p5,0.4578313253012048,0.0
D5-e003Coalescence-mBHI-p3,0.40963855421686746,0.0
D9-e003Coalescence-mGAM-p5,0.4819277108433735,0.0
D10-e003Coalescence-mGAM-p5,0.5903614457831325,0.0
D4-e003Coalescence-mGAM-p5,0.6867469879518072,0.0
C3-e004Assembly-mBHI-p7,0.891566265060241,0.07692307692307693
B5-e003Coalescence-mGAM-p5,0.8795180722891566,0.0
G3-e004Assembly-epsilon-p3,0.6626506024096386,0.07692307692307693
