,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mGAM-p3,0.2223950233281493,
B5-e003Coalescence-Inoculumn-mGAM,0.1150855365474339,
D9-e003Coalescence-mGAM-p7,0.8926905132192846,
F111-e003Coalescence-mGAM-p7_S164,0.27527216174183516,
H9-e003Coalescence-mGAM-p3_S190,0.609642301710731,
H9-e003Coalescence-mGAM-p5_S90,0.937791601866252,
H9-e003Coalescence-mGAM-p7_S186,0.9611197511664075,
B11-e003Coalescence-mGAM-p3,,0.0
B5-e003Coalescence-Inoculumn-mGAM,,0.0
D9-e003Coalescence-mGAM-p7,,0.0
F111-e003Coalescence-mGAM-p7_S164,,0.011904761904761904
H9-e003Coalescence-mGAM-p3_S190,,0.0
H9-e003Coalescence-mGAM-p5_S90,,0.0
H9-e003Coalescence-mGAM-p7_S186,,0.0
