,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,2100,2622
D5-e003Coalescence-Inoculumn-mBHI,2100,2622
B5-e003Coalescence-Inoculumn-mBHI,2092,2605
B5-e003Coalescence-mBHI-p3,1993,2459
B5-e003Coalescence-mBHI-p5,1854,2378
B5-e003Coalescence-mBHI-p7,2026,2523
D3-e003Coalescence-Inoculumn-mBHI,2100,2622
D3-e003Coalescence-mBHI-p5,1759,2188
D3-e003Coalescence-mBHI-p7,2058,2574
F5-e003Coalescence-mBHI-p3_S24,2015,2510
F5-e003Coalescence-mBHI-p5_S16,1841,2336
F5-e003Coalescence-mBHI-p7_S112,1216,1595
H3-e003Coalescence-mBHI-p3_S46,2038,2552
H3-e003Coalescence-mBHI-p5_S38,2003,2529
H3-e003Coalescence-mBHI-p7_S134,1813,2250
