,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.0,1.0
A10-e003Coalescence-mBHI-p5,0.0,1.0
A10-e003Coalescence-mBHI-p7,0.0,1.0
A10-e003Coalescence-mGAM-p3,0.0,1.0
A10-e003Coalescence-mGAM-p7,0.0,1.0
A4-e003Coalescence-Inoculumn-mGAM,0.348,0.632
C2-e003Coalescence-Inoculumn-mGAM,0.349,0.625
C8-e003Coalescence-mBHI-p5,0.0,1.0
C8-e003Coalescence-mBHI-p7,0.0,1.0
C8-e003Coalescence-mGAM-p7,0.0,1.0
E100-e003Coalescence-mBHI-p5_S7,0.0,1.0
E100-e003Coalescence-mBHI-p7_S103,0.0,1.0
E100-e003Coalescence-mGAM-p3_S155,0.0,1.0
E100-e003Coalescence-mGAM-p5_S55,0.0,1.0
E100-e003Coalescence-mGAM-p7_S151,0.0,1.0
G8-e003Coalescence-mBHI-p3_S129,0.0,1.0
G8-e003Coalescence-mBHI-p5_S29,0.0,1.0
G8-e003Coalescence-mBHI-p7_S125,0.0,1.0
G8-e003Coalescence-mGAM-p3_S177,0.0,1.0
G8-e003Coalescence-mGAM-p5_S77,0.0,1.0
G8-e003Coalescence-mGAM-p7_S173,0.0,1.0
