,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mBHI
A4-e003Coalescence-mBHI-inoculumn-redo,20872.0,43535.0
A4-e003Coalescence-mBHI-p3,1722.0,3474.0
A4-e003Coalescence-mBHI-p5,1614.0,3226.0
A4-e003Coalescence-mBHI-p7,4599.0,9233.0
A4-e003Coalescence-mGAM-p5,13694.0,27298.0
C2-e003Coalescence-mBHI-inoculumn-redo,13985.0,29342.0
C2-e003Coalescence-mBHI-p3,3346.0,7021.0
C2-e003Coalescence-mBHI-p5,976.0,2051.0
C2-e003Coalescence-mGAM-p3,6567.0,13225.0
C2-e003Coalescence-mGAM-p5,24193.0,48237.0
C2-e003Coalescence-mGAM-p7,142694.0,288031.0
E4-e003Coalescence-mBHI-p3_S11,2126.0,4210.0
E4-e003Coalescence-mBHI-p5_S3,1790.0,3613.0
E4-e003Coalescence-mBHI-p7_S99,2038.0,4570.0
E4-e003Coalescence-mGAM-p3_S59,10347.0,20106.0
E4-e003Coalescence-mGAM-p5_S51,31059.0,60375.0
E4-e003Coalescence-mGAM-p7_S147,157052.0,302947.0
G2-e003Coalescence-mBHI-p3_S33,2684.0,5296.0
G2-e003Coalescence-mBHI-p5_S25,1760.0,3270.0
G2-e003Coalescence-mGAM-p3_S81,13440.0,26078.0
G2-e003Coalescence-mGAM-p5_S73,23938.0,46136.0
