,B3-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,42783.0,167686.0
B11-e003Coalescence-mGAM-p3,599988.0,2423267.0
B11-e003Coalescence-mGAM-p7,98880.0,405393.0
B5-e003Coalescence-Inoculumn-mGAM,324302.0,1298339.0
D3-e003Coalescence-Inoculumn-mGAM,624504.0,2502673.0
D9-e003Coalescence-mBHI-p3,2979.0,11640.0
D9-e003Coalescence-mBHI-p5,33198.0,133229.0
D9-e003Coalescence-mBHI-p7,28314.0,115753.0
D9-e003Coalescence-mGAM-p3,237946.0,956871.0
D9-e003Coalescence-mGAM-p5,246894.0,998048.0
D9-e003Coalescence-mGAM-p7,183935.0,756386.0
F111-e003Coalescence-mBHI-p3_S120,17478.0,71359.0
F111-e003Coalescence-mBHI-p5_S20,7857.0,32029.0
F111-e003Coalescence-mBHI-p7_S116,28900.0,113727.0
F111-e003Coalescence-mGAM-p3_S168,81975.0,340500.0
F111-e003Coalescence-mGAM-p5_S68,67196.0,277511.0
F111-e003Coalescence-mGAM-p7_S164,47680.0,193185.0
H9-e003Coalescence-mBHI-p5_S42,41195.0,163393.0
H9-e003Coalescence-mBHI-p7_S138,10114.0,41705.0
H9-e003Coalescence-mGAM-p3_S190,67172.0,274599.0
H9-e003Coalescence-mGAM-p5_S90,131482.0,538219.0
H9-e003Coalescence-mGAM-p7_S186,92828.0,378743.0
