,B3-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,107050.0,437125.0
B10-e003Coalescence-mBHI-p5,47394.0,187848.0
B10-e003Coalescence-mGAM-p3,847344.0,3384656.0
B10-e003Coalescence-mGAM-p7,130764.0,524073.0
B4-e003Coalescence-Inoculumn-mGAM,944629.0,3732069.0
C3-e003Coalescence-Inoculumn-mGAM,643211.0,2537196.0
C9-e003Coalescence-mBHI-p3,111734.0,459013.0
C9-e003Coalescence-mBHI-p5,52064.0,209278.0
C9-e003Coalescence-mBHI-p7,25902.0,100036.0
C9-e003Coalescence-mGAM-p3,1054783.0,4269630.0
C9-e003Coalescence-mGAM-p5,782917.0,3136655.0
C9-e003Coalescence-mGAM-p7,1497139.0,5971616.0
F100-e003Coalescence-mBHI-p7_S115,48924.0,201036.0
F100-e003Coalescence-mGAM-p3_S167,144194.0,609014.0
F100-e003Coalescence-mGAM-p5_S67,95954.0,398581.0
F100-e003Coalescence-mGAM-p7_S163,1392451.0,5746363.0
G9-e003Coalescence-mBHI-p3_S130,34456.0,141278.0
G9-e003Coalescence-mBHI-p5_S30,37582.0,154151.0
G9-e003Coalescence-mGAM-p3_S178,1146576.0,4684147.0
G9-e003Coalescence-mGAM-p5_S78,479083.0,1985030.0
G9-e003Coalescence-mGAM-p7_S174,778847.0,3231645.0
