,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,1512,1695
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,1693,1923
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,1577,1731
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,1708,1935
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,1322,1558
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,1340,1510
C5-e003Coalescence-mBHI-inoculumn-redo,1702,1911
C5-e003Coalescence-mGAM-p1_S746,1490,1700
C5-e003Coalescence-mGAM-p3,1706,1921
C5-e003Coalescence-mGAM-p7,1685,1909
C_G12_G5_AF_AE_mBHI_mGAM_4_S276,1463,1634
C_G4_C5_AF_AE_mBHI_mGAM_6_S268,1023,1115
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,1697,1900
C_H3_D4_AE_AF_mBHI_mGAM_6_S279,1506,1639
Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,1433,1555
D4-e003Coalescence-Inoculumn-mBHI,1704,1934
D4-e003Coalescence-mGAM-p1_S739,1711,1936
D4-e003Coalescence-mGAM-p3,1711,1936
D4-e003Coalescence-mGAM-p5,1707,1930
D4-e003Coalescence-mGAM-p7,1699,1921
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,1297,1413
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,1709,1911
G5-e003Coalescence-mGAM-p1_S810,1647,1860
G5-e003Coalescence-mGAM-p3_S84,1669,1871
G5-e003Coalescence-mGAM-p5_S76,1709,1920
G5-e003Coalescence-mGAM-p7_S172,1702,1896
H4-e003Coalescence-mGAM-p1_S803,1689,1920
H4-e003Coalescence-mGAM-p3_S95,1247,1355
H4-e003Coalescence-mGAM-p5_S87,1636,1798
H4-e003Coalescence-mGAM-p7_S183,1705,1915
