,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p1_S772,2680,2173
A11-e003Coalescence-mBHI-p3,2896,2371
A11-e003Coalescence-mGAM-p1_S776,2415,1890
A11-e003Coalescence-mGAM-p3,3221,2566
A11-e003Coalescence-mGAM-p7,2904,2321
A5-e003Coalescence-Inoculumn-mGAM,3194,2573
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,2117,1782
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,3119,2568
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,3224,2559
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,3191,2549
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,2658,2244
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,3211,2536
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,3226,2572
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,3228,2580
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,3198,2534
C_D5_D8_AA_AF_mGAM_mBHI_6_S233,2059,1826
C_E8_A11_AF_AA_mGAM_mGAM_6_S248,3227,2572
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,3000,2357
Coalescence-B5-D8-AA-AF-mGAM-mGAM-7_S636,3225,2564
Coalescence-B6-E11-AA-AF-mGAM-mGAM-7_S637,3217,2557
Coalescence-C3-A11-AA-AF-mGAM-mGAM-5_S646,3214,2555
Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,3206,2529
Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,3226,2561
Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,3223,2560
D2-e003Coalescence-Inoculumn-mGAM,3159,2509
D8-e003Coalescence-mGAM-p1_S755,3217,2558
D8-e003Coalescence-mGAM-p5,3216,2561
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,2808,2350
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,3066,2551
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,1436,1320
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,3227,2563
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,3223,2565
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,3228,2582
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,3077,2400
E11-e003Coalescence-mBHI-p1_S836,3198,2569
E11-e003Coalescence-mGAM-p1_S840,3224,2571
E111-e003Coalescence-mBHI-p7_S104,2941,2504
E111-e003Coalescence-mGAM-p5_S56,3172,2486
H8-e003Coalescence-mBHI-p1_S815,2468,1976
H8-e003Coalescence-mBHI-p5_S41,2470,2102
H8-e003Coalescence-mBHI-p7_S137,2614,2295
H8-e003Coalescence-mGAM-p1_S819,3186,2559
H8-e003Coalescence-mGAM-p5_S89,3160,2491
H8-e003Coalescence-mGAM-p7_S185,3224,2565
