,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,12015,4353
A3-e003Coalescence-mBHI-p1_S724,12088,4378
A3-e003Coalescence-mBHI-p3,12092,4382
A3-e003Coalescence-mGAM-p1_S728,12025,4353
A3-e003Coalescence-mGAM-p7,11900,4240
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,12085,4379
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,12069,4358
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,11766,4189
B2-e003Coalescence-Inoculumn-mBHI,12012,4352
B2-e003Coalescence-mBHI-p1_S717,12089,4380
B2-e003Coalescence-mBHI-p3,12089,4382
B2-e003Coalescence-mBHI-p5,11998,4323
B2-e003Coalescence-mBHI-p7,11892,4233
B2-e003Coalescence-mGAM-p3,12011,4337
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,12091,4381
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,12080,4368
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,11984,4308
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,12090,4378
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,12086,4376
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,12048,4352
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,12088,4376
E3-e003Coalescence-mBHI-p1_S788,12077,4379
E3-e003Coalescence-mBHI-p3_S10,12083,4377
E3-e003Coalescence-mBHI-p5_S2,12085,4380
E3-e003Coalescence-mGAM-p1_S792,11573,4199
E3-e003Coalescence-mGAM-p3_S58,11999,4332
E3-e003Coalescence-mGAM-p5_S50,11990,4313
E3-e003Coalescence-mGAM-p7_S146,12039,4341
F2-e003Coalescence-mBHI-p1_S781,12088,4380
F2-e003Coalescence-mBHI-p3_S21,12086,4379
F2-e003Coalescence-mBHI-p5_S13,12090,4379
F2-e003Coalescence-mBHI-p7_S109,7806,2401
F2-e003Coalescence-mGAM-p1_S785,11984,4344
F2-e003Coalescence-mGAM-p3_S69,12001,4300
F2-e003Coalescence-mGAM-p5_S61,11948,4266
F2-e003Coalescence-mGAM-p7_S157,11982,4300
