,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,17843,11931
A4-e003Coalescence-mBHI-p1_S732,17845,11932
A4-e003Coalescence-mBHI-p3,17826,11909
A4-e003Coalescence-mBHI-p5,17842,11921
A4-e003Coalescence-mBHI-p7,17834,11926
A4-e003Coalescence-mGAM-p1_S736,17820,11891
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,17847,11932
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,17833,11919
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,17818,11903
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,17844,11925
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,17833,11912
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,17798,11869
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,17842,11924
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,17843,11927
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,17842,11924
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,17772,11839
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,17841,11922
C2-e003Coalescence-mBHI-inoculumn-redo,17845,11929
C2-e003Coalescence-mBHI-p1_S718,17811,11884
C2-e003Coalescence-mBHI-p3,17829,11911
C2-e003Coalescence-mBHI-p5,17830,11915
C2-e003Coalescence-mBHI-p7,17571,11685
C2-e003Coalescence-mGAM-p1_S722,17821,11908
C2-e003Coalescence-mGAM-p3,17768,11846
C2-e003Coalescence-mGAM-p5,17817,11896
C2-e003Coalescence-mGAM-p7,17840,11914
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,17816,11913
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,17796,11886
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,17774,11831
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,17844,11931
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,17757,11828
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,17576,11806
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,17684,11733
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,17049,11300
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,17518,11681
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,17823,11896
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,17831,11921
D_C1_C2_AA_AE_mBHI_mBHI_6_S313,11815,7688
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,17319,11616
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,17846,11925
E4-e003Coalescence-mBHI-p1_S796,17777,11856
E4-e003Coalescence-mBHI-p3_S11,17840,11923
E4-e003Coalescence-mBHI-p5_S3,17846,11929
E4-e003Coalescence-mBHI-p7_S99,17700,11887
E4-e003Coalescence-mGAM-p1_S800,17072,11265
E4-e003Coalescence-mGAM-p3_S59,17754,11808
E4-e003Coalescence-mGAM-p5_S51,16739,11376
E4-e003Coalescence-mGAM-p7_S147,17227,11628
G2-e003Coalescence-mBHI-p1_S782,17833,11921
G2-e003Coalescence-mBHI-p3_S33,17821,11918
G2-e003Coalescence-mBHI-p5_S25,17834,11921
G2-e003Coalescence-mBHI-p7_S121,17768,11869
G2-e003Coalescence-mGAM-p1_S786,17738,11830
G2-e003Coalescence-mGAM-p3_S81,17786,11837
G2-e003Coalescence-mGAM-p5_S73,17813,11874
