,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B9-e003Coalescence-mGAM-p5,142,148
A4-e003Coalescence-mBHI-inoculumn-redo,236,186
C4-e003Coalescence-mGAM-p7,235,193
e004-inoculumn-fecal-AK,333,268
C3-e003Coalescence-mGAM-p3,315,263
D3-e003Coalescence-Inoculumn-mBHI,245,192
C2-e003Coalescence-mGAM-p7,189,124
C4-e003Coalescence-mBHI-inoculumn-redo,336,273
B4-e003Coalescence-mGAM-p5,269,224
D4-e003Coalescence-mGAM-p5,258,190
BB-Fecal,273,229
C5-e003Coalescence-mBHI-inoculumn-redo,313,247
A2-e003Coalescence-mBHI-p7,215,170
BF-Fecal,335,272
AM-Fecal,330,266
e003-inoculumn-fecal-inoculumn,334,273
e003-inoculumn-fecal-AC,334,273
C4-e003Coalescence-mGAM-p3,336,273
C5-e003Coalescence-mGAM-p3,322,256
A2-e003Coalescence-Inoculumn-mBHI,333,273
D5-e003Coalescence-Inoculumn-mBHI,229,195
G4-e004Assembly-epsilon-p3,262,226
B3-e003Coalescence-Inoculumn-mBHI,336,273
A5-e003Coalescence-mBHI-p7,177,156
G2-e004Assembly-epsilon-p3,225,168
BG-Fecal,331,267
D2-e003Coalescence-mGAM-p5,211,183
A5-e003Coalescence-mBHI-inoculumn-redo,335,273
D2-e003Assembly-mBHI-p5,147,103
F4-e004Assembly-epsilon-p3,200,158
D2-e003Coalescence-Inoculumn-mBHI,237,200
C3-e003Coalescence-mGAM-p7,286,236
C5-e004Assembly-mBHI-p7,167,148
C5-e003Coalescence-mBHI-p7,258,189
A2-e003Coalescence-mBHI-p3,175,130
C2-e003Coalescence-mBHI-inoculumn-redo,285,217
AG-Fecal,330,270
A2-e003Coalescence-mBHI-p5,243,198
C3-e003Coalescence-mBHI-inoculumn-redo,244,206
e004-inoculumn-fecal-AR,334,266
BK-Fecal,330,269
A2-e003Coalescence-mBHI-inoculumn-redo,336,273
B4-e003Coalescence-Inoculumn-mBHI,173,130
e003-inoculumn-fecal-AE,336,273
BC-Fecal,291,241
e004-inoculumn-fecal-BE,306,253
BA-Fecal,285,234
e003-inoculumn-fecal-AF,319,261
A5-e003Coalescence-Inoculumn-mBHI,284,237
G5-e003Coalescence-mBHI-p7_S124,198,131
H4-e003Coalescence-mGAM-p7_S183,313,256
H2-e003Coalescence-mGAM-p7_S181,336,269
E2-e003Coalescence-mBHI-p5_S1,302,249
E2-e003Coalescence-mBHI-p3_S9,270,228
G5-e003Coalescence-mGAM-p3_S84,253,201
G5-e003Coalescence-mGAM-p7_S172,181,141
E5-e003Coalescence-mGAM-p7_S148,335,266
G4-e003Coalescence-mGAM-p3_S83,332,269
G3-e003Coalescence-mGAM-p3_S82,329,267
G3-e003Coalescence-mGAM-p5_S74,309,248
F4-e003Coalescence-mGAM-p7_S159,286,225
H4-e003Coalescence-mGAM-p5_S87,132,131
