,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,588,545
A4-e003Coalescence-mBHI-inoculumn-redo,760,809
C4-e003Coalescence-mGAM-p7,847,781
e004-inoculumn-fecal-AK,1108,1041
C3-e003Coalescence-mGAM-p3,1068,1014
D3-e003Coalescence-Inoculumn-mBHI,839,745
C2-e003Coalescence-mGAM-p7,606,585
C4-e003Coalescence-mBHI-inoculumn-redo,551,475
B4-e003Coalescence-mGAM-p5,783,760
D4-e003Coalescence-mGAM-p5,865,788
BB-Fecal,949,926
C5-e003Coalescence-mBHI-inoculumn-redo,1051,972
A2-e003Coalescence-mBHI-p7,671,681
BF-Fecal,1121,1063
AM-Fecal,1114,1053
e003-inoculumn-fecal-inoculumn,1120,1063
e003-inoculumn-fecal-AC,1112,1057
C4-e003Coalescence-mGAM-p3,1123,1065
C5-e003Coalescence-mGAM-p3,1082,1012
A2-e003Coalescence-Inoculumn-mBHI,1123,1065
D5-e003Coalescence-Inoculumn-mBHI,1123,1065
G4-e004Assembly-epsilon-p3,918,864
B3-e003Coalescence-Inoculumn-mBHI,523,478
A5-e003Coalescence-mBHI-p7,653,623
G2-e004Assembly-epsilon-p3,739,693
BG-Fecal,1101,1037
D2-e003Coalescence-mGAM-p5,794,762
A5-e003Coalescence-mBHI-inoculumn-redo,1116,1060
D2-e003Assembly-mBHI-p5,534,492
F4-e004Assembly-epsilon-p3,669,650
D2-e003Coalescence-Inoculumn-mBHI,817,785
C3-e003Coalescence-mGAM-p7,844,800
C5-e004Assembly-mBHI-p7,579,541
C5-e003Coalescence-mBHI-p7,774,735
A2-e003Coalescence-mBHI-p3,589,576
C2-e003Coalescence-mBHI-inoculumn-redo,928,905
AG-Fecal,1111,1060
A2-e003Coalescence-mBHI-p5,807,778
C3-e003Coalescence-mBHI-inoculumn-redo,779,728
e004-inoculumn-fecal-AR,1108,1059
BK-Fecal,1110,1053
A2-e003Coalescence-mBHI-inoculumn-redo,1120,1063
B4-e003Coalescence-Inoculumn-mBHI,552,569
e003-inoculumn-fecal-AE,1121,1065
BC-Fecal,986,954
e004-inoculumn-fecal-BE,1034,985
BA-Fecal,978,931
e003-inoculumn-fecal-AF,1055,993
A5-e003Coalescence-Inoculumn-mBHI,973,938
G5-e003Coalescence-mBHI-p7_S124,628,550
H4-e003Coalescence-mGAM-p7_S183,1041,977
H2-e003Coalescence-mGAM-p7_S181,1112,1059
E2-e003Coalescence-mBHI-p5_S1,999,981
E2-e003Coalescence-mBHI-p3_S9,936,886
G5-e003Coalescence-mGAM-p3_S84,830,767
G5-e003Coalescence-mGAM-p7_S172,557,510
E5-e003Coalescence-mGAM-p7_S148,1115,1059
G4-e003Coalescence-mGAM-p3_S83,1109,1049
G3-e003Coalescence-mGAM-p3_S82,1069,1029
G3-e003Coalescence-mGAM-p5_S74,1010,959
F4-e003Coalescence-mGAM-p7_S159,857,799
H4-e003Coalescence-mGAM-p5_S87,503,404
