,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B9-e003Coalescence-mGAM-p5,377,414
A4-e003Coalescence-mBHI-inoculumn-redo,606,633
C4-e003Coalescence-mGAM-p7,556,564
e004-inoculumn-fecal-AK,717,734
C3-e003Coalescence-mGAM-p3,680,703
D3-e003Coalescence-Inoculumn-mBHI,540,539
C2-e003Coalescence-mGAM-p7,494,475
C4-e003Coalescence-mBHI-inoculumn-redo,732,751
B4-e003Coalescence-mGAM-p5,518,523
D4-e003Coalescence-mGAM-p5,558,554
BB-Fecal,624,634
C5-e003Coalescence-mBHI-inoculumn-redo,681,683
A2-e003Coalescence-mBHI-p7,445,455
BF-Fecal,730,750
AM-Fecal,725,739
e003-inoculumn-fecal-inoculumn,732,750
e003-inoculumn-fecal-AC,723,742
C4-e003Coalescence-mGAM-p3,732,751
C5-e003Coalescence-mGAM-p3,706,709
A2-e003Coalescence-Inoculumn-mBHI,732,751
D5-e003Coalescence-Inoculumn-mBHI,487,516
G4-e004Assembly-epsilon-p3,585,617
B3-e003Coalescence-Inoculumn-mBHI,338,300
A5-e003Coalescence-mBHI-p7,378,421
G2-e004Assembly-epsilon-p3,476,442
BG-Fecal,713,729
D2-e003Coalescence-mGAM-p5,491,525
A5-e003Coalescence-mBHI-inoculumn-redo,727,745
D2-e003Assembly-mBHI-p5,332,351
F4-e004Assembly-epsilon-p3,435,442
D2-e003Coalescence-Inoculumn-mBHI,498,536
C3-e003Coalescence-mGAM-p7,540,549
C5-e004Assembly-mBHI-p7,378,409
C5-e003Coalescence-mBHI-p7,538,512
A2-e003Coalescence-mBHI-p3,380,424
C2-e003Coalescence-mBHI-inoculumn-redo,660,674
AG-Fecal,728,748
A2-e003Coalescence-mBHI-p5,511,556
C3-e003Coalescence-mBHI-inoculumn-redo,482,489
e004-inoculumn-fecal-AR,722,745
BK-Fecal,725,744
A2-e003Coalescence-mBHI-inoculumn-redo,729,746
B4-e003Coalescence-Inoculumn-mBHI,388,337
e003-inoculumn-fecal-AE,732,751
BC-Fecal,657,666
e004-inoculumn-fecal-BE,686,693
BA-Fecal,636,630
e003-inoculumn-fecal-AF,698,707
A5-e003Coalescence-Inoculumn-mBHI,593,649
G5-e003Coalescence-mBHI-p7_S124,389,371
H4-e003Coalescence-mGAM-p7_S183,672,704
H2-e003Coalescence-mGAM-p7_S181,724,744
E2-e003Coalescence-mBHI-p5_S1,633,680
E2-e003Coalescence-mBHI-p3_S9,606,593
G5-e003Coalescence-mGAM-p3_S84,534,536
G5-e003Coalescence-mGAM-p7_S172,351,367
E5-e003Coalescence-mGAM-p7_S148,722,743
G4-e003Coalescence-mGAM-p3_S83,722,737
G3-e003Coalescence-mGAM-p3_S82,700,709
G3-e003Coalescence-mGAM-p5_S74,669,676
F4-e003Coalescence-mGAM-p7_S159,568,565
H4-e003Coalescence-mGAM-p5_S87,321,306
