,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,164,134
A4-e003Coalescence-mBHI-inoculumn-redo,216,189
C4-e003Coalescence-mGAM-p7,227,200
e004-inoculumn-fecal-AK,299,265
C3-e003Coalescence-mGAM-p3,281,250
D3-e003Coalescence-Inoculumn-mBHI,221,209
C2-e003Coalescence-mGAM-p7,147,141
C4-e003Coalescence-mBHI-inoculumn-redo,305,274
B4-e003Coalescence-mGAM-p5,204,187
D4-e003Coalescence-mGAM-p5,269,234
BB-Fecal,245,229
C5-e003Coalescence-mBHI-inoculumn-redo,295,266
A2-e003Coalescence-mBHI-p7,183,186
BF-Fecal,304,273
AM-Fecal,299,273
e003-inoculumn-fecal-inoculumn,304,274
e003-inoculumn-fecal-AC,297,268
C4-e003Coalescence-mGAM-p3,305,274
C5-e003Coalescence-mGAM-p3,297,268
A2-e003Coalescence-Inoculumn-mBHI,305,273
D5-e003Coalescence-Inoculumn-mBHI,305,274
G4-e004Assembly-epsilon-p3,249,215
B3-e003Coalescence-Inoculumn-mBHI,129,127
A5-e003Coalescence-mBHI-p7,166,145
G2-e004Assembly-epsilon-p3,192,173
BG-Fecal,299,266
D2-e003Coalescence-mGAM-p5,195,159
A5-e003Coalescence-mBHI-inoculumn-redo,304,272
D2-e003Assembly-mBHI-p5,134,136
F4-e004Assembly-epsilon-p3,179,172
D2-e003Coalescence-Inoculumn-mBHI,216,195
C3-e003Coalescence-mGAM-p7,217,200
C5-e004Assembly-mBHI-p7,171,135
C5-e003Coalescence-mBHI-p7,258,236
A2-e003Coalescence-mBHI-p3,164,143
C2-e003Coalescence-mBHI-inoculumn-redo,245,222
AG-Fecal,301,272
A2-e003Coalescence-mBHI-p5,225,190
C3-e003Coalescence-mBHI-inoculumn-redo,200,189
e004-inoculumn-fecal-AR,301,274
BK-Fecal,300,266
A2-e003Coalescence-mBHI-inoculumn-redo,304,274
B4-e003Coalescence-Inoculumn-mBHI,137,133
e003-inoculumn-fecal-AE,305,274
BC-Fecal,264,232
e004-inoculumn-fecal-BE,276,246
BA-Fecal,254,225
e003-inoculumn-fecal-AF,285,260
A5-e003Coalescence-Inoculumn-mBHI,259,206
G5-e003Coalescence-mBHI-p7_S124,222,209
H4-e003Coalescence-mGAM-p7_S183,291,266
H2-e003Coalescence-mGAM-p7_S181,303,270
E2-e003Coalescence-mBHI-p5_S1,275,248
E2-e003Coalescence-mBHI-p3_S9,237,215
G5-e003Coalescence-mGAM-p3_S84,260,238
G5-e003Coalescence-mGAM-p7_S172,208,205
E5-e003Coalescence-mGAM-p7_S148,300,271
G4-e003Coalescence-mGAM-p3_S83,302,270
G3-e003Coalescence-mGAM-p3_S82,286,260
G3-e003Coalescence-mGAM-p5_S74,273,247
F4-e003Coalescence-mGAM-p7_S159,222,197
H4-e003Coalescence-mGAM-p5_S87,177,133
