,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,489,498
A4-e003Coalescence-mBHI-inoculumn-redo,571,798
C4-e003Coalescence-mGAM-p7,645,794
e004-inoculumn-fecal-AK,863,1035
C3-e003Coalescence-mGAM-p3,826,988
D3-e003Coalescence-Inoculumn-mBHI,647,746
C2-e003Coalescence-mGAM-p7,425,566
C4-e003Coalescence-mBHI-inoculumn-redo,444,477
B4-e003Coalescence-mGAM-p5,583,731
D4-e003Coalescence-mGAM-p5,646,797
BB-Fecal,761,917
C5-e003Coalescence-mBHI-inoculumn-redo,823,981
A2-e003Coalescence-mBHI-p7,537,664
BF-Fecal,876,1043
AM-Fecal,871,1023
e003-inoculumn-fecal-inoculumn,874,1044
e003-inoculumn-fecal-AC,877,1045
C4-e003Coalescence-mGAM-p3,877,1047
C5-e003Coalescence-mGAM-p3,845,1006
A2-e003Coalescence-Inoculumn-mBHI,877,1047
D5-e003Coalescence-Inoculumn-mBHI,583,734
G4-e004Assembly-epsilon-p3,708,813
B3-e003Coalescence-Inoculumn-mBHI,877,1047
A5-e003Coalescence-mBHI-p7,496,549
G2-e004Assembly-epsilon-p3,587,650
BG-Fecal,860,1022
D2-e003Coalescence-mGAM-p5,565,694
A5-e003Coalescence-mBHI-inoculumn-redo,873,1040
D2-e003Assembly-mBHI-p5,372,473
F4-e004Assembly-epsilon-p3,563,631
D2-e003Coalescence-Inoculumn-mBHI,579,749
C3-e003Coalescence-mGAM-p7,669,805
C5-e004Assembly-mBHI-p7,431,509
C5-e003Coalescence-mBHI-p7,634,747
A2-e003Coalescence-mBHI-p3,472,546
C2-e003Coalescence-mBHI-inoculumn-redo,723,895
AG-Fecal,869,1033
A2-e003Coalescence-mBHI-p5,616,758
C3-e003Coalescence-mBHI-inoculumn-redo,647,648
e004-inoculumn-fecal-AR,872,1044
BK-Fecal,869,1035
A2-e003Coalescence-mBHI-inoculumn-redo,876,1045
B4-e003Coalescence-Inoculumn-mBHI,433,491
e003-inoculumn-fecal-AE,874,1047
BC-Fecal,795,959
e004-inoculumn-fecal-BE,828,986
BA-Fecal,784,933
e003-inoculumn-fecal-AF,830,993
A5-e003Coalescence-Inoculumn-mBHI,728,871
G5-e003Coalescence-mBHI-p7_S124,469,565
H4-e003Coalescence-mGAM-p7_S183,815,976
H2-e003Coalescence-mGAM-p7_S181,865,1044
E2-e003Coalescence-mBHI-p5_S1,782,957
E2-e003Coalescence-mBHI-p3_S9,709,844
G5-e003Coalescence-mGAM-p3_S84,657,765
G5-e003Coalescence-mGAM-p7_S172,404,510
E5-e003Coalescence-mGAM-p7_S148,866,1039
G4-e003Coalescence-mGAM-p3_S83,865,1035
G3-e003Coalescence-mGAM-p3_S82,839,1003
G3-e003Coalescence-mGAM-p5_S74,804,950
F4-e003Coalescence-mGAM-p7_S159,637,770
H4-e003Coalescence-mGAM-p5_S87,362,417
