,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,194,702
C8-e003Coalescence-mGAM-p7,354,1309
D10-e003Coalescence-mBHI-p3,112,456
A8-e003Coalescence-mBHI-p3,254,948
B9-e003Coalescence-mGAM-p5,354,1313
C5-e004Assembly-mBHI-p3,123,510
B8-e003Assembly-mGAM-p5,235,975
e004-inoculumn-fecal-AK,352,1285
D3-e004Assembly-mGAM-p7,224,846
C8-e003Assembly-mGAM-p3,323,1184
D4-e004Assembly-mGAM-p5,246,964
A11-e003Coalescence-mGAM-p7,348,1293
B8-e003Coalescence-mBHI-p5,355,1316
C2-e003Coalescence-mGAM-p7,355,1327
B11-e003Coalescence-mGAM-p3,353,1319
D8-e003Assembly-mGAM-p5,183,620
A5-e003Coalescence-mGAM-p3,226,751
A2-e003Coalescence-Inoculumn-mGAM,358,1334
E5-e004Assembly-mGAM-p5,350,1301
D8-e003Coalescence-mGAM-p5,357,1325
A12-e003Coalescence-mGAM-p3,311,1220
D9-e003Coalescence-mGAM-p7,353,1313
D8-e003Assembly-mGAM-p3,222,851
A9-e003Coalescence-mGAM-p7,287,1101
B5-e003Coalescence-Inoculumn-mGAM,343,1257
D9-e003Coalescence-mGAM-p5,311,1143
C8-e003Coalescence-mBHI-p7,307,1147
B4-e003Coalescence-mGAM-p5,333,1235
BB-Fecal,238,950
C2-e003Coalescence-mGAM-p3,224,859
D8-e003Coalescence-mBHI-p5,348,1285
E5-e004Assembly-mGAM-p7,347,1295
D5-e003Coalescence-Inoculumn-mGAM,358,1334
A10-e003Coalescence-mBHI-p5,254,991
BF-Fecal,299,1093
B8-e003Assembly-mGAM-p3,211,840
D5-e003Coalescence-mBHI-p5,358,1332
e003-inoculumn-fecal-inoculumn,300,1116
A8-e003Coalescence-mBHI-p7,355,1329
e003-inoculumn-fecal-AC,73,454
B9-e003GlycerolRevival-mGAM-p2,119,654
B2-e003Coalescence-Inoculumn-mGAM,358,1334
A3-e003Coalescence-Inoculumn-mGAM,356,1327
C10-e003GlycerolRevival-mGAM-p2,346,1308
A10-e003Coalescence-mGAM-p3,357,1325
A9-e003Coalescence-mBHI-p3,345,1303
A2-e003Coalescence-Inoculumn-mBHI,181,769
A9-e003Coalescence-mBHI-p5,342,1266
