,index,fixed_diffs,comparisons,sample1,species_id
0,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,0,3048762,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
1,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,13,5190460,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
2,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,15385,4979023,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
3,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,0,3411891,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
4,A_D8_D11_AF_AF_mGAM_mBHI_2_S44,1,6192414,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
5,A_E8_A11_AF_AA_mGAM_mGAM_2_S56,0,4464548,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
6,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,15599,5048530,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
7,A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,13750,4406728,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
8,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,1,4102485,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
9,A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,15563,5035087,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
10,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,460,3067766,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
11,A_H4_D5_AF_AF_mBHI_mGAM_2_S88,209,4142590,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
12,A_H8_D11_AF_AF_mGAM_mGAM_2_S92,3,5467913,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
13,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,149,5625728,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
14,A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,1502,5180415,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
15,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,12679,4073752,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
16,B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,15297,4933158,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
17,B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,15141,4846281,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
18,B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,11564,3745584,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
19,B_D7_H10_AE_AF_mGAM_mBHI_2_S139,5,3668911,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
20,B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,15485,5000321,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
21,B_E8_E11_AF_AA_mGAM_mGAM_2_S152,1,4918041,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
22,B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,12880,4118144,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
23,B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,14096,4524319,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
24,B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,5250,5681161,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
25,B_H4_H5_AF_AF_mBHI_mGAM_2_S184,315,3764270,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
26,B_H5_H8_AA_AF_mGAM_mGAM_2_S185,2,4756726,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
27,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,2,6021522,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
28,C_D7_D10_AE_AF_mGAM_mBHI_6_S235,0,5783983,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
29,C_D8_D11_AF_AF_mGAM_mBHI_6_S236,0,6079002,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
30,C_E4_A5_AF_AA_mBHI_mGAM_6_S244,2,6272261,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
31,C_E8_A11_AF_AA_mGAM_mGAM_6_S248,0,6311381,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
32,C_H4_D5_AF_AF_mBHI_mGAM_6_S280,7,5618565,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
33,C_H7_D10_AE_AF_mGAM_mGAM_6_S283,1,5050964,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,100150
