,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,48859,2867
D11-e003Coalescence-mBHI-p5,49856,2895
C9-e003Coalescence-mGAM-p7,48967,2856
C8-e003Coalescence-mGAM-p7,49419,2915
F3-e004Assembly-epsilon-p3,38278,2177
B2-e003Coalescence-mBHI-p3,48759,2874
A8-e003Coalescence-mBHI-p3,49724,2918
e004-inoculumn-fecal-BD,47624,2730
A4-e003Coalescence-mBHI-p7,47185,2782
B9-e003Coalescence-mGAM-p5,48854,2850
A4-e003Coalescence-mBHI-inoculumn-redo,48076,2864
B3-e003Coalescence-mBHI-p3,49324,2844
C2-e003Coalescence-mBHI-p5,37053,2175
B3-e004Assembly-mBHI-p7,48706,2769
B5-e004Assembly-mBHI-p7,17802,1036
C4-e003GlycerolRevival-mBHI-p2,33077,1874
G5-e004Assembly-epsilon-p3,49647,2861
B2-e003Assembly-mBHI-p5,46611,2730
C3-e004Assembly-mBHI-p5,47437,2700
B2-e003Coalescence-mBHI-p5,38696,2457
B8-e003Assembly-mGAM-p5,47245,2782
C4-e003Coalescence-mGAM-p7,37209,2112
e004-inoculumn-fecal-AK,49626,2902
D3-e004Assembly-mGAM-p7,36229,2104
C8-e003Assembly-mGAM-p3,49966,2936
C3-e003Coalescence-mGAM-p3,50006,2931
D4-e004Assembly-mGAM-p5,49550,2902
D3-e003Coalescence-Inoculumn-mBHI,50050,2939
C8-e003Assembly-mGAM-p5,37124,2264
C3-e003Coalescence-mBHI-p7,49395,2888
D11-e003Coalescence-mGAM-p5,49515,2862
A11-e003Coalescence-mGAM-p7,49238,2892
C2-e003Coalescence-mGAM-p7,50042,2939
B11-e003Coalescence-mGAM-p3,49913,2923
B5-e003Assembly-mBHI-p5,25812,1515
D2-e003Coalescence-mBHI-p5,45849,2724
D8-e003Assembly-mGAM-p5,49323,2894
D5-e003Coalescence-mGAM-p5,46009,2717
A5-e003Coalescence-mGAM-p3,50011,2935
A2-e003Coalescence-Inoculumn-mGAM,50064,2939
D8-e003Coalescence-mGAM-p5,50061,2939
A12-e003Coalescence-mGAM-p3,49822,2920
C2-e003Coalescence-mBHI-p3,49198,2891
D9-e003Coalescence-mGAM-p7,48609,2846
D8-e003Assembly-mGAM-p3,49957,2936
E4-e004Assembly-mGAM-p7,41171,2439
B10-e003Coalescence-mGAM-p3,48863,2863
A9-e003Coalescence-mGAM-p7,18527,1066
B5-e003Coalescence-Inoculumn-mGAM,49214,2850
D5-e003Coalescence-mBHI-p3,48137,2849
D9-e003Coalescence-mGAM-p5,49633,2912
D10-e003Coalescence-mGAM-p5,15695,1002
C8-e003Coalescence-mBHI-p7,42316,2535
B11-e003Assembly-mGAM-p5,48369,2806
G3-e004Assembly-epsilon-p7,36208,2089
B4-e003Coalescence-mGAM-p5,47167,2743
