,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,22559,2808
D11-e003Coalescence-mBHI-p5,22848,2852
C9-e003Coalescence-mGAM-p7,22580,2795
C8-e003Coalescence-mGAM-p7,22690,2857
F3-e004Assembly-epsilon-p3,17595,2190
B2-e003Coalescence-mBHI-p3,22470,2837
A8-e003Coalescence-mBHI-p3,22804,2862
e004-inoculumn-fecal-BD,21829,2690
A4-e003Coalescence-mBHI-p7,21716,2753
B9-e003Coalescence-mGAM-p5,22545,2794
A4-e003Coalescence-mBHI-inoculumn-redo,22075,2825
B3-e003Coalescence-mBHI-p3,22939,2870
C2-e003Coalescence-mBHI-p5,17085,2132
B3-e004Assembly-mBHI-p7,22427,2755
B5-e004Assembly-mBHI-p7,8381,1047
C4-e003GlycerolRevival-mBHI-p2,15175,1907
G5-e004Assembly-epsilon-p3,22862,2829
B2-e003Assembly-mBHI-p5,21397,2707
C3-e004Assembly-mBHI-p5,21811,2692
B2-e003Coalescence-mBHI-p5,18001,2476
B8-e003Assembly-mGAM-p5,21606,2708
C4-e003Coalescence-mGAM-p7,17259,2087
e004-inoculumn-fecal-AK,22802,2820
D3-e004Assembly-mGAM-p7,16532,2113
C8-e003Assembly-mGAM-p3,22870,2854
C3-e003Coalescence-mGAM-p3,23024,2870
D4-e004Assembly-mGAM-p5,22807,2837
D3-e003Coalescence-Inoculumn-mBHI,23031,2883
C8-e003Assembly-mGAM-p5,16993,2163
C3-e003Coalescence-mBHI-p7,22759,2829
D11-e003Coalescence-mGAM-p5,22720,2832
A11-e003Coalescence-mGAM-p7,22500,2827
C2-e003Coalescence-mGAM-p7,23024,2883
B11-e003Coalescence-mGAM-p3,22982,2863
B5-e003Assembly-mBHI-p5,12040,1772
D2-e003Coalescence-mBHI-p5,21081,2680
D8-e003Assembly-mGAM-p5,22581,2837
D5-e003Coalescence-mGAM-p5,21147,2715
A5-e003Coalescence-mGAM-p3,23011,2882
A2-e003Coalescence-Inoculumn-mGAM,22884,2856
D8-e003Coalescence-mGAM-p5,23026,2882
A12-e003Coalescence-mGAM-p3,22817,2862
C2-e003Coalescence-mBHI-p3,22649,2849
D9-e003Coalescence-mGAM-p7,22416,2790
D8-e003Assembly-mGAM-p3,22865,2858
E4-e004Assembly-mGAM-p7,18961,2416
B10-e003Coalescence-mGAM-p3,22488,2797
A9-e003Coalescence-mGAM-p7,8572,1038
B5-e003Coalescence-Inoculumn-mGAM,22597,2816
D5-e003Coalescence-mBHI-p3,22164,2782
D9-e003Coalescence-mGAM-p5,22882,2850
D10-e003Coalescence-mGAM-p5,7292,968
