,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,44755,113
D11-e003Coalescence-mBHI-p5,45678,87
C9-e003Coalescence-mGAM-p7,44842,115
C8-e003Coalescence-mGAM-p7,45284,116
F3-e004Assembly-epsilon-p3,35342,87
B2-e003Coalescence-mBHI-p3,44672,113
A8-e003Coalescence-mBHI-p3,45460,116
e004-inoculumn-fecal-BD,43772,91
A4-e003Coalescence-mBHI-p7,43334,109
B9-e003Coalescence-mGAM-p5,44767,113
A4-e003Coalescence-mBHI-inoculumn-redo,44087,116
B3-e003Coalescence-mBHI-p3,45173,116
C2-e003Coalescence-mBHI-p5,34169,93
B3-e004Assembly-mBHI-p7,44765,111
B5-e004Assembly-mBHI-p7,16365,47
C4-e003GlycerolRevival-mBHI-p2,30180,65
G5-e004Assembly-epsilon-p3,45496,114
B2-e003Assembly-mBHI-p5,42803,110
C3-e004Assembly-mBHI-p5,43594,110
B2-e003Coalescence-mBHI-p5,35413,103
B8-e003Assembly-mGAM-p5,43169,112
C4-e003Coalescence-mGAM-p7,34085,80
e004-inoculumn-fecal-AK,45538,115
D3-e004Assembly-mGAM-p7,33419,86
C8-e003Assembly-mGAM-p3,45562,117
C3-e003Coalescence-mGAM-p3,45819,117
D4-e004Assembly-mGAM-p5,45486,117
D3-e003Coalescence-Inoculumn-mBHI,45852,117
C8-e003Assembly-mGAM-p5,34029,88
C3-e003Coalescence-mBHI-p7,45239,116
D11-e003Coalescence-mGAM-p5,45326,89
A11-e003Coalescence-mGAM-p7,44900,114
C2-e003Coalescence-mGAM-p7,45851,117
B11-e003Coalescence-mGAM-p3,45734,117
B5-e003Assembly-mBHI-p5,23422,60
D2-e003Coalescence-mBHI-p5,42654,104
D8-e003Assembly-mGAM-p5,45103,115
D5-e003Coalescence-mGAM-p5,42277,110
A5-e003Coalescence-mGAM-p3,45836,117
A2-e003Coalescence-Inoculumn-mGAM,45605,117
D8-e003Coalescence-mGAM-p5,45851,117
A12-e003Coalescence-mGAM-p3,45494,116
C2-e003Coalescence-mBHI-p3,45143,113
D9-e003Coalescence-mGAM-p7,44498,113
D8-e003Assembly-mGAM-p3,45579,117
E4-e004Assembly-mGAM-p7,37881,98
B10-e003Coalescence-mGAM-p3,44737,113
A9-e003Coalescence-mGAM-p7,16888,39
B5-e003Coalescence-Inoculumn-mGAM,45079,97
D5-e003Coalescence-mBHI-p3,44256,115
D9-e003Coalescence-mGAM-p5,45470,115
D10-e003Coalescence-mGAM-p5,14535,35
C8-e003Coalescence-mBHI-p7,38857,105
B11-e003Assembly-mGAM-p5,44277,88
G3-e004Assembly-epsilon-p7,33368,94
B4-e003Coalescence-mGAM-p5,43201,107
D4-e003Coalescence-mGAM-p5,45521,117
C3-e004Assembly-mBHI-p7,45197,112
B5-e003Coalescence-mGAM-p5,44939,115
BB-Fecal,33297,71
B5-e003Coalescence-Inoculumn-mBHI,45091,113
G3-e004Assembly-epsilon-p3,35014,89
C2-e003Coalescence-mGAM-p3,27681,75
B5-e003Coalescence-mGAM-p7,45088,117
D8-e003Coalescence-mBHI-p5,43313,103
F5-e004Assembly-epsilon-p5,21837,49
D5-e003Coalescence-Inoculumn-mGAM,45547,90
B3-e004Assembly-mBHI-p5,34832,92
B5-e003Coalescence-mBHI-p3,11528,40
C5-e003Coalescence-mGAM-p7,45580,115
C5-e003Coalescence-mBHI-inoculumn-redo,45247,110
A2-e003Coalescence-mBHI-p7,28750,68
A10-e003Coalescence-mBHI-p5,31337,78
BF-Fecal,45794,116
AM-Fecal,45515,113
B8-e003Assembly-mGAM-p3,45460,116
