,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,2453,2590
D11-e003Coalescence-mBHI-p5,2497,2608
C9-e003Coalescence-mGAM-p7,2461,2612
C8-e003Coalescence-mGAM-p7,2476,2614
F3-e004Assembly-epsilon-p3,1888,1999
B2-e003Coalescence-mBHI-p3,2436,2596
A8-e003Coalescence-mBHI-p3,2467,2622
e004-inoculumn-fecal-BD,2379,2407
A4-e003Coalescence-mBHI-p7,2377,2503
B9-e003Coalescence-mGAM-p5,2450,2577
A4-e003Coalescence-mBHI-inoculumn-redo,2431,2582
B3-e003Coalescence-mBHI-p3,2409,2560
C2-e003Coalescence-mBHI-p5,1884,1988
B3-e004Assembly-mBHI-p7,2381,2490
B5-e004Assembly-mBHI-p7,859,957
C4-e003GlycerolRevival-mBHI-p2,1593,1765
G5-e004Assembly-epsilon-p3,2440,2597
B2-e003Assembly-mBHI-p5,2340,2446
C3-e004Assembly-mBHI-p5,2333,2443
B2-e003Coalescence-mBHI-p5,2055,2190
B8-e003Assembly-mGAM-p5,2348,2497
C4-e003Coalescence-mGAM-p7,1863,1955
e004-inoculumn-fecal-AK,2469,2623
D3-e004Assembly-mGAM-p7,1797,1913
C8-e003Assembly-mGAM-p3,2473,2625
C3-e003Coalescence-mGAM-p3,2504,2645
D4-e004Assembly-mGAM-p5,2475,2607
D3-e003Coalescence-Inoculumn-mBHI,2503,2645
C8-e003Assembly-mGAM-p5,1887,2020
C3-e003Coalescence-mBHI-p7,2465,2625
D11-e003Coalescence-mGAM-p5,2491,2587
A11-e003Coalescence-mGAM-p7,2443,2578
C2-e003Coalescence-mGAM-p7,2503,2645
B11-e003Coalescence-mGAM-p3,2501,2643
B5-e003Assembly-mBHI-p5,1543,1532
D2-e003Coalescence-mBHI-p5,2327,2474
D8-e003Assembly-mGAM-p5,2465,2600
D5-e003Coalescence-mGAM-p5,2361,2469
A5-e003Coalescence-mGAM-p3,2500,2642
A2-e003Coalescence-Inoculumn-mGAM,2474,2626
D8-e003Coalescence-mGAM-p5,2502,2645
A12-e003Coalescence-mGAM-p3,2481,2611
C2-e003Coalescence-mBHI-p3,2468,2606
D9-e003Coalescence-mGAM-p7,2449,2594
D8-e003Assembly-mGAM-p3,2477,2624
E4-e004Assembly-mGAM-p7,2122,2203
B10-e003Coalescence-mGAM-p3,2436,2592
A9-e003Coalescence-mGAM-p7,979,1002
B5-e003Coalescence-Inoculumn-mGAM,2473,2603
D5-e003Coalescence-mBHI-p3,2423,2575
D9-e003Coalescence-mGAM-p5,2496,2642
D10-e003Coalescence-mGAM-p5,912,916
C8-e003Coalescence-mBHI-p7,2152,2286
B11-e003Assembly-mGAM-p5,2440,2540
G3-e004Assembly-epsilon-p7,1845,1887
B4-e003Coalescence-mGAM-p5,2375,2510
D4-e003Coalescence-mGAM-p5,2468,2616
C3-e004Assembly-mBHI-p7,2399,2518
B5-e003Coalescence-mGAM-p5,2452,2581
BB-Fecal,1877,2063
B5-e003Coalescence-Inoculumn-mBHI,2450,2582
G3-e004Assembly-epsilon-p3,1871,1975
C2-e003Coalescence-mGAM-p3,1628,1669
B5-e003Coalescence-mGAM-p7,2449,2594
D8-e003Coalescence-mBHI-p5,2389,2524
F5-e004Assembly-epsilon-p5,1164,1243
D5-e003Coalescence-Inoculumn-mGAM,2504,2645
B3-e004Assembly-mBHI-p5,1933,2020
B5-e003Coalescence-mBHI-p3,741,822
C5-e003Coalescence-mGAM-p7,2480,2615
C5-e003Coalescence-mBHI-inoculumn-redo,2472,2598
A2-e003Coalescence-mBHI-p7,1635,1715
A10-e003Coalescence-mBHI-p5,1778,1861
BF-Fecal,2488,2638
AM-Fecal,2484,2618
B8-e003Assembly-mGAM-p3,2479,2616
A4-e003Coalescence-mGAM-p5,2439,2580
D5-e003Coalescence-mBHI-p5,2492,2636
D3-e003Assembly-mBHI-p3,1595,1715
