,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,277,2260
A5-e003Coalescence-mBHI-inoculumn-redo,395,3442
A5-e003Coalescence-mBHI-p1_S740,330,2859
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,384,3308
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,350,2965
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,406,3526
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,403,3469
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,249,2188
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,278,2308
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,325,2762
D2-e003Coalescence-Inoculumn-mBHI,379,3313
D2-e003Coalescence-mBHI-p1_S719,249,2245
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,297,2704
E5-e003Coalescence-mBHI-p1_S804,302,2744
H2-e003Coalescence-mBHI-p1_S783,343,2872
