,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,3,2927
C9-e003Coalescence-mGAM-p3,3,3143
C11-e003Coalescence-mBHI-p3,3,3103
D11-e003Coalescence-mBHI-p5,2,3028
C9-e003Coalescence-mGAM-p7,3,3131
C8-e003Coalescence-mGAM-p7,2,3038
D10-e003Coalescence-mBHI-p3,3,3156
A8-e003Coalescence-mBHI-p3,3,3167
e004-inoculumn-fecal-BD,2,972
B9-e003Coalescence-mGAM-p5,3,3167
A4-e003Coalescence-mBHI-inoculumn-redo,1,1528
B3-e003Coalescence-mBHI-p3,3,3163
B3-e004Assembly-mBHI-p7,1,2539
B5-e004Assembly-mBHI-p7,2,2609
D4-e003Coalescence-mBHI-p3,3,1267
C4-e003GlycerolRevival-mBHI-p2,3,3128
C5-e004Assembly-mBHI-p3,2,2822
C3-e004Assembly-mBHI-p5,2,2439
B8-e003Assembly-mGAM-p5,1,999
B12-e003Coalescence-mBHI-p3,1,1165
e004-inoculumn-fecal-AK,1,1247
D3-e004Assembly-mGAM-p7,2,2965
D4-e004Assembly-mGAM-p5,3,2303
D3-e003Coalescence-Inoculumn-mBHI,3,3178
C3-e003Coalescence-mBHI-p7,2,2204
D11-e003Coalescence-mGAM-p5,3,3172
A11-e003Coalescence-mGAM-p7,3,2354
B8-e003Coalescence-mBHI-p5,3,3167
B10-e003Assembly-mGAM-p5,1,1576
C2-e003Coalescence-mGAM-p7,3,3180
B11-e003Coalescence-mGAM-p3,3,3186
B5-e003Assembly-mBHI-p5,3,1192
D8-e003Assembly-mGAM-p5,3,2152
D5-e003Coalescence-mGAM-p5,2,1424
B5-e003Coalescence-mBHI-p5,0,906
D5-e003Coalescence-mBHI-p7,0,1320
C9-e003Coalescence-mBHI-p5,3,3149
A5-e003Coalescence-mGAM-p3,3,2874
A2-e003Coalescence-Inoculumn-mGAM,1,1713
E5-e004Assembly-mGAM-p5,3,2988
D8-e003Coalescence-mGAM-p5,3,3131
A12-e003Coalescence-mGAM-p3,3,2251
C4-e004Assembly-mBHI-p5,2,1158
D9-e003Coalescence-mGAM-p7,3,2883
D8-e003Assembly-mGAM-p3,0,1261
E4-e004Assembly-mGAM-p7,0,2169
E3-e004Assembly-mGAM-p3,1,2958
B10-e003Coalescence-mGAM-p3,3,3086
A9-e003Coalescence-mGAM-p7,3,2837
B5-e003Coalescence-Inoculumn-mGAM,3,3140
D10-e003Coalescence-mBHI-p5,3,3010
D5-e003Coalescence-mBHI-p3,3,3017
D9-e003Coalescence-mGAM-p5,3,3159
C9-e003Coalescence-mBHI-p3,3,3181
D10-e003Coalescence-mGAM-p5,3,3175
C8-e003Coalescence-mBHI-p7,3,3099
C3-e004Assembly-mBHI-p7,2,1831
