,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,764,667
C9-e003Coalescence-mGAM-p3,837,706
C11-e003Coalescence-mBHI-p3,825,696
D11-e003Coalescence-mBHI-p5,797,681
C9-e003Coalescence-mGAM-p7,829,706
C8-e003Coalescence-mGAM-p7,798,691
D10-e003Coalescence-mBHI-p3,835,711
A8-e003Coalescence-mBHI-p3,835,711
e004-inoculumn-fecal-BD,288,243
B9-e003Coalescence-mGAM-p5,838,713
A4-e003Coalescence-mBHI-inoculumn-redo,435,350
B3-e003Coalescence-mBHI-p3,843,717
B3-e004Assembly-mBHI-p7,678,585
B5-e004Assembly-mBHI-p7,699,586
D4-e003Coalescence-mBHI-p3,360,320
C4-e003GlycerolRevival-mBHI-p2,812,705
C5-e004Assembly-mBHI-p3,749,643
C3-e004Assembly-mBHI-p5,664,568
B8-e003Assembly-mGAM-p5,282,229
B12-e003Coalescence-mBHI-p3,301,253
e004-inoculumn-fecal-AK,322,327
D3-e004Assembly-mGAM-p7,787,675
D4-e004Assembly-mGAM-p5,614,498
D3-e003Coalescence-Inoculumn-mBHI,841,717
C3-e003Coalescence-mBHI-p7,591,484
D11-e003Coalescence-mGAM-p5,841,711
A11-e003Coalescence-mGAM-p7,648,564
B8-e003Coalescence-mBHI-p5,838,712
B10-e003Assembly-mGAM-p5,424,369
C2-e003Coalescence-mGAM-p7,843,717
B11-e003Coalescence-mGAM-p3,843,717
B5-e003Assembly-mBHI-p5,442,387
D8-e003Assembly-mGAM-p5,572,494
D5-e003Coalescence-mGAM-p5,427,352
B5-e003Coalescence-mBHI-p5,195,163
D5-e003Coalescence-mBHI-p7,382,293
C9-e003Coalescence-mBHI-p5,838,713
A5-e003Coalescence-mGAM-p3,787,649
A2-e003Coalescence-Inoculumn-mGAM,480,384
E5-e004Assembly-mGAM-p5,783,691
D8-e003Coalescence-mGAM-p5,830,706
A12-e003Coalescence-mGAM-p3,621,517
C4-e004Assembly-mBHI-p5,295,280
D9-e003Coalescence-mGAM-p7,776,664
D8-e003Assembly-mGAM-p3,322,268
E4-e004Assembly-mGAM-p7,586,495
E3-e004Assembly-mGAM-p3,792,672
B10-e003Coalescence-mGAM-p3,787,699
A9-e003Coalescence-mGAM-p7,748,640
B5-e003Coalescence-Inoculumn-mGAM,834,706
D10-e003Coalescence-mBHI-p5,810,695
D5-e003Coalescence-mBHI-p3,813,690
D9-e003Coalescence-mGAM-p5,836,702
C9-e003Coalescence-mBHI-p3,842,717
D10-e003Coalescence-mGAM-p5,842,715
C8-e003Coalescence-mBHI-p7,820,693
C3-e004Assembly-mBHI-p7,503,432
B5-e003Coalescence-mGAM-p5,463,389
BB-Fecal,821,707
B5-e003Coalescence-Inoculumn-mBHI,797,678
C2-e003Coalescence-mGAM-p3,527,434
D8-e003Coalescence-mBHI-p5,831,701
E5-e004Assembly-mGAM-p7,704,607
B10-e003Coalescence-mBHI-p5,839,711
D5-e003Coalescence-Inoculumn-mGAM,835,706
B3-e004Assembly-mBHI-p5,711,624
B5-e003Coalescence-mBHI-p3,363,294
C5-e003Coalescence-mBHI-inoculumn-redo,830,701
A10-e003Coalescence-mBHI-p5,799,674
BF-Fecal,714,624
AM-Fecal,493,452
B8-e003Assembly-mGAM-p3,268,243
A4-e003Coalescence-mGAM-p5,805,681
D5-e003Coalescence-mBHI-p5,841,716
D3-e003Assembly-mBHI-p3,392,330
e003-inoculumn-fecal-inoculumn,561,494
A8-e003Coalescence-mBHI-p7,842,717
e003-inoculumn-fecal-AC,571,490
B9-e003GlycerolRevival-mGAM-p2,490,434
B2-e003Coalescence-Inoculumn-mGAM,813,687
C5-e003Coalescence-mBHI-p5,572,494
C5-e003Coalescence-mGAM-p3,822,703
A3-e003Coalescence-mBHI-inoculumn-redo,220,190
B12-e003Coalescence-mGAM-p3,807,690
A11-e003Coalescence-mBHI-p7,653,558
A3-e003Coalescence-Inoculumn-mGAM,550,476
C10-e003GlycerolRevival-mGAM-p2,655,555
D3-e003Assembly-mBHI-p5,829,707
A10-e003Coalescence-mGAM-p3,799,692
A9-e003Coalescence-mBHI-p3,843,716
A2-e003Coalescence-Inoculumn-mBHI,837,709
C3-e003Coalescence-mBHI-p5,719,586
D2-e003Assembly-mBHI-p3,679,585
B3-e003Assembly-mBHI-p5,449,409
A9-e003Coalescence-mBHI-p5,823,701
D5-e003Coalescence-Inoculumn-mBHI,843,715
B2-e003Coalescence-mGAM-p3,801,679
B4-e003Assembly-mBHI-p3,325,256
C11-e003Coalescence-mGAM-p5,831,701
G4-e004Assembly-epsilon-p3,428,339
B3-e003Coalescence-Inoculumn-mBHI,843,717
A8-e003Coalescence-mBHI-p5,820,704
C2-e003Assembly-mBHI-p5,291,292
BG-Fecal,748,632
D2-e003Coalescence-mGAM-p5,527,462
D3-e003Coalescence-mGAM-p3,692,570
D9-e003Coalescence-mGAM-p3,833,711
D3-e003Coalescence-mGAM-p5,672,612
C10-e003Coalescence-mGAM-p3,776,672
A5-e003Coalescence-mBHI-inoculumn-redo,829,705
D2-e003Assembly-mBHI-p5,561,499
B9-e003Coalescence-mGAM-p7,659,584
B11-e003Coalescence-mGAM-p7,519,463
C3-e003Coalescence-Inoculumn-mGAM,841,716
B5-e003Coalescence-mBHI-p7,393,296
A3-e003Coalescence-mGAM-p7,822,695
D4-e003Coalescence-Inoculumn-mBHI,840,710
