,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,8956,15261
C9-e003Coalescence-mGAM-p3,8987,15301
B5-e004Assembly-mBHI-p3,8798,14854
C11-e003Coalescence-mBHI-p3,8963,15277
D11-e003Coalescence-mBHI-p5,8955,15292
C9-e003Coalescence-mGAM-p7,8985,15286
C8-e003Coalescence-mGAM-p7,8984,15313
D10-e003Coalescence-mBHI-p3,8979,15297
F3-e004Assembly-epsilon-p3,8126,13462
B2-e003Coalescence-mBHI-p3,3310,7861
A8-e003Coalescence-mBHI-p3,8879,15305
A4-e003Coalescence-mBHI-p7,8737,14867
B9-e003Coalescence-mGAM-p5,8966,15295
A4-e003Coalescence-mBHI-inoculumn-redo,8986,15309
B3-e003Coalescence-mBHI-p3,8982,15308
D4-e003Coalescence-mBHI-p5,8980,15294
C2-e003Coalescence-mBHI-p5,5719,9762
B3-e004Assembly-mBHI-p7,8548,14185
B5-e004Assembly-mBHI-p7,8870,15021
D4-e003Coalescence-mBHI-p3,8978,15258
C4-e003GlycerolRevival-mBHI-p2,8981,15300
C5-e004Assembly-mBHI-p3,8682,14663
D10-e003Assembly-mGAM-p5,8677,14348
C3-e004Assembly-mBHI-p5,8522,14160
B8-e003Assembly-mGAM-p5,8818,15292
F4-e004Assembly-epsilon-p5,6761,11705
C4-e003Coalescence-mGAM-p7,8986,15315
B12-e003Coalescence-mBHI-p3,8694,14921
D3-e004Assembly-mGAM-p7,8545,14190
C8-e003Assembly-mGAM-p3,8649,15162
C3-e003Coalescence-mGAM-p3,8987,15312
B4-e003Assembly-mBHI-p5,8979,15154
D4-e004Assembly-mGAM-p5,8858,15137
D3-e003Coalescence-Inoculumn-mBHI,8940,15269
C8-e003Assembly-mGAM-p5,7449,13901
C3-e003Coalescence-mBHI-p7,8982,15256
D11-e003Coalescence-mGAM-p5,8943,15261
A11-e003Coalescence-mGAM-p7,8965,15293
B8-e003Coalescence-mBHI-p5,8946,15264
B10-e003Assembly-mGAM-p5,8702,14444
C2-e003Coalescence-mGAM-p7,8981,15267
D3-e003Coalescence-mBHI-p5,8968,15301
B11-e003Coalescence-mGAM-p3,8958,15279
C4-e003Coalescence-mBHI-inoculumn-redo,8987,15316
B5-e003Assembly-mBHI-p5,8949,15281
D2-e003Coalescence-mBHI-p5,8622,14951
D8-e003Assembly-mGAM-p5,8637,15164
D5-e003Coalescence-mGAM-p5,8908,15246
B5-e003Coalescence-mBHI-p5,8982,15296
D5-e003Coalescence-mBHI-p7,8963,15296
C9-e003Coalescence-mBHI-p5,8986,15306
A10-e003Coalescence-mBHI-p3,8270,14495
A5-e003Coalescence-mGAM-p3,8927,15271
A2-e003Coalescence-Inoculumn-mGAM,8872,15307
E5-e004Assembly-mGAM-p5,8843,14977
D8-e003Coalescence-mGAM-p5,8953,15295
A12-e003Coalescence-mGAM-p3,8733,15114
C2-e003Coalescence-mBHI-p3,8443,13533
C4-e004Assembly-mBHI-p5,8840,15095
D9-e003Coalescence-mGAM-p7,8658,14639
D4-e003Coalescence-mBHI-p7,8979,15306
D8-e003Assembly-mGAM-p3,8462,14949
E4-e004Assembly-mGAM-p7,8837,15121
E3-e004Assembly-mGAM-p3,8537,14181
B10-e003Coalescence-mGAM-p3,8898,15055
A9-e003Coalescence-mGAM-p7,8962,15289
D5-e004Assembly-mGAM-p5,8729,14815
B5-e003Coalescence-Inoculumn-mGAM,8924,15259
D10-e003Coalescence-mBHI-p5,8972,15296
D5-e003Coalescence-mBHI-p3,8933,15275
C5-e003Coalescence-mBHI-p3,8959,15133
D9-e003Coalescence-mGAM-p5,8942,15220
C9-e003Coalescence-mBHI-p3,8981,15310
D10-e003Coalescence-mGAM-p5,8984,15311
C8-e003Coalescence-mBHI-p7,8964,15306
B11-e003Assembly-mGAM-p5,8665,14949
G3-e004Assembly-epsilon-p7,8498,14075
B4-e003Coalescence-mGAM-p5,8973,15172
D4-e003Coalescence-mGAM-p5,8985,15315
C3-e004Assembly-mBHI-p7,8537,14160
B5-e003Coalescence-mGAM-p5,8948,15275
B5-e003Coalescence-Inoculumn-mBHI,8934,15252
G3-e004Assembly-epsilon-p3,7878,13080
C2-e003Coalescence-mGAM-p3,8979,15289
B5-e003Coalescence-mGAM-p7,8927,15254
D8-e003Coalescence-mBHI-p5,8946,15307
E5-e004Assembly-mGAM-p7,8614,14406
C10-e003Assembly-mGAM-p3,8798,15062
B10-e003Coalescence-mBHI-p5,8986,15313
D5-e003Coalescence-Inoculumn-mGAM,8859,15189
B3-e004Assembly-mBHI-p5,8516,14152
B5-e003Coalescence-mBHI-p3,8980,15307
G4-e004Assembly-epsilon-p5,7672,13230
C4-e003Coalescence-mGAM-p5,8987,15303
C5-e003Coalescence-mGAM-p7,8984,15312
C5-e003Coalescence-mBHI-inoculumn-redo,8987,15312
A2-e003Coalescence-mBHI-p7,3093,6209
A10-e003Coalescence-mBHI-p5,8897,15274
B8-e003Assembly-mGAM-p3,8336,14786
A4-e003Coalescence-mGAM-p5,8953,15268
D5-e003Coalescence-mBHI-p5,8982,15237
D4-e003Coalescence-mGAM-p7,8987,15314
E4-e004Assembly-mGAM-p3,8832,15102
A8-e003Coalescence-mBHI-p7,8883,15310
E3-e004Assembly-mGAM-p7,8549,14185
B9-e003GlycerolRevival-mGAM-p2,8876,15230
C4-e003Coalescence-mGAM-p3,8987,15315
B2-e003Coalescence-Inoculumn-mGAM,8963,15313
D5-e003Coalescence-mGAM-p7,8456,14734
C5-e003Coalescence-mBHI-p5,8987,15310
C5-e003Coalescence-mGAM-p3,8986,15290
D9-e003Assembly-mGAM-p5,5908,9978
B12-e003Coalescence-mGAM-p3,8836,15171
A11-e003Coalescence-mBHI-p7,8816,15228
A3-e003Coalescence-Inoculumn-mGAM,8937,15314
D10-e003Assembly-mGAM-p3,8961,15289
C3-e003Coalescence-mGAM-p5,8985,15284
B4-e004Assembly-mBHI-p5,8844,15115
C10-e003GlycerolRevival-mGAM-p2,8852,14919
D3-e003Assembly-mBHI-p5,3837,6609
A10-e003Coalescence-mGAM-p3,8985,15284
A9-e003Coalescence-mBHI-p3,8959,15287
A2-e003Coalescence-Inoculumn-mBHI,8987,15316
D3-e003Coalescence-mBHI-p7,8955,15279
C3-e003Coalescence-mBHI-p5,8839,14667
D11-e003Assembly-mGAM-p3,8845,15157
D2-e003Assembly-mBHI-p3,8184,14597
A9-e003Coalescence-mBHI-p5,8899,15230
D5-e003Coalescence-Inoculumn-mBHI,8911,15251
B2-e003Coalescence-mGAM-p3,8901,15222
B4-e003Assembly-mBHI-p3,8951,15218
C11-e003Coalescence-mGAM-p5,8984,15315
G4-e004Assembly-epsilon-p3,8571,14710
B3-e003Coalescence-Inoculumn-mBHI,8667,14827
A8-e003Coalescence-mBHI-p5,8811,15296
D5-e004Assembly-mGAM-p7,8842,14976
D9-e003Coalescence-mBHI-p3,8309,14363
D5-e003Assembly-mBHI-p5,8886,15233
A5-e003Coalescence-mBHI-p7,8803,15120
BG-Fecal,5090,8954
D2-e003Coalescence-mGAM-p5,8977,15314
