,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
D11-e003Assembly-mGAM-p3,16033,5004
D2-e003Assembly-mBHI-p3,15243,4716
A9-e003Coalescence-mBHI-p5,16121,5029
D5-e003Coalescence-Inoculumn-mBHI,16249,4992
B2-e003Coalescence-mGAM-p3,15787,4463
B4-e003Assembly-mBHI-p3,16219,4747
C11-e003Coalescence-mGAM-p5,16426,5040
G4-e004Assembly-epsilon-p3,15744,4842
B3-e003Coalescence-Inoculumn-mBHI,15331,4353
A8-e003Coalescence-mBHI-p5,16165,4950
D5-e004Assembly-mGAM-p7,16027,4827
D9-e003Coalescence-mBHI-p3,14734,4721
D5-e003Assembly-mBHI-p5,16118,5029
A5-e003Coalescence-mBHI-p7,15888,4995
BG-Fecal,9491,2638
D2-e003Coalescence-mGAM-p5,16411,5041
B9-e003Assembly-mGAM-p5,15919,4964
D3-e003Coalescence-mGAM-p3,16360,5005
D9-e003Coalescence-mGAM-p3,16373,5040
D3-e003Coalescence-mGAM-p5,16254,5014
C10-e003Coalescence-mGAM-p3,16400,5016
A5-e003Coalescence-mBHI-inoculumn-redo,16264,5002
B11-e003Assembly-mGAM-p3,15559,4871
B9-e003Coalescence-mGAM-p7,16381,5040
B11-e003Coalescence-mGAM-p7,15681,4706
C3-e003Coalescence-Inoculumn-mGAM,16425,5041
B5-e003Coalescence-mBHI-p7,16334,5038
A3-e003Coalescence-mGAM-p7,15898,4594
D4-e003Coalescence-Inoculumn-mBHI,16424,5037
A4-e003Coalescence-mBHI-p5,15732,4422
B3-e003Coalescence-mBHI-p7,14422,3957
D10-e003Coalescence-mGAM-p7,16423,5041
C12-e003Coalescence-mGAM-p3,16397,5038
C11-e003Coalescence-mGAM-p3,16427,5040
D5-e004Assembly-mGAM-p3,16207,4925
A10-e003Coalescence-mBHI-p7,16312,4988
C10-e003Coalescence-mBHI-p7,16365,4992
B9-e003Coalescence-mBHI-p5,16248,5039
F4-e004Assembly-epsilon-p3,10166,3245
B10-e003Coalescence-mBHI-p3,16375,5033
C11-e003Coalescence-mBHI-p5,16386,5041
A2-e003Coalescence-mGAM-p7,15996,4905
C5-e003Assembly-mBHI-p3,16122,5021
E3-e004Assembly-mGAM-p5,15191,4467
C3-e003GlycerolRevival-mBHI-p2,8831,2380
D10-e003Coalescence-mGAM-p3,16393,5028
B10-e003Coalescence-mGAM-p7,16258,4927
C4-e004Assembly-mBHI-p3,16245,4985
A9-e003Coalescence-mBHI-p7,16344,5037
C2-e003Coalescence-Inoculumn-mGAM,16409,5021
B3-e003Coalescence-Inoculumn-mGAM,16427,5041
D11-e003Coalescence-mGAM-p7,16221,5025
D5-e003Coalescence-mGAM-p3,16247,5007
D4-e004Assembly-mGAM-p3,16181,4971
E4-e004Assembly-mGAM-p5,16276,4990
E5-e004Assembly-mGAM-p3,15386,4621
D2-e003Coalescence-Inoculumn-mBHI,16228,4994
B4-e003Coalescence-Inoculumn-mGAM,16426,5041
A10-e003Coalescence-mGAM-p7,16392,5023
B2-e003Assembly-mBHI-p3,14585,4508
F4-e004Assembly-epsilon-p7,12404,3885
D9-e003Coalescence-mBHI-p5,16247,5039
C4-e003Coalescence-Inoculumn-mGAM,16427,5041
D4-e003Coalescence-mGAM-p3,16410,5036
B9-e003Coalescence-mBHI-p7,16039,5001
A2-e003Coalescence-mGAM-p5,16168,4962
D11-e003Assembly-mGAM-p5,11691,3951
C3-e003Coalescence-mGAM-p7,16392,5006
B11-e003GlycerolRevival-mGAM-p2,15384,4883
C5-e004Assembly-mBHI-p7,9015,2634
B3-e003Coalescence-mGAM-p5,15982,4554
D9-e003Coalescence-mBHI-p7,16192,5032
B10-e003Assembly-mGAM-p3,15365,4437
D3-e004Assembly-mGAM-p5,15208,4469
C5-e003Coalescence-mBHI-p7,16420,5041
D12-e003Coalescence-mBHI-p3,12655,4202
D4-e004Assembly-mGAM-p7,16296,4989
C11-e003Coalescence-mGAM-p7,16425,5041
C11-e003Assembly-mGAM-p3,16234,5033
D10-e003Coalescence-mBHI-p7,16402,5039
C9-e003Coalescence-mBHI-p7,16365,5007
A2-e003Coalescence-mBHI-p3,10001,3111
B8-e003Coalescence-mGAM-p5,16410,5041
C3-e004Assembly-mBHI-p3,15166,4449
C11-e003Assembly-mGAM-p5,16143,5005
B10-e003GlycerolRevival-mGAM-p2,16339,4899
B3-e003Coalescence-mBHI-p5,15621,4381
C2-e003Coalescence-mBHI-inoculumn-redo,16368,5004
A8-e003Coalescence-mGAM-p7,16216,4958
C11-e003GlycerolRevival-mGAM-p2,16303,5021
B2-e003Coalescence-Inoculumn-mBHI,12980,3617
A11-e003Coalescence-mBHI-p5,16308,5028
C10-e003Coalescence-mGAM-p5,16405,5019
C4-e003Assembly-mBHI-p5,15858,4460
C9-e003Assembly-mGAM-p5,14042,4033
A5-e003Coalescence-Inoculumn-mGAM,16257,4975
D4-e003Coalescence-Inoculumn-mGAM,16249,4925
A2-e003Coalescence-mBHI-p5,11397,3556
B5-e004Assembly-mBHI-p5,15996,4824
C5-e003Assembly-mBHI-p5,15424,4894
C10-e003Coalescence-mBHI-p5,16144,4828
B9-e003Coalescence-mBHI-p3,15930,4969
C3-e003Coalescence-mBHI-inoculumn-redo,16386,5021
B5-e003Coalescence-mGAM-p3,16099,4946
BK-Fecal,14513,4481
A5-e003Coalescence-mBHI-p3,8350,2962
C4-e004Assembly-mBHI-p7,16177,4975
A4-e003Coalescence-mBHI-p3,7414,2038
C9-e003GlycerolRevival-mGAM-p2,15108,4323
B4-e004Assembly-mBHI-p3,16230,4983
F3-e004Assembly-epsilon-p5,9732,2699
C9-e003Coalescence-mGAM-p5,16407,5030
A2-e003Coalescence-mBHI-inoculumn-redo,15267,4734
C2-e003Coalescence-mGAM-p5,16360,5015
B8-e003GlycerolRevival-mGAM-p2,16158,4945
C8-e003Coalescence-mBHI-p5,16274,4969
B8-e003Coalescence-mGAM-p7,16403,5041
B4-e003Coalescence-Inoculumn-mBHI,16383,4997
D2-e003Coalescence-Inoculumn-mGAM,16217,4971
B8-e003Coalescence-mBHI-p7,16232,5032
B3-e004Assembly-mBHI-p3,15148,4437
D3-e003Coalescence-Inoculumn-mGAM,16334,5040
B11-e003Coalescence-mBHI-p3,16200,5019
C5-e003Coalescence-Inoculumn-mGAM,16421,5037
C4-e003Coalescence-mBHI-p5,16366,4991
G3-e004Assembly-epsilon-p5,14865,4366
BC-Fecal,5842,1677
e004-inoculumn-fecal-BE,8298,2550
A11-e003Coalescence-mBHI-p3,16390,5037
B4-e004Assembly-mBHI-p7,16200,4969
A4-e003Coalescence-Inoculumn-mGAM,16414,5025
B4-e003Coalescence-mBHI-p3,12673,3849
A5-e003Coalescence-Inoculumn-mBHI,15909,4945
A9-e003Coalescence-mGAM-p5,16381,5041
C10-e003Coalescence-mGAM-p7,16406,5030
F3-e004Assembly-epsilon-p7,11875,3335
A11-e003Coalescence-mGAM-p3,16368,5039
C10-e003Coalescence-mBHI-p3,16401,5005
D2-e003Coalescence-mBHI-p3,16275,5032
C5-e003GlycerolRevival-mBHI-p2,16158,4981
H5-e003Coalescence-mBHI-p5_S40,16256,5037
E2-e003Coalescence-mGAM-p7_S145,16039,4931
G5-e003Coalescence-mBHI-p7_S124,16397,5041
H111-e003Coalescence-mGAM-p7_S188,16136,5037
H4-e003Coalescence-mGAM-p7_S183,16413,5041
F5-e003Coalescence-mGAM-p5_S64,16012,4940
F5-e003Coalescence-mGAM-p7_S160,16237,4967
F8-e003Coalescence-mBHI-p3_S117,15867,5018
H3-e003Coalescence-mBHI-p3_S46,15980,4645
H2-e003Coalescence-mBHI-p7_S133,15780,4980
E5-e003Coalescence-mBHI-p3_S12,16011,5015
F100-e003Coalescence-mGAM-p7_S163,15970,4662
F9-e003Coalescence-mBHI-p5_S18,15851,5017
H3-e003Coalescence-mBHI-p7_S134,15986,4991
E3-e003Coalescence-mGAM-p3_S58,15675,4355
G4-e003Coalescence-mBHI-p5_S27,16296,4932
E8-e003Coalescence-mBHI-p5_S5,16079,4955
G2-e003Coalescence-mBHI-p3_S33,10007,2751
E9-e003Coalescence-mBHI-p5_S6,15867,5032
H111-e003Coalescence-mBHI-p3_S144,16262,5039
G111-e003Coalescence-mGAM-p5_S80,16407,5040
G100-e003Coalescence-mGAM-p3_S179,16362,4938
F111-e003Coalescence-mGAM-p5_S68,15811,5003
G111-e003Coalescence-mBHI-p5_S32,16315,5039
G5-e003Coalescence-mBHI-p3_S36,16356,5006
H2-e003Coalescence-mGAM-p7_S181,16346,5041
H9-e003Coalescence-mGAM-p3_S190,15160,4886
E3-e003Coalescence-mBHI-p3_S10,4423,1143
H2-e003Coalescence-mGAM-p5_S85,15600,4952
G8-e003Coalescence-mGAM-p3_S177,16414,5038
F2-e003Coalescence-mGAM-p7_S157,15802,4383
H3-e003Coalescence-mGAM-p3_S94,16077,4945
H4-e003Coalescence-mGAM-p3_S95,16041,4868
E5-e003Coalescence-mBHI-p7_S100,16055,4993
G111-e003Coalescence-mBHI-p3_S132,5376,1824
F3-e003Coalescence-mGAM-p3_S70,15711,4472
E100-e003Coalescence-mBHI-p7_S103,16081,4934
F9-e003Coalescence-mGAM-p5_S66,16027,5034
G111-e003Coalescence-mGAM-p7_S176,15764,4783
H100-e003Coalescence-mGAM-p7_S187,16394,5035
