,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
G4-e004Assembly-epsilon-p5,0.04458784074570094,0.05329989984979285
C4-e003Coalescence-mGAM-p5,0.115,0.877
C5-e003Coalescence-mGAM-p7,0.0021147356723014133,0.588
C5-e003Coalescence-mBHI-inoculumn-redo,0.039,0.458
A2-e003Coalescence-mBHI-p7,0.2119950259285643,0.20519159885186203
A10-e003Coalescence-mBHI-p5,0.008911261993976087,0.188
B8-e003Assembly-mGAM-p3,0.027414646803154582,0.02770070911752112
A4-e003Coalescence-mGAM-p5,0.003815038445561088,0.0035946601984324913
D5-e003Coalescence-mBHI-p5,2.856060154206045e-05,0.9998905494656238
D4-e003Coalescence-mGAM-p7,0.0006880595879240506,0.423
E4-e004Assembly-mGAM-p3,0.005159544418417684,0.005720190623051381
A8-e003Coalescence-mBHI-p7,0.0027886644522051697,0.002883420274310515
E3-e004Assembly-mGAM-p7,0.9953292540579436,0.002415224715676329
B9-e003GlycerolRevival-mGAM-p2,0.008177856926313763,0.005460070061533101
C4-e003Coalescence-mGAM-p3,0.5,0.478
B2-e003Coalescence-Inoculumn-mGAM,0.015,0.0024413331388636493
D5-e003Coalescence-mGAM-p7,0.026053421986281494,0.022944407209427004
C5-e003Coalescence-mBHI-p5,0.004295291861886383,0.766
C5-e003Coalescence-mGAM-p3,0.0024790180793516194,0.844
D9-e003Assembly-mGAM-p5,0.880640725260836,0.07859464081250905
B12-e003Coalescence-mGAM-p3,0.01043747798845324,0.008637623973302007
A11-e003Coalescence-mBHI-p7,0.023370339106313892,0.022061088981079762
A3-e003Coalescence-Inoculumn-mGAM,0.005681705487796267,0.004663443414716683
D10-e003Assembly-mGAM-p3,0.849,0.104
C3-e003Coalescence-mGAM-p5,0.077,0.912
B4-e004Assembly-mBHI-p5,0.006848782857791222,0.008663171311884045
C10-e003GlycerolRevival-mGAM-p2,0.915,0.018291595227381167
D3-e003Assembly-mBHI-p5,0.8012733282056861,0.14626710575391702
A10-e003Coalescence-mGAM-p3,0.001275844940757994,0.962
A9-e003Coalescence-mBHI-p3,0.075,0.0040208818045611135
