,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,15001,24300
C9-e003Coalescence-mGAM-p3,15060,24400
B5-e004Assembly-mBHI-p3,14774,23695
C11-e003Coalescence-mBHI-p3,15023,24345
D11-e003Coalescence-mBHI-p5,15017,24355
C9-e003Coalescence-mGAM-p7,15059,24390
C8-e003Coalescence-mGAM-p7,15060,24404
D10-e003Coalescence-mBHI-p3,15037,24381
F3-e004Assembly-epsilon-p3,12585,21599
B2-e003Coalescence-mBHI-p3,6334,11452
A8-e003Coalescence-mBHI-p3,14907,24059
A4-e003Coalescence-mBHI-p7,13986,23479
B9-e003Coalescence-mGAM-p5,15034,24380
A4-e003Coalescence-mBHI-inoculumn-redo,15056,24404
B3-e003Coalescence-mBHI-p3,14711,24251
D4-e003Coalescence-mBHI-p5,15047,24361
C2-e003Coalescence-mBHI-p5,8797,15157
B3-e004Assembly-mBHI-p7,13430,22734
B5-e004Assembly-mBHI-p7,14842,23956
D4-e003Coalescence-mBHI-p3,15038,24346
C4-e003GlycerolRevival-mBHI-p2,14622,24242
C5-e004Assembly-mBHI-p3,14525,23360
D10-e003Assembly-mGAM-p5,13689,23026
C3-e004Assembly-mBHI-p5,13379,22695
B8-e003Assembly-mGAM-p5,14830,23974
F4-e004Assembly-epsilon-p5,11443,18548
C4-e003Coalescence-mGAM-p7,14954,24348
B12-e003Coalescence-mBHI-p3,14584,23604
D3-e004Assembly-mGAM-p7,13418,22742
C8-e003Assembly-mGAM-p3,14686,23684
C3-e003Coalescence-mGAM-p3,15059,24410
B4-e003Assembly-mBHI-p5,15042,24219
D4-e004Assembly-mGAM-p5,14987,24154
D3-e003Coalescence-Inoculumn-mBHI,14970,24325
C8-e003Assembly-mGAM-p5,13294,21359
C3-e003Coalescence-mBHI-p7,15052,24361
D11-e003Coalescence-mGAM-p5,14988,24300
A11-e003Coalescence-mGAM-p7,15030,24367
B8-e003Coalescence-mBHI-p5,15008,24319
B10-e003Assembly-mGAM-p5,13781,23174
C2-e003Coalescence-mGAM-p7,15057,24357
D3-e003Coalescence-mBHI-p5,15009,24379
B11-e003Coalescence-mGAM-p3,15027,24358
C4-e003Coalescence-mBHI-inoculumn-redo,15060,24418
B5-e003Assembly-mBHI-p5,15010,24300
D2-e003Coalescence-mBHI-p5,14565,23711
D8-e003Assembly-mGAM-p5,14696,23686
D5-e003Coalescence-mGAM-p5,14943,24266
B5-e003Coalescence-mBHI-p5,15007,24378
D5-e003Coalescence-mBHI-p7,15039,24382
C9-e003Coalescence-mBHI-p5,15057,24396
A10-e003Coalescence-mBHI-p3,14211,22834
A5-e003Coalescence-mGAM-p3,14983,24306
A2-e003Coalescence-Inoculumn-mGAM,14912,24047
E5-e004Assembly-mGAM-p5,14814,23857
D8-e003Coalescence-mGAM-p5,15034,24361
A12-e003Coalescence-mGAM-p3,14762,23962
C2-e003Coalescence-mBHI-p3,13329,21581
C4-e004Assembly-mBHI-p5,14946,24093
D9-e003Coalescence-mGAM-p7,14176,23449
D4-e003Coalescence-mBHI-p7,15051,24401
D8-e003Assembly-mGAM-p3,14418,23282
E4-e004Assembly-mGAM-p7,14956,24127
E3-e004Assembly-mGAM-p3,13397,22732
B10-e003Coalescence-mGAM-p3,14842,24049
A9-e003Coalescence-mGAM-p7,15023,24371
D5-e004Assembly-mGAM-p5,14659,23630
B5-e003Coalescence-Inoculumn-mGAM,14995,24289
D10-e003Coalescence-mBHI-p5,15031,24378
D5-e003Coalescence-mBHI-p3,14986,24314
C5-e003Coalescence-mBHI-p3,15024,24160
D9-e003Coalescence-mGAM-p5,14981,24293
C9-e003Coalescence-mBHI-p3,15053,24405
D10-e003Coalescence-mGAM-p5,15058,24409
C8-e003Coalescence-mBHI-p7,14968,24162
B11-e003Assembly-mGAM-p5,14643,23715
G3-e004Assembly-epsilon-p7,13283,22559
B4-e003Coalescence-mGAM-p5,15054,24256
D4-e003Coalescence-mGAM-p5,15058,24414
C3-e004Assembly-mBHI-p7,13386,22691
B5-e003Coalescence-mGAM-p5,15011,24330
B5-e003Coalescence-Inoculumn-mBHI,14958,24302
G3-e004Assembly-epsilon-p3,12121,20911
C2-e003Coalescence-mGAM-p3,15056,24360
B5-e003Coalescence-mGAM-p7,14983,24296
D8-e003Coalescence-mBHI-p5,15028,24358
E5-e004Assembly-mGAM-p7,14244,22963
C10-e003Assembly-mGAM-p3,14377,23878
B10-e003Coalescence-mBHI-p5,15059,24415
D5-e003Coalescence-Inoculumn-mGAM,14878,24144
B3-e004Assembly-mBHI-p5,13355,22678
B5-e003Coalescence-mBHI-p3,15007,24389
G4-e004Assembly-epsilon-p5,13133,20987
C4-e003Coalescence-mGAM-p5,15057,24396
C5-e003Coalescence-mGAM-p7,15057,24410
C5-e003Coalescence-mBHI-inoculumn-redo,15056,24413
A2-e003Coalescence-mBHI-p7,5616,9481
A10-e003Coalescence-mBHI-p5,14907,24000
B8-e003Assembly-mGAM-p3,14227,23033
A4-e003Coalescence-mGAM-p5,14998,24317
D5-e003Coalescence-mBHI-p5,15055,24329
D4-e003Coalescence-mGAM-p7,15059,24414
E4-e004Assembly-mGAM-p3,14963,24104
A8-e003Coalescence-mBHI-p7,14925,24093
E3-e004Assembly-mGAM-p7,13449,22739
B9-e003GlycerolRevival-mGAM-p2,14933,24240
C4-e003Coalescence-mGAM-p3,15054,24411
B2-e003Coalescence-Inoculumn-mGAM,15007,24244
D5-e003Coalescence-mGAM-p7,14361,23302
C5-e003Coalescence-mBHI-p5,15056,24404
C5-e003Coalescence-mGAM-p3,15056,24384
D9-e003Assembly-mGAM-p5,8947,15976
B12-e003Coalescence-mGAM-p3,14878,24141
A11-e003Coalescence-mBHI-p7,14924,24110
A3-e003Coalescence-Inoculumn-mGAM,14993,24225
D10-e003Assembly-mGAM-p3,14795,24295
C3-e003Coalescence-mGAM-p5,15055,24386
B4-e004Assembly-mBHI-p5,14963,24124
C10-e003GlycerolRevival-mGAM-p2,14313,23774
D3-e003Assembly-mBHI-p5,5806,10497
A10-e003Coalescence-mGAM-p3,15058,24386
A9-e003Coalescence-mBHI-p3,15026,24370
A2-e003Coalescence-Inoculumn-mBHI,13471,21714
D3-e003Coalescence-mBHI-p7,15014,24338
C3-e003Coalescence-mBHI-p5,14604,23453
D11-e003Assembly-mGAM-p3,14871,24114
D2-e003Assembly-mBHI-p3,14146,22709
A9-e003Coalescence-mBHI-p5,14935,24216
D5-e003Coalescence-Inoculumn-mBHI,14933,24276
B2-e003Coalescence-mGAM-p3,14450,24138
B4-e003Assembly-mBHI-p3,14868,24188
C11-e003Coalescence-mGAM-p5,15054,24408
G4-e004Assembly-epsilon-p3,14548,23412
B3-e003Coalescence-Inoculumn-mBHI,15060,24418
A8-e003Coalescence-mBHI-p5,14888,23984
D5-e004Assembly-mGAM-p7,14826,23891
D9-e003Coalescence-mBHI-p3,13955,22794
D5-e003Assembly-mBHI-p5,14960,24226
A5-e003Coalescence-mBHI-p7,14802,24000
BG-Fecal,8564,14037
D2-e003Coalescence-mGAM-p5,15056,24411
B9-e003Assembly-mGAM-p5,14749,24016
D3-e003Coalescence-mGAM-p3,15014,24311
D9-e003Coalescence-mGAM-p3,15029,24381
D3-e003Coalescence-mGAM-p5,14986,24306
C10-e003Coalescence-mGAM-p3,15058,24372
A5-e003Coalescence-mBHI-inoculumn-redo,14953,24316
B11-e003Assembly-mGAM-p3,14499,23563
B9-e003Coalescence-mGAM-p7,15043,24385
B11-e003Coalescence-mGAM-p7,14376,23650
C3-e003Coalescence-Inoculumn-mGAM,15059,24415
B5-e003Coalescence-mBHI-p7,15014,24355
A3-e003Coalescence-mGAM-p7,14545,24171
D4-e003Coalescence-Inoculumn-mBHI,15060,24413
A4-e003Coalescence-mBHI-p5,14394,24046
B3-e003Coalescence-mBHI-p7,13008,22122
D10-e003Coalescence-mGAM-p7,15058,24407
C12-e003Coalescence-mGAM-p3,15033,24386
C11-e003Coalescence-mGAM-p3,15059,24412
D5-e004Assembly-mGAM-p3,14915,24136
A10-e003Coalescence-mBHI-p7,14957,24141
C10-e003Coalescence-mBHI-p7,15006,24261
B9-e003Coalescence-mBHI-p5,14997,24349
F4-e004Assembly-epsilon-p3,9572,15497
B10-e003Coalescence-mBHI-p3,15040,24346
C11-e003Coalescence-mBHI-p5,15039,24399
A2-e003Coalescence-mGAM-p7,14769,23810
C5-e003Assembly-mBHI-p3,14936,24198
E3-e004Assembly-mGAM-p5,13428,22738
C3-e003GlycerolRevival-mBHI-p2,7498,13218
D10-e003Coalescence-mGAM-p3,15035,24347
B10-e003Coalescence-mGAM-p7,14970,23989
C4-e004Assembly-mBHI-p3,14965,24145
A9-e003Coalescence-mBHI-p7,15037,24375
C2-e003Coalescence-Inoculumn-mGAM,15047,24365
B3-e003Coalescence-Inoculumn-mGAM,15004,24319
D11-e003Coalescence-mGAM-p7,14970,24273
D5-e003Coalescence-mGAM-p3,14979,24288
D4-e004Assembly-mGAM-p3,14923,24110
E4-e004Assembly-mGAM-p5,14988,24148
E5-e004Assembly-mGAM-p3,14253,22920
D2-e003Coalescence-Inoculumn-mBHI,14941,24273
B4-e003Coalescence-Inoculumn-mGAM,15060,24418
A10-e003Coalescence-mGAM-p7,15060,24389
