,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
E3-e004Assembly-mGAM-p7,0.5873015873015873,0.5
B9-e003GlycerolRevival-mGAM-p2,0.0,0.0
C4-e003Coalescence-mGAM-p3,0.48148148148148145,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D5-e003Coalescence-mGAM-p7,0.291005291005291,0.5
C5-e003Coalescence-mBHI-p5,0.0,0.0
C5-e003Coalescence-mGAM-p3,0.25925925925925924,0.0
D9-e003Assembly-mGAM-p5,0.36772486772486773,0.5
B12-e003Coalescence-mGAM-p3,0.0,0.0
A11-e003Coalescence-mBHI-p7,0.32275132275132273,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D10-e003Assembly-mGAM-p3,0.41534391534391535,0.0
C3-e003Coalescence-mGAM-p5,0.4708994708994709,0.0
B4-e004Assembly-mBHI-p5,0.6322751322751323,0.0
C10-e003GlycerolRevival-mGAM-p2,0.48677248677248675,0.0
D3-e003Assembly-mBHI-p5,0.23544973544973544,0.5
A10-e003Coalescence-mGAM-p3,0.4497354497354497,0.0
A9-e003Coalescence-mBHI-p3,0.0,0.0
A2-e003Coalescence-Inoculumn-mBHI,0.6005291005291006,0.0
D3-e003Coalescence-mBHI-p7,0.0,0.0
C3-e003Coalescence-mBHI-p5,0.5555555555555556,0.0
D11-e003Assembly-mGAM-p3,0.0,0.0
D2-e003Assembly-mBHI-p3,0.6137566137566137,0.0
A9-e003Coalescence-mBHI-p5,0.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
B2-e003Coalescence-mGAM-p3,0.5423280423280423,0.5
B4-e003Assembly-mBHI-p3,0.47354497354497355,0.0
C11-e003Coalescence-mGAM-p5,0.0,0.0
G4-e004Assembly-epsilon-p3,0.6164021164021164,0.0
B3-e003Coalescence-Inoculumn-mBHI,0.5582010582010583,0.5
A8-e003Coalescence-mBHI-p5,0.6481481481481481,0.0
D5-e004Assembly-mGAM-p7,0.5529100529100529,0.0
D9-e003Coalescence-mBHI-p3,0.0026455026455026454,0.0
D5-e003Assembly-mBHI-p5,0.0,0.0
A5-e003Coalescence-mBHI-p7,0.005291005291005291,0.0
BG-Fecal,0.38095238095238093,0.5
D2-e003Coalescence-mGAM-p5,0.0,0.0
B9-e003Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-mGAM-p3,0.1402116402116402,0.0
D9-e003Coalescence-mGAM-p3,0.0,0.0
D3-e003Coalescence-mGAM-p5,0.0,0.0
C10-e003Coalescence-mGAM-p3,0.4576719576719577,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.0026455026455026454,0.0
B11-e003Assembly-mGAM-p3,0.13756613756613756,0.0
B9-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003Coalescence-mGAM-p7,0.010582010582010581,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B5-e003Coalescence-mBHI-p7,0.0,0.0
A3-e003Coalescence-mGAM-p7,0.5343915343915344,0.5
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.0
A4-e003Coalescence-mBHI-p5,0.6243386243386243,0.5
B3-e003Coalescence-mBHI-p7,0.5476190476190477,0.5
D10-e003Coalescence-mGAM-p7,0.0,0.0
C12-e003Coalescence-mGAM-p3,0.0,0.0
C11-e003Coalescence-mGAM-p3,0.0,0.0
D5-e004Assembly-mGAM-p3,0.4576719576719577,0.0
A10-e003Coalescence-mBHI-p7,0.4417989417989418,0.0
C10-e003Coalescence-mBHI-p7,0.46825396825396826,0.0
B9-e003Coalescence-mBHI-p5,0.0,0.0
F4-e004Assembly-epsilon-p3,0.40476190476190477,0.0
B10-e003Coalescence-mBHI-p3,0.0,0.0
C11-e003Coalescence-mBHI-p5,0.0,0.0
A2-e003Coalescence-mGAM-p7,0.6507936507936508,0.0
C5-e003Assembly-mBHI-p3,0.0026455026455026454,0.0
E3-e004Assembly-mGAM-p5,0.58994708994709,0.5
C3-e003GlycerolRevival-mBHI-p2,0.35714285714285715,0.0
D10-e003Coalescence-mGAM-p3,0.0026455026455026454,0.0
B10-e003Coalescence-mGAM-p7,0.582010582010582,0.0
C4-e004Assembly-mBHI-p3,0.626984126984127,0.0
A9-e003Coalescence-mBHI-p7,0.0,0.0
C2-e003Coalescence-Inoculumn-mGAM,0.31216931216931215,0.0
B3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D11-e003Coalescence-mGAM-p7,0.0,0.0
D5-e003Coalescence-mGAM-p3,0.0,0.0
D4-e004Assembly-mGAM-p3,0.5608465608465608,0.0
E4-e004Assembly-mGAM-p5,0.6243386243386243,0.0
E5-e004Assembly-mGAM-p3,0.6190476190476191,0.5
D2-e003Coalescence-Inoculumn-mBHI,0.021164021164021163,0.0
B4-e003Coalescence-Inoculumn-mGAM,0.0,0.0
A10-e003Coalescence-mGAM-p7,0.43915343915343913,0.0
B2-e003Assembly-mBHI-p3,0.6216931216931217,0.0
F4-e004Assembly-epsilon-p7,0.48412698412698413,0.0
D9-e003Coalescence-mBHI-p5,0.0,0.0
C4-e003Coalescence-Inoculumn-mGAM,0.4126984126984127,0.0
D4-e003Coalescence-mGAM-p3,0.0,0.0
B9-e003Coalescence-mBHI-p7,0.0,0.0
A2-e003Coalescence-mGAM-p5,0.6481481481481481,0.0
D11-e003Assembly-mGAM-p5,0.06878306878306878,0.0
C3-e003Coalescence-mGAM-p7,0.4576719576719577,0.0
B11-e003GlycerolRevival-mGAM-p2,0.0,0.0
C5-e004Assembly-mBHI-p7,0.35714285714285715,0.5
B3-e003Coalescence-mGAM-p5,0.5238095238095238,0.5
D9-e003Coalescence-mBHI-p7,0.0,0.0
B10-e003Assembly-mGAM-p3,0.47883597883597884,0.0
D3-e004Assembly-mGAM-p5,0.5925925925925926,0.5
C5-e003Coalescence-mBHI-p7,0.0,0.0
D12-e003Coalescence-mBHI-p3,0.013227513227513227,0.0
D4-e004Assembly-mGAM-p7,0.6296296296296297,0.0
C11-e003Coalescence-mGAM-p7,0.0,0.0
C11-e003Assembly-mGAM-p3,0.0,0.0
D10-e003Coalescence-mBHI-p7,0.0,0.0
C9-e003Coalescence-mBHI-p7,0.07407407407407407,0.0
A2-e003Coalescence-mBHI-p3,0.3994708994708995,0.0
B8-e003Coalescence-mGAM-p5,0.0,0.0
C3-e004Assembly-mBHI-p3,0.582010582010582,0.5
C11-e003Assembly-mGAM-p5,0.0,0.0
B10-e003GlycerolRevival-mGAM-p2,0.4126984126984127,0.0
B3-e003Coalescence-mBHI-p5,0.6216931216931217,0.5
C2-e003Coalescence-mBHI-inoculumn-redo,0.5,0.0
A8-e003Coalescence-mGAM-p7,0.6507936507936508,0.0
C11-e003GlycerolRevival-mGAM-p2,0.0,0.0
B2-e003Coalescence-Inoculumn-mBHI,0.47354497354497355,0.5
A11-e003Coalescence-mBHI-p5,0.3888888888888889,0.0
C10-e003Coalescence-mGAM-p5,0.43386243386243384,0.0
C4-e003Assembly-mBHI-p5,0.5873015873015873,0.5
C9-e003Assembly-mGAM-p5,0.5317460317460317,0.5
A5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D4-e003Coalescence-Inoculumn-mGAM,0.10317460317460317,0.0
A2-e003Coalescence-mBHI-p5,0.47883597883597884,0.0
B5-e004Assembly-mBHI-p5,0.6111111111111112,0.5
C5-e003Assembly-mBHI-p5,0.010582010582010581,0.0
C10-e003Coalescence-mBHI-p5,0.4603174603174603,0.0
B9-e003Coalescence-mBHI-p3,0.0,0.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.46296296296296297,0.0
B5-e003Coalescence-mGAM-p3,0.23015873015873015,0.0
BK-Fecal,0.6164021164021164,0.0
A5-e003Coalescence-mBHI-p3,0.010582010582010581,0.0
C4-e004Assembly-mBHI-p7,0.6349206349206349,0.0
A4-e003Coalescence-mBHI-p3,0.29894179894179895,0.5
