,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,10593,2925
C9-e003Coalescence-mGAM-p3,10568,2927
B5-e004Assembly-mBHI-p3,10196,2855
C11-e003Coalescence-mBHI-p3,10596,2934
D11-e003Coalescence-mBHI-p5,10597,2931
C9-e003Coalescence-mGAM-p7,10418,2899
C8-e003Coalescence-mGAM-p7,10434,2907
D10-e003Coalescence-mBHI-p3,10610,2942
F3-e004Assembly-epsilon-p3,9425,2610
B2-e003Coalescence-mBHI-p3,3884,1168
A8-e003Coalescence-mBHI-p3,10491,2946
A4-e003Coalescence-mBHI-p7,9945,2782
B9-e003Coalescence-mGAM-p5,10609,2941
A4-e003Coalescence-mBHI-inoculumn-redo,10416,2899
B3-e003Coalescence-mBHI-p3,10306,2915
D4-e003Coalescence-mBHI-p5,10592,2933
C2-e003Coalescence-mBHI-p5,6354,1804
B3-e004Assembly-mBHI-p7,9958,2783
B5-e004Assembly-mBHI-p7,10318,2872
D4-e003Coalescence-mBHI-p3,10506,2910
C4-e003GlycerolRevival-mBHI-p2,10289,2911
C5-e004Assembly-mBHI-p3,10082,2809
D10-e003Assembly-mGAM-p5,10285,2819
C3-e004Assembly-mBHI-p5,9892,2771
B8-e003Assembly-mGAM-p5,10358,2942
F4-e004Assembly-epsilon-p5,8034,2262
C4-e003Coalescence-mGAM-p7,10485,2935
B12-e003Coalescence-mBHI-p3,10382,2825
D3-e004Assembly-mGAM-p7,9944,2785
C8-e003Assembly-mGAM-p3,10163,2912
C3-e003Coalescence-mGAM-p3,10497,2924
B4-e003Assembly-mBHI-p5,10345,2880
D4-e004Assembly-mGAM-p5,10451,2918
D3-e003Coalescence-Inoculumn-mBHI,10610,2943
C8-e003Assembly-mGAM-p5,8767,2643
C3-e003Coalescence-mBHI-p7,10392,2892
D11-e003Coalescence-mGAM-p5,10587,2910
A11-e003Coalescence-mGAM-p7,10604,2926
B8-e003Coalescence-mBHI-p5,10596,2928
B10-e003Assembly-mGAM-p5,10312,2826
C2-e003Coalescence-mGAM-p7,10368,2889
D3-e003Coalescence-mBHI-p5,10586,2936
B11-e003Coalescence-mGAM-p3,10598,2926
C4-e003Coalescence-mBHI-inoculumn-redo,10378,2885
B5-e003Assembly-mBHI-p5,10601,2921
D2-e003Coalescence-mBHI-p5,10276,2815
D8-e003Assembly-mGAM-p5,10173,2916
D5-e003Coalescence-mGAM-p5,10603,2932
B5-e003Coalescence-mBHI-p5,10602,2926
D5-e003Coalescence-mBHI-p7,10602,2936
C9-e003Coalescence-mBHI-p5,10612,2938
A10-e003Coalescence-mBHI-p3,9791,2809
A5-e003Coalescence-mGAM-p3,10580,2925
A2-e003Coalescence-Inoculumn-mGAM,10457,2946
E5-e004Assembly-mGAM-p5,10260,2869
D8-e003Coalescence-mGAM-p5,10601,2926
A12-e003Coalescence-mGAM-p3,10379,2848
C2-e003Coalescence-mBHI-p3,9606,2639
C4-e004Assembly-mBHI-p5,10444,2904
D9-e003Coalescence-mGAM-p7,10122,2818
D4-e003Coalescence-mBHI-p7,10586,2942
D8-e003Assembly-mGAM-p3,9903,2869
E4-e004Assembly-mGAM-p7,10436,2913
E3-e004Assembly-mGAM-p3,9927,2784
B10-e003Coalescence-mGAM-p3,10389,2863
A9-e003Coalescence-mGAM-p7,10594,2941
D5-e004Assembly-mGAM-p5,10141,2833
B5-e003Coalescence-Inoculumn-mGAM,10584,2908
D10-e003Coalescence-mBHI-p5,10606,2940
D5-e003Coalescence-mBHI-p3,10617,2941
C5-e003Coalescence-mBHI-p3,10345,2886
D9-e003Coalescence-mGAM-p5,10571,2920
C9-e003Coalescence-mBHI-p3,10615,2944
D10-e003Coalescence-mGAM-p5,10617,2948
C8-e003Coalescence-mBHI-p7,10580,2945
B11-e003Assembly-mGAM-p5,10359,2787
G3-e004Assembly-epsilon-p7,9884,2764
B4-e003Coalescence-mGAM-p5,10338,2877
D4-e003Coalescence-mGAM-p5,10609,2944
C3-e004Assembly-mBHI-p7,9917,2776
B5-e003Coalescence-mGAM-p5,10616,2941
B5-e003Coalescence-Inoculumn-mBHI,10607,2942
G3-e004Assembly-epsilon-p3,9107,2556
C2-e003Coalescence-mGAM-p3,10388,2892
B5-e003Coalescence-mGAM-p7,10585,2923
D8-e003Coalescence-mBHI-p5,10602,2946
E5-e004Assembly-mGAM-p7,9882,2774
C10-e003Assembly-mGAM-p3,10164,2869
B10-e003Coalescence-mBHI-p5,10617,2945
D5-e003Coalescence-Inoculumn-mGAM,10530,2882
B3-e004Assembly-mBHI-p5,9914,2779
B5-e003Coalescence-mBHI-p3,10603,2943
G4-e004Assembly-epsilon-p5,9170,2511
C4-e003Coalescence-mGAM-p5,10424,2898
C5-e003Coalescence-mGAM-p7,10585,2939
C5-e003Coalescence-mBHI-inoculumn-redo,10617,2948
A2-e003Coalescence-mBHI-p7,3745,1166
A10-e003Coalescence-mBHI-p5,10493,2941
B8-e003Assembly-mGAM-p3,9757,2838
A4-e003Coalescence-mGAM-p5,10592,2928
D5-e003Coalescence-mBHI-p5,10352,2881
D4-e003Coalescence-mGAM-p7,10618,2948
E4-e004Assembly-mGAM-p3,10437,2915
A8-e003Coalescence-mBHI-p7,10498,2946
E3-e004Assembly-mGAM-p7,9945,2778
B9-e003GlycerolRevival-mGAM-p2,10531,2896
C4-e003Coalescence-mGAM-p3,10580,2941
B2-e003Coalescence-Inoculumn-mGAM,10596,2947
D5-e003Coalescence-mGAM-p7,10141,2797
C5-e003Coalescence-mBHI-p5,10462,2910
C5-e003Coalescence-mGAM-p3,10424,2895
D9-e003Assembly-mGAM-p5,6829,1849
B12-e003Coalescence-mGAM-p3,10508,2889
A11-e003Coalescence-mBHI-p7,10461,2931
A3-e003Coalescence-Inoculumn-mGAM,10582,2948
D10-e003Assembly-mGAM-p3,10457,2916
C3-e003Coalescence-mGAM-p5,10389,2894
B4-e004Assembly-mBHI-p5,10457,2920
C10-e003GlycerolRevival-mGAM-p2,10377,2889
D3-e003Assembly-mBHI-p5,4469,1215
A10-e003Coalescence-mGAM-p3,10393,2896
A9-e003Coalescence-mBHI-p3,10606,2937
A2-e003Coalescence-Inoculumn-mBHI,10620,2948
D3-e003Coalescence-mBHI-p7,10589,2935
C3-e003Coalescence-mBHI-p5,10154,2819
D11-e003Assembly-mGAM-p3,10516,2875
D2-e003Assembly-mBHI-p3,9568,2794
