,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,30318,8121
C9-e003Coalescence-mGAM-p3,30370,8206
B5-e004Assembly-mBHI-p3,29117,7983
C11-e003Coalescence-mBHI-p3,30339,8176
D11-e003Coalescence-mBHI-p5,30358,8138
C9-e003Coalescence-mGAM-p7,30174,8207
C8-e003Coalescence-mGAM-p7,30309,8207
D10-e003Coalescence-mBHI-p3,30374,8195
F3-e004Assembly-epsilon-p3,26375,7309
B2-e003Coalescence-mBHI-p3,13866,3382
A8-e003Coalescence-mBHI-p3,30002,8131
A4-e003Coalescence-mBHI-p7,28219,7726
B9-e003Coalescence-mGAM-p5,30382,8173
A4-e003Coalescence-mBHI-inoculumn-redo,30257,8203
B3-e003Coalescence-mBHI-p3,29250,8028
D4-e003Coalescence-mBHI-p5,30337,8195
C2-e003Coalescence-mBHI-p5,17895,4971
B3-e004Assembly-mBHI-p7,27926,7749
B5-e004Assembly-mBHI-p7,29496,8058
D4-e003Coalescence-mBHI-p3,30249,8196
C4-e003GlycerolRevival-mBHI-p2,29187,8012
C5-e004Assembly-mBHI-p3,28695,7880
D10-e003Assembly-mGAM-p5,28285,7782
C3-e004Assembly-mBHI-p5,27837,7730
B8-e003Assembly-mGAM-p5,29854,8082
F4-e004Assembly-epsilon-p5,23012,6060
C4-e003Coalescence-mGAM-p7,29761,8126
B12-e003Coalescence-mBHI-p3,29579,7789
D3-e004Assembly-mGAM-p7,27934,7751
C8-e003Assembly-mGAM-p3,29533,7973
C3-e003Coalescence-mGAM-p3,30285,8207
B4-e003Assembly-mBHI-p5,29703,8183
D4-e004Assembly-mGAM-p5,30023,8133
D3-e003Coalescence-Inoculumn-mBHI,30388,8197
C8-e003Assembly-mGAM-p5,26721,7019
C3-e003Coalescence-mBHI-p7,30056,8200
D11-e003Coalescence-mGAM-p5,30303,8097
A11-e003Coalescence-mGAM-p7,30377,8149
B8-e003Coalescence-mBHI-p5,30336,8117
B10-e003Assembly-mGAM-p5,28473,7809
C2-e003Coalescence-mGAM-p7,29918,8195
D3-e003Coalescence-mBHI-p5,30338,8173
B11-e003Coalescence-mGAM-p3,30362,8160
C4-e003Coalescence-mBHI-inoculumn-redo,30402,8209
B5-e003Assembly-mBHI-p5,30338,8090
D2-e003Coalescence-mBHI-p5,29544,7779
D8-e003Assembly-mGAM-p5,29537,7937
D5-e003Coalescence-mGAM-p5,30363,8172
B5-e003Coalescence-mBHI-p5,30298,8145
D5-e003Coalescence-mBHI-p7,30371,8173
C9-e003Coalescence-mBHI-p5,30385,8205
A10-e003Coalescence-mBHI-p3,28408,7625
A5-e003Coalescence-mGAM-p3,30323,8116
A2-e003Coalescence-Inoculumn-mGAM,29956,8150
E5-e004Assembly-mGAM-p5,29328,8027
D8-e003Coalescence-mGAM-p5,30373,8140
A12-e003Coalescence-mGAM-p3,29939,7887
C2-e003Coalescence-mBHI-p3,26673,7411
C4-e004Assembly-mBHI-p5,29940,8102
D9-e003Coalescence-mGAM-p7,28843,7884
D4-e003Coalescence-mBHI-p7,30368,8203
D8-e003Assembly-mGAM-p3,29027,7817
E4-e004Assembly-mGAM-p7,29973,8096
E3-e004Assembly-mGAM-p3,27910,7742
B10-e003Coalescence-mGAM-p3,29752,8079
A9-e003Coalescence-mGAM-p7,30364,8173
D5-e004Assembly-mGAM-p5,29028,7948
B5-e003Coalescence-Inoculumn-mGAM,30308,8089
D10-e003Coalescence-mBHI-p5,30363,8179
D5-e003Coalescence-mBHI-p3,30382,8149
C5-e003Coalescence-mBHI-p3,29788,8177
D9-e003Coalescence-mGAM-p5,30239,8138
C9-e003Coalescence-mBHI-p3,30393,8204
D10-e003Coalescence-mGAM-p5,30399,8209
C8-e003Coalescence-mBHI-p7,30112,8165
B11-e003Assembly-mGAM-p5,29630,7774
G3-e004Assembly-epsilon-p7,27663,7692
B4-e003Coalescence-mGAM-p5,29661,8179
D4-e003Coalescence-mGAM-p5,30400,8208
C3-e004Assembly-mBHI-p7,27836,7736
B5-e003Coalescence-mGAM-p5,30373,8171
B5-e003Coalescence-Inoculumn-mBHI,30360,8180
G3-e004Assembly-epsilon-p3,25511,7088
C2-e003Coalescence-mGAM-p3,30114,8194
B5-e003Coalescence-mGAM-p7,30304,8118
D8-e003Coalescence-mBHI-p5,30371,8158
E5-e004Assembly-mGAM-p7,28125,7752
C10-e003Assembly-mGAM-p3,28879,7864
B10-e003Coalescence-mBHI-p5,30395,8208
D5-e003Coalescence-Inoculumn-mGAM,30176,8011
B3-e004Assembly-mBHI-p5,27800,7723
B5-e003Coalescence-mBHI-p3,30358,8171
G4-e004Assembly-epsilon-p5,26217,6957
C4-e003Coalescence-mGAM-p5,30237,8201
C5-e003Coalescence-mGAM-p7,30393,8207
C5-e003Coalescence-mBHI-inoculumn-redo,30400,8209
A2-e003Coalescence-mBHI-p7,11689,2783
A10-e003Coalescence-mBHI-p5,29931,8127
B8-e003Assembly-mGAM-p3,28667,7746
A4-e003Coalescence-mGAM-p5,30333,8122
D5-e003Coalescence-mBHI-p5,29775,8190
D4-e003Coalescence-mGAM-p7,30393,8209
E4-e004Assembly-mGAM-p3,29943,8100
A8-e003Coalescence-mBHI-p7,30034,8141
E3-e004Assembly-mGAM-p7,27924,7745
B9-e003GlycerolRevival-mGAM-p2,30260,8017
C4-e003Coalescence-mGAM-p3,30276,8194
B2-e003Coalescence-Inoculumn-mGAM,30228,8174
D5-e003Coalescence-mGAM-p7,29174,7670
C5-e003Coalescence-mBHI-p5,30356,8207
C5-e003Coalescence-mGAM-p3,30216,8203
D9-e003Assembly-mGAM-p5,19101,5189
B12-e003Coalescence-mGAM-p3,30162,7999
A11-e003Coalescence-mBHI-p7,30100,8028
A3-e003Coalescence-Inoculumn-mGAM,30215,8154
D10-e003Assembly-mGAM-p3,29549,8050
C3-e003Coalescence-mGAM-p5,29996,8197
B4-e004Assembly-mBHI-p5,29996,8119
C10-e003GlycerolRevival-mGAM-p2,29008,7930
D3-e003Assembly-mBHI-p5,12624,3338
A10-e003Coalescence-mGAM-p3,30100,8203
A9-e003Coalescence-mBHI-p3,30361,8164
A2-e003Coalescence-Inoculumn-mBHI,27145,7193
D3-e003Coalescence-mBHI-p7,30357,8154
C3-e003Coalescence-mBHI-p5,28749,8013
D11-e003Assembly-mGAM-p3,30104,7972
D2-e003Assembly-mBHI-p3,28343,7589
A9-e003Coalescence-mBHI-p5,30257,8070
D5-e003Coalescence-Inoculumn-mBHI,30402,8209
B2-e003Coalescence-mGAM-p3,29065,7933
B4-e003Assembly-mBHI-p3,29573,8087
C11-e003Coalescence-mGAM-p5,30399,8209
G4-e004Assembly-epsilon-p3,29111,7825
B3-e003Coalescence-Inoculumn-mBHI,28293,7734
A8-e003Coalescence-mBHI-p5,29915,8104
D5-e004Assembly-mGAM-p7,29345,8042
D9-e003Coalescence-mBHI-p3,28489,7461
D5-e003Assembly-mBHI-p5,30240,8025
A5-e003Coalescence-mBHI-p7,29992,7936
BG-Fecal,17009,4379
D2-e003Coalescence-mGAM-p5,30402,8194
B9-e003Assembly-mGAM-p5,29978,7904
D3-e003Coalescence-mGAM-p3,30234,8183
D9-e003Coalescence-mGAM-p3,30378,8172
D3-e003Coalescence-mGAM-p5,30384,8172
C10-e003Coalescence-mGAM-p3,30198,8203
A5-e003Coalescence-mBHI-inoculumn-redo,30376,8174
B11-e003Assembly-mGAM-p3,29385,7779
B9-e003Coalescence-mGAM-p7,30378,8182
B11-e003Coalescence-mGAM-p7,29152,7922
C3-e003Coalescence-Inoculumn-mGAM,30398,8209
B5-e003Coalescence-mBHI-p7,30354,8155
A3-e003Coalescence-mGAM-p7,29397,7980
D4-e003Coalescence-Inoculumn-mBHI,30402,8209
A4-e003Coalescence-mBHI-p5,28894,7893
B3-e003Coalescence-mBHI-p7,26435,7219
D10-e003Coalescence-mGAM-p7,30396,8208
C12-e003Coalescence-mGAM-p3,30365,8198
C11-e003Coalescence-mGAM-p3,30401,8209
D5-e004Assembly-mGAM-p3,29912,8107
A10-e003Coalescence-mBHI-p7,30096,8179
C10-e003Coalescence-mBHI-p7,30071,8180
B9-e003Coalescence-mBHI-p5,30351,8120
F4-e004Assembly-epsilon-p3,19373,4981
B10-e003Coalescence-mBHI-p3,30342,8181
C11-e003Coalescence-mBHI-p5,30387,8185
A2-e003Coalescence-mGAM-p7,29685,7991
C5-e003Assembly-mBHI-p3,30204,8026
E3-e004Assembly-mGAM-p5,27897,7739
C3-e003GlycerolRevival-mBHI-p2,16051,4445
D10-e003Coalescence-mGAM-p3,30273,8196
B10-e003Coalescence-mGAM-p7,29407,8142
C4-e004Assembly-mBHI-p3,30014,8128
A9-e003Coalescence-mBHI-p7,30365,8164
C2-e003Coalescence-Inoculumn-mGAM,30339,8205
B3-e003Coalescence-Inoculumn-mGAM,30339,8114
D11-e003Coalescence-mGAM-p7,30296,8109
D5-e003Coalescence-mGAM-p3,30382,8170
D4-e004Assembly-mGAM-p3,29932,8067
E4-e004Assembly-mGAM-p5,30002,8135
E5-e004Assembly-mGAM-p3,28082,7697
D2-e003Coalescence-Inoculumn-mBHI,30356,8156
B4-e003Coalescence-Inoculumn-mGAM,30402,8207
A10-e003Coalescence-mGAM-p7,30204,8206
B2-e003Assembly-mBHI-p3,27531,7264
F4-e004Assembly-epsilon-p7,23479,6147
D9-e003Coalescence-mBHI-p5,30344,8119
C4-e003Coalescence-Inoculumn-mGAM,30268,8191
D4-e003Coalescence-mGAM-p3,30360,8205
B9-e003Coalescence-mBHI-p7,30144,8018
A2-e003Coalescence-mGAM-p5,29881,8107
D11-e003Assembly-mGAM-p5,24040,6141
C3-e003Coalescence-mGAM-p7,30159,8203
B11-e003GlycerolRevival-mGAM-p2,29431,7685
C5-e004Assembly-mBHI-p7,15843,4448
B3-e003Coalescence-mGAM-p5,29394,8042
D9-e003Coalescence-mBHI-p7,30317,8072
B10-e003Assembly-mGAM-p3,28382,7766
D3-e004Assembly-mGAM-p5,27922,7749
C5-e003Coalescence-mBHI-p7,30394,8208
D12-e003Coalescence-mBHI-p3,25461,6639
D4-e004Assembly-mGAM-p7,30048,8148
