,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,11384,12568
C9-e003Coalescence-mGAM-p3,11395,12504
B5-e004Assembly-mBHI-p3,11166,12236
C11-e003Coalescence-mBHI-p3,11408,12573
D11-e003Coalescence-mBHI-p5,11397,12582
C9-e003Coalescence-mGAM-p7,11269,12375
C8-e003Coalescence-mGAM-p7,11287,12406
D10-e003Coalescence-mBHI-p3,11420,12584
F3-e004Assembly-epsilon-p3,10340,10807
B2-e003Coalescence-mBHI-p3,4753,5713
A8-e003Coalescence-mBHI-p3,11395,12596
A4-e003Coalescence-mBHI-p7,11110,12078
B9-e003Coalescence-mGAM-p5,11407,12582
A4-e003Coalescence-mBHI-inoculumn-redo,11277,12383
B3-e003Coalescence-mBHI-p3,11428,12580
D4-e003Coalescence-mBHI-p5,11400,12548
C2-e003Coalescence-mBHI-p5,7315,7799
B3-e004Assembly-mBHI-p7,10862,11410
B5-e004Assembly-mBHI-p7,11238,12314
D4-e003Coalescence-mBHI-p3,11329,12475
C4-e003GlycerolRevival-mBHI-p2,11430,12581
C5-e004Assembly-mBHI-p3,10965,12061
D10-e003Assembly-mGAM-p5,11022,11679
C3-e004Assembly-mBHI-p5,10837,11383
B8-e003Assembly-mGAM-p5,11343,12579
F4-e004Assembly-epsilon-p5,8621,9710
C4-e003Coalescence-mGAM-p7,11429,12594
B12-e003Coalescence-mBHI-p3,11042,12272
D3-e004Assembly-mGAM-p7,10857,11419
C8-e003Assembly-mGAM-p3,11156,12474
C3-e003Coalescence-mGAM-p3,11354,12464
B4-e003Assembly-mBHI-p5,11205,12315
D4-e004Assembly-mGAM-p5,11298,12529
D3-e003Coalescence-Inoculumn-mBHI,11384,12525
C8-e003Assembly-mGAM-p5,9727,11432
C3-e003Coalescence-mBHI-p7,11257,12371
D11-e003Coalescence-mGAM-p5,11376,12560
A11-e003Coalescence-mGAM-p7,11410,12583
B8-e003Coalescence-mBHI-p5,11385,12574
B10-e003Assembly-mGAM-p5,11060,11725
C2-e003Coalescence-mGAM-p7,11219,12351
D3-e003Coalescence-mBHI-p5,11413,12591
B11-e003Coalescence-mGAM-p3,11404,12578
C4-e003Coalescence-mBHI-inoculumn-redo,11223,12351
B5-e003Assembly-mBHI-p5,11372,12582
D2-e003Coalescence-mBHI-p5,11008,12252
D8-e003Assembly-mGAM-p5,11139,12486
D5-e003Coalescence-mGAM-p5,11361,12516
B5-e003Coalescence-mBHI-p5,11426,12581
D5-e003Coalescence-mBHI-p7,11411,12580
C9-e003Coalescence-mBHI-p5,11424,12587
A10-e003Coalescence-mBHI-p3,10734,12075
A5-e003Coalescence-mGAM-p3,11380,12559
A2-e003Coalescence-Inoculumn-mGAM,11390,12592
E5-e004Assembly-mGAM-p5,11216,12290
D8-e003Coalescence-mGAM-p5,11393,12585
A12-e003Coalescence-mGAM-p3,11160,12411
C2-e003Coalescence-mBHI-p3,10462,11358
C4-e004Assembly-mBHI-p5,11281,12504
D9-e003Coalescence-mGAM-p7,11031,11849
D4-e003Coalescence-mBHI-p7,11391,12544
D8-e003Assembly-mGAM-p3,10915,12288
E4-e004Assembly-mGAM-p7,11288,12528
E3-e004Assembly-mGAM-p3,10852,11417
B10-e003Coalescence-mGAM-p3,11301,12327
A9-e003Coalescence-mGAM-p7,11405,12576
D5-e004Assembly-mGAM-p5,11101,12174
B5-e003Coalescence-Inoculumn-mGAM,11366,12564
D10-e003Coalescence-mBHI-p5,11416,12585
D5-e003Coalescence-mBHI-p3,11363,12545
C5-e003Coalescence-mBHI-p3,11208,12333
D9-e003Coalescence-mGAM-p5,11396,12561
C9-e003Coalescence-mBHI-p3,11422,12587
D10-e003Coalescence-mGAM-p5,11430,12596
C8-e003Coalescence-mBHI-p7,11418,12595
B11-e003Assembly-mGAM-p5,11087,12316
G3-e004Assembly-epsilon-p7,10799,11311
B4-e003Coalescence-mGAM-p5,11195,12340
D4-e003Coalescence-mGAM-p5,11423,12589
C3-e004Assembly-mBHI-p7,10842,11400
B5-e003Coalescence-mGAM-p5,11392,12559
B5-e003Coalescence-Inoculumn-mBHI,11380,12535
G3-e004Assembly-epsilon-p3,10045,10476
C2-e003Coalescence-mGAM-p3,11241,12367
B5-e003Coalescence-mGAM-p7,11370,12549
D8-e003Coalescence-mBHI-p5,11410,12587
E5-e004Assembly-mGAM-p7,10878,11879
C10-e003Assembly-mGAM-p3,11219,12303
B10-e003Coalescence-mBHI-p5,11428,12597
D5-e003Coalescence-Inoculumn-mGAM,11311,12522
B3-e004Assembly-mBHI-p5,10836,11375
B5-e003Coalescence-mBHI-p3,11427,12589
G4-e004Assembly-epsilon-p5,9853,11115
C4-e003Coalescence-mGAM-p5,11280,12386
C5-e003Coalescence-mGAM-p7,11401,12587
C5-e003Coalescence-mBHI-inoculumn-redo,11429,12587
A2-e003Coalescence-mBHI-p7,4162,5038
A10-e003Coalescence-mBHI-p5,11351,12582
B8-e003Assembly-mGAM-p3,10769,12130
A4-e003Coalescence-mGAM-p5,11392,12572
D5-e003Coalescence-mBHI-p5,11218,12334
D4-e003Coalescence-mGAM-p7,11431,12597
E4-e004Assembly-mGAM-p3,11295,12513
A8-e003Coalescence-mBHI-p7,11404,12596
E3-e004Assembly-mGAM-p7,10861,11422
B9-e003GlycerolRevival-mGAM-p2,11326,12535
C4-e003Coalescence-mGAM-p3,11424,12589
B2-e003Coalescence-Inoculumn-mGAM,11415,12596
D5-e003Coalescence-mGAM-p7,10880,12130
C5-e003Coalescence-mBHI-p5,11291,12416
C5-e003Coalescence-mGAM-p3,11274,12377
D9-e003Assembly-mGAM-p5,7578,7747
B12-e003Coalescence-mGAM-p3,11289,12512
A11-e003Coalescence-mBHI-p7,11291,12552
A3-e003Coalescence-Inoculumn-mGAM,11402,12593
D10-e003Assembly-mGAM-p3,11419,12565
C3-e003Coalescence-mGAM-p5,11263,12366
B4-e004Assembly-mBHI-p5,11289,12528
C10-e003GlycerolRevival-mGAM-p2,11253,12179
D3-e003Assembly-mBHI-p5,4883,5031
A10-e003Coalescence-mGAM-p3,11249,12362
A9-e003Coalescence-mBHI-p3,11401,12578
A2-e003Coalescence-Inoculumn-mBHI,11432,12597
D3-e003Coalescence-mBHI-p7,11394,12578
C3-e003Coalescence-mBHI-p5,11002,12060
D11-e003Assembly-mGAM-p3,11270,12496
D2-e003Assembly-mBHI-p3,10623,12100
A9-e003Coalescence-mBHI-p5,11336,12549
D5-e003Coalescence-Inoculumn-mBHI,11359,12519
B2-e003Coalescence-mGAM-p3,11396,12547
B4-e003Assembly-mBHI-p3,11381,12494
C11-e003Coalescence-mGAM-p5,11426,12594
G4-e004Assembly-epsilon-p3,10939,12207
B3-e003Coalescence-Inoculumn-mBHI,11432,12597
A8-e003Coalescence-mBHI-p5,11344,12590
D5-e004Assembly-mGAM-p7,11198,12300
D9-e003Coalescence-mBHI-p3,10637,11724
D5-e003Assembly-mBHI-p5,11346,12549
A5-e003Coalescence-mBHI-p7,11214,12438
BG-Fecal,6560,7163
D2-e003Coalescence-mGAM-p5,11424,12596
B9-e003Assembly-mGAM-p5,11221,12425
D3-e003Coalescence-mGAM-p3,11385,12560
D9-e003Coalescence-mGAM-p3,11409,12581
D3-e003Coalescence-mGAM-p5,11361,12530
C10-e003Coalescence-mGAM-p3,11307,12407
A5-e003Coalescence-mBHI-inoculumn-redo,11365,12538
B11-e003Assembly-mGAM-p3,10980,12187
B9-e003Coalescence-mGAM-p7,11421,12593
B11-e003Coalescence-mGAM-p7,11117,12070
C3-e003Coalescence-Inoculumn-mGAM,11432,12597
B5-e003Coalescence-mBHI-p7,11396,12581
