,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
E5-e004Assembly-mGAM-p7,0.6402204338698391,0.47566881003413514
C10-e003Assembly-mGAM-p3,0.6593771868439469,0.0
B10-e003Coalescence-mBHI-p5,0.3129811056682995,0.10454870207192189
D5-e003Coalescence-Inoculumn-mGAM,0.39503149055283415,0.6959593554020799
B3-e004Assembly-mBHI-p5,0.7135234429671099,0.37167579582440263
B5-e003Coalescence-mBHI-p3,0.34858292512246325,0.0018258315471937764
G4-e004Assembly-epsilon-p5,0.4217984604618614,0.7533539731682146
C4-e003Coalescence-mGAM-p5,0.6389083275017495,0.00015876796062554578
C5-e003Coalescence-mGAM-p7,0.35444366689993,0.5227435103596094
C5-e003Coalescence-mBHI-inoculumn-redo,0.2280440867739678,0.22116376915138525
A2-e003Coalescence-mBHI-p7,0.0,0.399857108835437
A10-e003Coalescence-mBHI-p5,0.0001749475157452764,0.6794474874970231
B8-e003Assembly-mGAM-p3,0.0001749475157452764,0.9623719933317456
A4-e003Coalescence-mGAM-p5,0.3738628411476557,0.67563705644201
D5-e003Coalescence-mBHI-p5,0.6231630510846746,0.6021274906723824
D4-e003Coalescence-mGAM-p7,0.3558432470258922,0.5259188695721203
E4-e004Assembly-mGAM-p3,0.40920223932820154,0.755656108597285
A8-e003Coalescence-mBHI-p7,0.0001749475157452764,0.9991267762165595
E3-e004Assembly-mGAM-p7,0.7144856543037089,0.3723108676669048
B9-e003GlycerolRevival-mGAM-p2,0.48504198740377885,0.6747638326585695
C4-e003Coalescence-mGAM-p3,0.6487928621413576,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0001749475157452764,0.5471937762959435
D5-e003Coalescence-mGAM-p7,0.37491252624212734,0.672858617131063
C5-e003Coalescence-mBHI-p5,0.3541812456263121,0.3730253234897198
C5-e003Coalescence-mGAM-p3,0.28017844646606016,0.46360244502659365
D9-e003Assembly-mGAM-p5,0.532627711686494,0.19750734301817893
B12-e003Coalescence-mGAM-p3,0.49238978306508047,0.7832023497658173
A11-e003Coalescence-mBHI-p7,0.005685794261721484,0.7195363975549735
A3-e003Coalescence-Inoculumn-mGAM,0.0001749475157452764,0.6939747558942605
D10-e003Assembly-mGAM-p3,0.5768019594121764,0.0
C3-e003Coalescence-mGAM-p5,0.6261371588523443,0.0005556878621894102
B4-e004Assembly-mBHI-p5,0.4727081875437369,0.8436929427641502
C10-e003GlycerolRevival-mGAM-p2,0.7443142057382786,0.003413511153449234
D3-e003Assembly-mBHI-p5,0.3479706088173548,0.13400015876796062
A10-e003Coalescence-mGAM-p3,0.007610216934919524,0.575692625228229
A9-e003Coalescence-mBHI-p3,0.4053533939818055,0.329602286258633
A2-e003Coalescence-Inoculumn-mBHI,0.0,0.9995236961181234
D3-e003Coalescence-mBHI-p7,0.5048985304408677,0.25005953798523456
C3-e003Coalescence-mBHI-p5,0.6287613715885234,0.33523854886083987
D11-e003Assembly-mGAM-p3,0.38357242827151855,0.6810351671032786
D2-e003Assembly-mBHI-p3,8.74737578726382e-05,0.9599904739223625
A9-e003Coalescence-mBHI-p5,0.44952764170748777,0.7219179169643566
D5-e003Coalescence-Inoculumn-mBHI,0.27982855143456964,0.331348733825514
B2-e003Coalescence-mGAM-p3,0.7792162351294611,0.0
B4-e003Assembly-mBHI-p3,0.6161651504548635,0.0011907597046915933
C11-e003Coalescence-mGAM-p5,0.3608292512246326,0.1267762165594983
G4-e004Assembly-epsilon-p3,0.4596745976207138,0.8228149559418909
B3-e003Coalescence-Inoculumn-mBHI,0.8875962211336599,0.0
A8-e003Coalescence-mBHI-p5,0.0001749475157452764,0.9921409859490354
D5-e004Assembly-mGAM-p7,0.512071378586424,0.5006747638326585
D9-e003Coalescence-mBHI-p3,0.45302659202239326,0.6831785345717234
D5-e003Assembly-mBHI-p5,0.38357242827151855,0.6890529491148686
A5-e003Coalescence-mBHI-p7,0.3999300209937019,0.6977058029689609
BG-Fecal,0.3265395381385584,0.35167103278558387
D2-e003Coalescence-mGAM-p5,0.0005248425472358292,0.6575375089306977
B9-e003Assembly-mGAM-p5,0.4447165850244926,0.4320870048424228
D3-e003Coalescence-mGAM-p3,0.27807907627711687,0.427482733984282
D9-e003Coalescence-mGAM-p3,0.3853219034289713,0.2985631499563388
D3-e003Coalescence-mGAM-p5,0.2661826452064381,0.46939747558942607
C10-e003Coalescence-mGAM-p3,0.5398005598320503,0.23775502103675478
A5-e003Coalescence-mBHI-inoculumn-redo,0.1517669699090273,0.4516948479796777
B11-e003Assembly-mGAM-p3,0.35470608817354793,0.6527744701119315
B9-e003Coalescence-mGAM-p7,0.42643456962911125,0.3041994125585457
B11-e003Coalescence-mGAM-p7,0.3806857942617215,0.2622052869730888
C3-e003Coalescence-Inoculumn-mGAM,0.2904128761371588,0.0
B5-e003Coalescence-mBHI-p7,0.5068229531140658,0.3265856950067476
A3-e003Coalescence-mGAM-p7,0.792074877536739,7.938398031277289e-05
D4-e003Coalescence-Inoculumn-mBHI,0.2241077676696991,0.1571802810192903
A4-e003Coalescence-mBHI-p5,0.9885409377186843,0.0
B3-e003Coalescence-mBHI-p7,0.9176871938418475,0.0
D10-e003Coalescence-mGAM-p7,0.3415850244926522,0.4853536556322934
C12-e003Coalescence-mGAM-p3,0.3547935619314206,0.2277526395173454
C11-e003Coalescence-mGAM-p3,0.3224282715185444,0.0007144558228149559
D5-e004Assembly-mGAM-p3,0.38978306508047583,0.47344605858537747
A10-e003Coalescence-mBHI-p7,0.0002624212736179146,0.634039850758117
C10-e003Coalescence-mBHI-p7,0.54907277816655,0.2819718980709693
