,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,12519,12184
C9-e003Coalescence-mGAM-p3,12477,12230
B5-e004Assembly-mBHI-p3,12102,11854
C11-e003Coalescence-mBHI-p3,12527,12225
D11-e003Coalescence-mBHI-p5,12532,12234
C9-e003Coalescence-mGAM-p7,12305,12128
C8-e003Coalescence-mGAM-p7,12335,12165
D10-e003Coalescence-mBHI-p3,12536,12255
F3-e004Assembly-epsilon-p3,11136,10537
B2-e003Coalescence-mBHI-p3,4570,4887
A8-e003Coalescence-mBHI-p3,12425,12261
A4-e003Coalescence-mBHI-p7,11703,11386
B9-e003Coalescence-mGAM-p5,12538,12257
A4-e003Coalescence-mBHI-inoculumn-redo,12303,12118
B3-e003Coalescence-mBHI-p3,12126,11821
D4-e003Coalescence-mBHI-p5,12504,12219
C2-e003Coalescence-mBHI-p5,7436,7352
B3-e004Assembly-mBHI-p7,11757,11102
B5-e004Assembly-mBHI-p7,12212,11904
D4-e003Coalescence-mBHI-p3,12406,12159
C4-e003GlycerolRevival-mBHI-p2,12101,11806
C5-e004Assembly-mBHI-p3,11928,11663
D10-e003Assembly-mGAM-p5,12136,11376
C3-e004Assembly-mBHI-p5,11684,11059
B8-e003Assembly-mGAM-p5,12252,12239
F4-e004Assembly-epsilon-p5,9467,9354
C4-e003Coalescence-mGAM-p7,12371,12126
B12-e003Coalescence-mBHI-p3,12255,11683
D3-e004Assembly-mGAM-p7,11743,11102
C8-e003Assembly-mGAM-p3,12035,12114
C3-e003Coalescence-mGAM-p3,12408,12199
B4-e003Assembly-mBHI-p5,12221,12063
D4-e004Assembly-mGAM-p5,12339,12183
D3-e003Coalescence-Inoculumn-mBHI,12482,12140
C8-e003Assembly-mGAM-p5,10417,11058
C3-e003Coalescence-mBHI-p7,12277,12100
D11-e003Coalescence-mGAM-p5,12515,12184
A11-e003Coalescence-mGAM-p7,12532,12250
B8-e003Coalescence-mBHI-p5,12532,12224
B10-e003Assembly-mGAM-p5,12172,11436
C2-e003Coalescence-mGAM-p7,12243,12092
D3-e003Coalescence-mBHI-p5,12517,12240
B11-e003Coalescence-mGAM-p3,12535,12252
C4-e003Coalescence-mBHI-inoculumn-redo,12258,12074
B5-e003Assembly-mBHI-p5,12518,12186
D2-e003Coalescence-mBHI-p5,12099,11730
D8-e003Assembly-mGAM-p5,12009,12126
D5-e003Coalescence-mGAM-p5,12473,12127
B5-e003Coalescence-mBHI-p5,12512,12188
D5-e003Coalescence-mBHI-p7,12531,12242
C9-e003Coalescence-mBHI-p5,12530,12258
A10-e003Coalescence-mBHI-p3,11602,11741
A5-e003Coalescence-mGAM-p3,12482,12201
A2-e003Coalescence-Inoculumn-mGAM,12538,12275
E5-e004Assembly-mGAM-p5,12144,11861
D8-e003Coalescence-mGAM-p5,12531,12238
A12-e003Coalescence-mGAM-p3,12257,11993
C2-e003Coalescence-mBHI-p3,11342,11089
C4-e004Assembly-mBHI-p5,12322,12143
D9-e003Coalescence-mGAM-p7,11937,11486
D4-e003Coalescence-mBHI-p7,12483,12230
D8-e003Assembly-mGAM-p3,11753,11972
E4-e004Assembly-mGAM-p7,12315,12156
E3-e004Assembly-mGAM-p3,11734,11105
B10-e003Coalescence-mGAM-p3,12268,11959
A9-e003Coalescence-mGAM-p7,12531,12254
D5-e004Assembly-mGAM-p5,12007,11786
B5-e003Coalescence-Inoculumn-mGAM,12522,12172
D10-e003Coalescence-mBHI-p5,12531,12247
D5-e003Coalescence-mBHI-p3,12514,12171
C5-e003Coalescence-mBHI-p3,12221,12034
D9-e003Coalescence-mGAM-p5,12478,12141
C9-e003Coalescence-mBHI-p3,12529,12248
D10-e003Coalescence-mGAM-p5,12538,12273
C8-e003Coalescence-mBHI-p7,12480,12258
B11-e003Assembly-mGAM-p5,12223,11645
G3-e004Assembly-epsilon-p7,11680,11001
B4-e003Coalescence-mGAM-p5,12218,12077
D4-e003Coalescence-mGAM-p5,12526,12264
C3-e004Assembly-mBHI-p7,11694,11061
B5-e003Coalescence-mGAM-p5,12517,12201
B5-e003Coalescence-Inoculumn-mBHI,12483,12157
G3-e004Assembly-epsilon-p3,10757,10183
C2-e003Coalescence-mGAM-p3,12268,12115
B5-e003Coalescence-mGAM-p7,12488,12188
D8-e003Coalescence-mBHI-p5,12510,12253
E5-e004Assembly-mGAM-p7,11684,11513
C10-e003Assembly-mGAM-p3,12002,11740
B10-e003Coalescence-mBHI-p5,12536,12269
D5-e003Coalescence-Inoculumn-mGAM,12476,12038
B3-e004Assembly-mBHI-p5,11704,11062
B5-e003Coalescence-mBHI-p3,12520,12234
G4-e004Assembly-epsilon-p5,10771,10661
C4-e003Coalescence-mGAM-p5,12320,12132
C5-e003Coalescence-mGAM-p7,12500,12252
C5-e003Coalescence-mBHI-inoculumn-redo,12533,12264
A2-e003Coalescence-mBHI-p7,4349,4996
A10-e003Coalescence-mBHI-p5,12375,12248
B8-e003Assembly-mGAM-p3,11569,11786
A4-e003Coalescence-mGAM-p5,12533,12233
D5-e003Coalescence-mBHI-p5,12226,12085
D4-e003Coalescence-mGAM-p7,12537,12274
E4-e004Assembly-mGAM-p3,12306,12161
A8-e003Coalescence-mBHI-p7,12459,12260
E3-e004Assembly-mGAM-p7,11738,11112
B9-e003GlycerolRevival-mGAM-p2,12490,12119
C4-e003Coalescence-mGAM-p3,12495,12242
B2-e003Coalescence-Inoculumn-mGAM,12535,12273
D5-e003Coalescence-mGAM-p7,11888,11605
C5-e003Coalescence-mBHI-p5,12363,12159
C5-e003Coalescence-mGAM-p3,12315,12143
D9-e003Assembly-mGAM-p5,7959,7613
B12-e003Coalescence-mGAM-p3,12459,12066
A11-e003Coalescence-mBHI-p7,12326,12157
A3-e003Coalescence-Inoculumn-mGAM,12522,12268
D10-e003Assembly-mGAM-p3,12328,11966
C3-e003Coalescence-mGAM-p5,12282,12116
B4-e004Assembly-mBHI-p5,12317,12172
C10-e003GlycerolRevival-mGAM-p2,12233,11807
D3-e003Assembly-mBHI-p5,5208,4971
A10-e003Coalescence-mGAM-p3,12279,12114
A9-e003Coalescence-mBHI-p3,12534,12251
A2-e003Coalescence-Inoculumn-mBHI,10838,11205
D3-e003Coalescence-mBHI-p7,12529,12240
C3-e003Coalescence-mBHI-p5,11943,11845
D11-e003Assembly-mGAM-p3,12416,12031
D2-e003Assembly-mBHI-p3,11304,11688
A9-e003Coalescence-mBHI-p5,12495,12137
D5-e003Coalescence-Inoculumn-mBHI,12486,12135
B2-e003Coalescence-mGAM-p3,12063,11736
B4-e003Assembly-mBHI-p3,12337,12047
C11-e003Coalescence-mGAM-p5,12537,12273
G4-e004Assembly-epsilon-p3,11972,11849
B3-e003Coalescence-Inoculumn-mBHI,11695,11353
A8-e003Coalescence-mBHI-p5,12292,12244
D5-e004Assembly-mGAM-p7,12150,11879
D9-e003Coalescence-mBHI-p3,11778,11103
D5-e003Assembly-mBHI-p5,12481,12112
A5-e003Coalescence-mBHI-p7,12400,11881
BG-Fecal,7170,7248
D2-e003Coalescence-mGAM-p5,12538,12267
B9-e003Assembly-mGAM-p5,12376,11983
D3-e003Coalescence-mGAM-p3,12461,12208
D9-e003Coalescence-mGAM-p3,12536,12257
D3-e003Coalescence-mGAM-p5,12497,12139
C10-e003Coalescence-mGAM-p3,12361,12142
A5-e003Coalescence-mBHI-inoculumn-redo,12479,12150
B11-e003Assembly-mGAM-p3,12010,11665
B9-e003Coalescence-mGAM-p7,12536,12254
B11-e003Coalescence-mGAM-p7,12034,11621
C3-e003Coalescence-Inoculumn-mGAM,12537,12273
B5-e003Coalescence-mBHI-p7,12530,12243
A3-e003Coalescence-mGAM-p7,12180,11809
D4-e003Coalescence-Inoculumn-mBHI,12536,12268
A4-e003Coalescence-mBHI-p5,11993,11662
B3-e003Coalescence-mBHI-p7,10982,10734
D10-e003Coalescence-mGAM-p7,12538,12275
C12-e003Coalescence-mGAM-p3,12528,12242
C11-e003Coalescence-mGAM-p3,12537,12274
D5-e004Assembly-mGAM-p3,12332,12066
A10-e003Coalescence-mBHI-p7,12493,12263
C10-e003Coalescence-mBHI-p7,12485,12163
B9-e003Coalescence-mBHI-p5,12532,12212
F4-e004Assembly-epsilon-p3,7886,7818
B10-e003Coalescence-mBHI-p3,12517,12209
C11-e003Coalescence-mBHI-p5,12535,12268
A2-e003Coalescence-mGAM-p7,12177,12193
C5-e003Assembly-mBHI-p3,12468,12099
E3-e004Assembly-mGAM-p5,11730,11096
C3-e003GlycerolRevival-mBHI-p2,6871,6405
D10-e003Coalescence-mGAM-p3,12424,12184
B10-e003Coalescence-mGAM-p7,12122,11985
C4-e004Assembly-mBHI-p3,12332,12175
A9-e003Coalescence-mBHI-p7,12533,12258
C2-e003Coalescence-Inoculumn-mGAM,12534,12274
B3-e003Coalescence-Inoculumn-mGAM,12538,12275
D11-e003Coalescence-mGAM-p7,12505,12168
D5-e003Coalescence-mGAM-p3,12485,12140
D4-e004Assembly-mGAM-p3,12256,12137
E4-e004Assembly-mGAM-p5,12335,12180
E5-e004Assembly-mGAM-p3,11720,11446
D2-e003Coalescence-Inoculumn-mBHI,12477,12143
B4-e003Coalescence-Inoculumn-mGAM,12538,12273
A10-e003Coalescence-mGAM-p7,12289,12148
B2-e003Assembly-mBHI-p3,10849,11359
F4-e004Assembly-epsilon-p7,9604,9466
D9-e003Coalescence-mBHI-p5,12530,12198
C4-e003Coalescence-Inoculumn-mGAM,12517,12240
D4-e003Coalescence-mGAM-p3,12382,12185
B9-e003Coalescence-mBHI-p7,12459,12048
A2-e003Coalescence-mGAM-p5,12326,12242
D11-e003Assembly-mGAM-p5,9578,8724
C3-e003Coalescence-mGAM-p7,12297,12131
B11-e003GlycerolRevival-mGAM-p2,12140,11558
C5-e004Assembly-mBHI-p7,6707,6626
B3-e003Coalescence-mGAM-p5,12181,11841
D9-e003Coalescence-mBHI-p7,12513,12176
B10-e003Assembly-mGAM-p3,12109,11414
D3-e004Assembly-mGAM-p5,11747,11095
C5-e003Coalescence-mBHI-p7,12533,12257
D12-e003Coalescence-mBHI-p3,10454,9341
D4-e004Assembly-mGAM-p7,12349,12197
C11-e003Coalescence-mGAM-p7,12523,12269
C11-e003Assembly-mGAM-p3,12487,12175
D10-e003Coalescence-mBHI-p7,12532,12256
C9-e003Coalescence-mBHI-p7,12301,12111
A2-e003Coalescence-mBHI-p3,7348,7997
B8-e003Coalescence-mGAM-p5,12538,12274
C3-e004Assembly-mBHI-p3,11689,11063
C11-e003Assembly-mGAM-p5,12455,12113
B10-e003GlycerolRevival-mGAM-p2,12458,12176
B3-e003Coalescence-mBHI-p5,11926,11632
C2-e003Coalescence-mBHI-inoculumn-redo,12300,12103
A8-e003Coalescence-mGAM-p7,12412,12265
C11-e003GlycerolRevival-mGAM-p2,12513,12179
B2-e003Coalescence-Inoculumn-mBHI,9483,9951
A11-e003Coalescence-mBHI-p5,12464,12234
C10-e003Coalescence-mGAM-p5,12375,12158
C4-e003Assembly-mBHI-p5,12075,11752
C9-e003Assembly-mGAM-p5,10704,10264
A5-e003Coalescence-Inoculumn-mGAM,12517,12270
D4-e003Coalescence-Inoculumn-mGAM,12398,12141
A2-e003Coalescence-mBHI-p5,8200,9021
B5-e004Assembly-mBHI-p5,12161,11872
C5-e003Assembly-mBHI-p5,12102,11524
C10-e003Coalescence-mBHI-p5,12396,11983
B9-e003Coalescence-mBHI-p3,12414,11995
C3-e003Coalescence-mBHI-inoculumn-redo,12332,12122
B5-e003Coalescence-mGAM-p3,12394,12083
BK-Fecal,11157,11050
A5-e003Coalescence-mBHI-p3,7029,6070
C4-e004Assembly-mBHI-p7,12302,12155
A4-e003Coalescence-mBHI-p3,5469,5580
C9-e003GlycerolRevival-mGAM-p2,11561,11113
B4-e004Assembly-mBHI-p3,12333,12163
F3-e004Assembly-epsilon-p5,7538,7056
C9-e003Coalescence-mGAM-p5,12438,12186
A2-e003Coalescence-mBHI-inoculumn-redo,11554,11693
C2-e003Coalescence-mGAM-p5,12269,12101
B8-e003GlycerolRevival-mGAM-p2,12297,12254
C8-e003Coalescence-mBHI-p5,12510,12268
B8-e003Coalescence-mGAM-p7,12538,12271
B4-e003Coalescence-Inoculumn-mBHI,12291,12120
D2-e003Coalescence-Inoculumn-mGAM,12471,12264
B8-e003Coalescence-mBHI-p7,12514,12204
B3-e004Assembly-mBHI-p3,11714,11063
D3-e003Coalescence-Inoculumn-mGAM,12533,12234
B11-e003Coalescence-mBHI-p3,12504,12146
C5-e003Coalescence-Inoculumn-mGAM,12533,12269
C4-e003Coalescence-mBHI-p5,12265,12102
G3-e004Assembly-epsilon-p5,11492,10874
BC-Fecal,4498,4175
e004-inoculumn-fecal-BE,6528,6417
A11-e003Coalescence-mBHI-p3,12535,12273
B4-e004Assembly-mBHI-p7,12332,12148
A4-e003Coalescence-Inoculumn-mGAM,12537,12275
B4-e003Coalescence-mBHI-p3,9411,9252
A5-e003Coalescence-Inoculumn-mBHI,12309,11964
A9-e003Coalescence-mGAM-p5,12536,12265
C10-e003Coalescence-mGAM-p7,12359,12161
F3-e004Assembly-epsilon-p7,9057,8610
A11-e003Coalescence-mGAM-p3,12525,12261
C10-e003Coalescence-mBHI-p3,12430,12190
D2-e003Coalescence-mBHI-p3,12498,12173
C5-e003GlycerolRevival-mBHI-p2,12426,12084
H5-e003Coalescence-mBHI-p5_S40,12529,12231
E2-e003Coalescence-mGAM-p7_S145,12067,12241
G5-e003Coalescence-mBHI-p7_S124,12534,12246
H111-e003Coalescence-mGAM-p7_S188,12524,12177
H4-e003Coalescence-mGAM-p7_S183,12535,12256
F5-e003Coalescence-mGAM-p5_S64,12311,12039
F5-e003Coalescence-mGAM-p7_S160,12439,12166
F8-e003Coalescence-mBHI-p3_S117,12497,11963
H3-e003Coalescence-mBHI-p3_S46,12236,11872
H2-e003Coalescence-mBHI-p7_S133,12345,11874
E5-e003Coalescence-mBHI-p3_S12,12447,12061
F100-e003Coalescence-mGAM-p7_S163,12077,11751
F9-e003Coalescence-mBHI-p5_S18,12462,11935
H3-e003Coalescence-mBHI-p7_S134,12458,12071
