,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,15828,5947
C9-e003Coalescence-mGAM-p3,15928,5973
B5-e004Assembly-mBHI-p3,15540,5673
C11-e003Coalescence-mBHI-p3,15881,5962
D11-e003Coalescence-mBHI-p5,15869,5965
C9-e003Coalescence-mGAM-p7,15915,5934
C8-e003Coalescence-mGAM-p7,15924,5971
D10-e003Coalescence-mBHI-p3,15909,5970
F3-e004Assembly-epsilon-p3,14218,4956
B2-e003Coalescence-mBHI-p3,6222,2394
A8-e003Coalescence-mBHI-p3,15815,5967
A4-e003Coalescence-mBHI-p7,14968,5052
B9-e003Coalescence-mGAM-p5,15900,5968
A4-e003Coalescence-mBHI-inoculumn-redo,15901,5950
B3-e003Coalescence-mBHI-p3,15544,5324
D4-e003Coalescence-mBHI-p5,15914,5954
C2-e003Coalescence-mBHI-p5,9607,3169
B3-e004Assembly-mBHI-p7,15051,5305
B5-e004Assembly-mBHI-p7,15645,5723
D4-e003Coalescence-mBHI-p3,15903,5942
C4-e003GlycerolRevival-mBHI-p2,15514,5279
C5-e004Assembly-mBHI-p3,15294,5587
D10-e003Assembly-mGAM-p5,15170,5198
C3-e004Assembly-mBHI-p5,14986,5279
B8-e003Assembly-mGAM-p5,15637,5966
F4-e004Assembly-epsilon-p5,11769,4527
C4-e003Coalescence-mGAM-p7,15785,5637
B12-e003Coalescence-mBHI-p3,15309,5783
D3-e004Assembly-mGAM-p7,15041,5311
C8-e003Assembly-mGAM-p3,15389,5921
C3-e003Coalescence-mGAM-p3,15931,5932
B4-e003Assembly-mBHI-p5,15846,5874
D4-e004Assembly-mGAM-p5,15706,5921
D3-e003Coalescence-Inoculumn-mBHI,15828,5878
C8-e003Assembly-mGAM-p5,13374,5419
C3-e003Coalescence-mBHI-p7,15881,5900
D11-e003Coalescence-mGAM-p5,15828,5953
A11-e003Coalescence-mGAM-p7,15882,5971
B8-e003Coalescence-mBHI-p5,15840,5965
B10-e003Assembly-mGAM-p5,15233,5241
C2-e003Coalescence-mGAM-p7,15867,5912
D3-e003Coalescence-mBHI-p5,15868,5953
B11-e003Coalescence-mGAM-p3,15880,5966
C4-e003Coalescence-mBHI-inoculumn-redo,15864,5894
B5-e003Assembly-mBHI-p5,15832,5958
D2-e003Coalescence-mBHI-p5,15247,5784
D8-e003Assembly-mGAM-p5,15322,5919
