,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-p1_S724,9906,11328
A3-e003Coalescence-mGAM-p1_S728,12672,14515
A3-e003Coalescence-mGAM-p7,12562,14377
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,11557,12997
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,12612,14386
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,4849,5129
B2-e003Coalescence-Inoculumn-mBHI,9929,11365
B2-e003Coalescence-mBHI-p1_S717,10427,12001
B2-e003Coalescence-mBHI-p3,4802,6090
B2-e003Coalescence-mGAM-p3,12600,14408
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,12658,14457
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,12590,14335
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,12673,14521
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,4486,6485
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,12673,14521
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,12673,14520
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,12673,14518
E3-e003Coalescence-mBHI-p1_S788,5878,6616
E3-e003Coalescence-mBHI-p3_S10,2888,3379
E3-e003Coalescence-mBHI-p5_S2,5461,7375
E3-e003Coalescence-mGAM-p1_S792,12635,14464
E3-e003Coalescence-mGAM-p3_S58,12621,14367
E3-e003Coalescence-mGAM-p5_S50,12670,14491
E3-e003Coalescence-mGAM-p7_S146,12379,14012
F2-e003Coalescence-mBHI-p1_S781,6748,7832
F2-e003Coalescence-mBHI-p5_S13,11872,14151
F2-e003Coalescence-mGAM-p1_S785,12669,14506
F2-e003Coalescence-mGAM-p3_S69,12616,14394
F2-e003Coalescence-mGAM-p5_S61,12673,14510
F2-e003Coalescence-mGAM-p7_S157,12668,14483
