,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,7634,3125
A5-e003Coalescence-mBHI-inoculumn-redo,7715,3183
A5-e003Coalescence-mBHI-p1_S740,7700,3151
A5-e003Coalescence-mBHI-p3,4335,1713
A5-e003Coalescence-mBHI-p7,7599,3080
A5-e003Coalescence-mGAM-p1_S744,7672,3135
A5-e003Coalescence-mGAM-p3,7677,3168
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,7714,3178
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,7674,3104
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,7717,3177
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,7698,3134
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,7704,3179
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,7698,3166
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,7716,3185
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,7719,3195
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,7707,3134
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,7440,2955
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,7716,3189
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,6763,2730
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,7716,3193
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,7679,3181
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,7696,3152
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,7679,3149
D2-e003Coalescence-Inoculumn-mBHI,7713,3179
D2-e003Coalescence-mBHI-p1_S719,7675,3135
D2-e003Coalescence-mBHI-p3,7694,3147
D2-e003Coalescence-mBHI-p5,7517,3074
D2-e003Coalescence-mGAM-p1_S723,7706,3172
D2-e003Coalescence-mGAM-p5,7718,3194
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,7716,3188
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,7719,3195
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,7710,3190
E5-e003Coalescence-mBHI-p1_S804,7681,3158
E5-e003Coalescence-mBHI-p3_S12,7655,3103
E5-e003Coalescence-mBHI-p5_S4,7627,3116
E5-e003Coalescence-mBHI-p7_S100,7665,3133
E5-e003Coalescence-mGAM-p1_S808,7684,3164
E5-e003Coalescence-mGAM-p3_S60,7650,3147
E5-e003Coalescence-mGAM-p5_S52,7690,3178
E5-e003Coalescence-mGAM-p7_S148,7712,3184
H2-e003Coalescence-mBHI-p1_S783,7678,3149
H2-e003Coalescence-mBHI-p3_S45,7669,3139
H2-e003Coalescence-mBHI-p7_S133,7585,3075
H2-e003Coalescence-mGAM-p1_S787,7710,3185
H2-e003Coalescence-mGAM-p3_S93,7677,3190
H2-e003Coalescence-mGAM-p5_S85,7538,3031
H2-e003Coalescence-mGAM-p7_S181,7706,3183
