,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
B5-e004Assembly-mBHI-p3,3,8
B2-e003Coalescence-mBHI-p3,2,8
A8-e003Coalescence-mBHI-p3,2,4
A4-e003Coalescence-mBHI-p7,3,8
C2-e003Coalescence-mBHI-p5,2,6
B3-e004Assembly-mBHI-p7,1,6
B5-e004Assembly-mBHI-p7,3,8
C4-e003GlycerolRevival-mBHI-p2,3,8
G5-e004Assembly-epsilon-p3,3,8
C5-e004Assembly-mBHI-p3,3,8
C3-e004Assembly-mBHI-p5,3,4
B2-e003Coalescence-mBHI-p5,0,3
C8-e003Assembly-mGAM-p3,3,5
D3-e003Coalescence-Inoculumn-mBHI,3,2
B8-e003Coalescence-mBHI-p5,1,3
C2-e003Coalescence-mGAM-p7,3,8
D3-e003Coalescence-mBHI-p5,0,5
D2-e003Coalescence-mBHI-p5,3,7
A2-e003Coalescence-Inoculumn-mGAM,3,8
E5-e004Assembly-mGAM-p5,3,8
C2-e003Coalescence-mBHI-p3,3,7
D8-e003Assembly-mGAM-p3,0,7
A9-e003Coalescence-mGAM-p7,2,5
C8-e003Coalescence-mBHI-p7,3,6
G3-e004Assembly-epsilon-p7,3,8
D4-e003Coalescence-mGAM-p5,3,4
C3-e004Assembly-mBHI-p7,3,8
C2-e003Coalescence-mGAM-p3,3,8
F5-e004Assembly-epsilon-p5,3,8
E5-e004Assembly-mGAM-p7,3,8
B3-e004Assembly-mBHI-p5,2,5
A2-e003Coalescence-mBHI-p7,1,6
A10-e003Coalescence-mBHI-p5,2,6
B8-e003Assembly-mGAM-p3,0,4
A4-e003Coalescence-mGAM-p5,3,7
D5-e003Coalescence-mBHI-p5,3,8
D4-e003Coalescence-mGAM-p7,0,4
A8-e003Coalescence-mBHI-p7,3,7
B2-e003Coalescence-Inoculumn-mGAM,2,7
C5-e003Coalescence-mBHI-p5,2,7
C5-e003Coalescence-mGAM-p3,3,8
A3-e003Coalescence-Inoculumn-mGAM,2,3
A2-e003Coalescence-Inoculumn-mBHI,3,8
A9-e003Coalescence-mBHI-p5,1,4
D5-e003Coalescence-Inoculumn-mBHI,3,6
B2-e003Coalescence-mGAM-p3,3,8
A8-e003Coalescence-mBHI-p5,3,8
D5-e004Assembly-mGAM-p7,3,8
A5-e003Coalescence-mBHI-p7,2,8
D2-e003Coalescence-mGAM-p5,3,7
D3-e003Coalescence-mGAM-p5,2,3
A5-e003Coalescence-mBHI-inoculumn-redo,1,6
A3-e003Coalescence-mGAM-p7,2,4
A4-e003Coalescence-mBHI-p5,3,8
C2-e004Assembly-mBHI-p7,3,8
A10-e003Coalescence-mBHI-p7,3,8
F5-e004Assembly-epsilon-p3,3,8
