,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,13409,15122
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,13397,15111
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,13397,15084
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,13394,15101
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,13310,14979
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,13257,14920
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,13349,15039
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,13081,14623
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,13063,14567
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,12372,13820
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,11371,12510
C5-e003Coalescence-mBHI-inoculumn-redo,13410,15135
C5-e003Coalescence-mBHI-p1_S742,13361,15074
C5-e003Coalescence-mBHI-p3,12852,14355
C5-e003Coalescence-mBHI-p5,13401,15115
C5-e003Coalescence-mBHI-p7,13395,15099
C5-e003Coalescence-mGAM-p1_S746,11211,12836
C5-e003Coalescence-mGAM-p3,13393,15111
C5-e003Coalescence-mGAM-p7,13278,14933
C_C12_G5_AF_AE_mBHI_mBHI_4_S228,13269,14856
C_C4_C5_AF_AE_mBHI_mBHI_6_S220,13363,15058
C_D11_H4_AE_AF_mBHI_mBHI_4_S239,13400,15102
C_D3_D4_AE_AF_mBHI_mBHI_6_S231,13348,15024
C_G12_G5_AF_AE_mBHI_mGAM_4_S276,13103,14682
C_G4_C5_AF_AE_mBHI_mGAM_6_S268,11935,13269
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,13231,14831
C_H3_D4_AE_AF_mBHI_mGAM_6_S279,13234,14814
Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,12821,14444
D4-e003Coalescence-Inoculumn-mBHI,13410,15134
D4-e003Coalescence-mBHI-p1_S735,13404,15133
D4-e003Coalescence-mBHI-p3,13230,14881
D4-e003Coalescence-mBHI-p5,13324,14994
D4-e003Coalescence-mBHI-p7,13348,15026
D4-e003Coalescence-mGAM-p1_S739,13348,15078
D4-e003Coalescence-mGAM-p3,13389,15075
D4-e003Coalescence-mGAM-p5,13390,15091
D4-e003Coalescence-mGAM-p7,13304,14998
D_C4_C5_AF_AE_mBHI_mBHI_6_S316,13374,15033
D_D3_D4_AE_AF_mBHI_mBHI_6_S327,13327,14964
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,12113,13476
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,13387,15059
G5-e003Coalescence-mBHI-p1_S806,13304,15029
G5-e003Coalescence-mBHI-p3_S36,13212,14798
G5-e003Coalescence-mBHI-p5_S28,13373,15070
G5-e003Coalescence-mBHI-p7_S124,13299,14970
G5-e003Coalescence-mGAM-p1_S810,12128,13663
G5-e003Coalescence-mGAM-p3_S84,13318,15004
G5-e003Coalescence-mGAM-p5_S76,13319,15008
G5-e003Coalescence-mGAM-p7_S172,13346,15044
H4-e003Coalescence-mBHI-p1_S799,13393,15117
H4-e003Coalescence-mBHI-p3_S47,13362,15080
H4-e003Coalescence-mBHI-p5_S39,13360,15036
H4-e003Coalescence-mBHI-p7_S135,13352,15008
H4-e003Coalescence-mGAM-p1_S803,13184,14866
H4-e003Coalescence-mGAM-p3_S95,12506,13952
H4-e003Coalescence-mGAM-p5_S87,13264,14864
H4-e003Coalescence-mGAM-p7_S183,13360,14999
