,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p1_S765,14753,13005
B10-e003Coalescence-mBHI-p3,14970,13257
B10-e003Coalescence-mBHI-p5,15016,13282
B10-e003Coalescence-mGAM-p1_S769,15034,13210
B10-e003Coalescence-mGAM-p3,14980,13144
B10-e003Coalescence-mGAM-p7,11992,10753
B4-e003Coalescence-Inoculumn-mGAM,15029,13269
B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,14955,13278
B_C6_G9_ACPP_AE_mGAM_mBHI_2_S126,9205,8575
B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,15032,13241
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,13283,11272
C3-e003Coalescence-Inoculumn-mGAM,14995,13221
C9-e003Coalescence-mBHI-p1_S758,15033,13253
C9-e003Coalescence-mBHI-p3,15016,13282
C9-e003Coalescence-mBHI-p5,15044,13285
C9-e003Coalescence-mBHI-p7,14941,13262
C9-e003Coalescence-mGAM-p1_S762,15053,13268
C9-e003Coalescence-mGAM-p3,15014,13200
C9-e003Coalescence-mGAM-p5,15047,13267
C9-e003Coalescence-mGAM-p7,15055,13275
Coalescence-A4-B10-ACPP-AE-mGAM-mBHI-7_S623,14944,13269
Coalescence-B10-G9-ACPP-AE-mGAM-mBHI-7_S641,14962,13273
Coalescence-C10-B10-ACPP-AE-mGAM-mGAM-5_S653,15054,13287
Coalescence-F5-F10-ACPP-AE-mGAM-mBHI-3_S684,14968,13280
F10-e003Coalescence-mBHI-p1_S829,14624,12816
F10-e003Coalescence-mGAM-p1_S833,15027,13226
F100-e003Coalescence-mBHI-p7_S115,14805,13187
F100-e003Coalescence-mGAM-p3_S167,14455,12566
F100-e003Coalescence-mGAM-p5_S67,13512,11783
F100-e003Coalescence-mGAM-p7_S163,15014,13225
G9-e003Coalescence-mBHI-p1_S822,14734,12931
G9-e003Coalescence-mBHI-p3_S130,14312,12788
G9-e003Coalescence-mBHI-p5_S30,14886,13230
G9-e003Coalescence-mGAM-p1_S826,15056,13280
G9-e003Coalescence-mGAM-p3_S178,14974,13101
G9-e003Coalescence-mGAM-p5_S78,14796,12908
G9-e003Coalescence-mGAM-p7_S174,14996,13122
