,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,11877,11846
A3-e003Coalescence-mBHI-p1_S724,12388,12356
A3-e003Coalescence-mBHI-p3,12378,12396
A3-e003Coalescence-mBHI-p7,12443,12434
A3-e003Coalescence-mGAM-p1_S728,12021,11932
A3-e003Coalescence-mGAM-p7,12429,12403
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,11732,11779
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,12440,12414
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,12042,11888
B2-e003Coalescence-Inoculumn-mBHI,12317,12303
B2-e003Coalescence-mBHI-p1_S717,12365,12380
B2-e003Coalescence-mBHI-p3,12410,12417
B2-e003Coalescence-mBHI-p5,12408,12409
B2-e003Coalescence-mBHI-p7,8534,8405
B2-e003Coalescence-mGAM-p3,12393,12317
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,12380,12413
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,12437,12400
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,12440,12421
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,12310,12414
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,12439,12431
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,12433,12414
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,12437,12403
E3-e003Coalescence-mBHI-p1_S788,12306,12285
E3-e003Coalescence-mBHI-p3_S10,12176,12155
E3-e003Coalescence-mBHI-p5_S2,12356,12383
E3-e003Coalescence-mGAM-p1_S792,11963,11868
E3-e003Coalescence-mGAM-p3_S58,12302,12160
E3-e003Coalescence-mGAM-p5_S50,12384,12300
E3-e003Coalescence-mGAM-p7_S146,12334,12210
F2-e003Coalescence-mBHI-p1_S781,12211,12226
F2-e003Coalescence-mBHI-p3_S21,12024,12117
F2-e003Coalescence-mBHI-p5_S13,12415,12409
F2-e003Coalescence-mGAM-p1_S785,12208,12151
F2-e003Coalescence-mGAM-p3_S69,12308,12202
F2-e003Coalescence-mGAM-p5_S61,12363,12236
F2-e003Coalescence-mGAM-p7_S157,12321,12199
