,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,12342,13927
A5-e003Coalescence-mBHI-inoculumn-redo,12946,14643
A5-e003Coalescence-mBHI-p1_S740,12895,14580
A5-e003Coalescence-mBHI-p3,6934,7494
A5-e003Coalescence-mBHI-p7,12742,14420
A5-e003Coalescence-mGAM-p1_S744,9808,11005
A5-e003Coalescence-mGAM-p3,12895,14548
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,12996,14713
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,12832,14524
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,13003,14726
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,13002,14713
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,12958,14629
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,12893,14541
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,12953,14658
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,13000,14715
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,12984,14669
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,12309,13820
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,12981,14655
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,12506,14180
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,12941,14663
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,12769,14354
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,12992,14702
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,12995,14706
D2-e003Coalescence-Inoculumn-mBHI,12904,14613
D2-e003Coalescence-mBHI-p1_S719,12835,14480
D2-e003Coalescence-mBHI-p3,12960,14619
D2-e003Coalescence-mBHI-p5,12543,14118
D2-e003Coalescence-mGAM-p1_S723,12638,14231
D2-e003Coalescence-mGAM-p5,12986,14674
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,12995,14716
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,9872,11035
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,12998,14711
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,12888,14572
E5-e003Coalescence-mBHI-p1_S804,12797,14440
E5-e003Coalescence-mBHI-p3_S12,12758,14421
E5-e003Coalescence-mBHI-p5_S4,12802,14412
E5-e003Coalescence-mBHI-p7_S100,12674,14284
E5-e003Coalescence-mGAM-p1_S808,9513,10663
E5-e003Coalescence-mGAM-p3_S60,12820,14446
E5-e003Coalescence-mGAM-p5_S52,12801,14408
E5-e003Coalescence-mGAM-p7_S148,12875,14581
H2-e003Coalescence-mBHI-p1_S783,12823,14459
H2-e003Coalescence-mBHI-p3_S45,12936,14609
H2-e003Coalescence-mBHI-p7_S133,12817,14464
H2-e003Coalescence-mGAM-p1_S787,12861,14491
H2-e003Coalescence-mGAM-p3_S93,12726,14360
H2-e003Coalescence-mGAM-p5_S85,8905,9547
H2-e003Coalescence-mGAM-p7_S181,12971,14661
