,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,12413,12325
A4-e003Coalescence-mBHI-p1_S732,12402,12319
A4-e003Coalescence-mBHI-p3,12266,12106
A4-e003Coalescence-mBHI-p5,12386,12283
A4-e003Coalescence-mBHI-p7,12365,12255
A4-e003Coalescence-mGAM-p1_S736,12360,12251
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,12404,12315
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,12349,12214
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,12414,12330
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,12415,12327
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,12411,12312
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,12382,12261
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,12412,12318
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,12412,12324
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,12415,12328
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,12353,12194
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,12413,12324
C2-e003Coalescence-mBHI-inoculumn-redo,12400,12315
C2-e003Coalescence-mBHI-p1_S718,12044,11913
C2-e003Coalescence-mBHI-p3,12411,12321
C2-e003Coalescence-mBHI-p5,12381,12261
C2-e003Coalescence-mGAM-p1_S722,12372,12267
C2-e003Coalescence-mGAM-p3,12358,12256
C2-e003Coalescence-mGAM-p5,12391,12271
C2-e003Coalescence-mGAM-p7,12405,12317
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,12227,12066
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,12031,11806
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,12024,11761
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,12395,12307
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,12389,12307
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,12355,12265
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,11968,11755
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,11916,11603
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,12413,12323
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,12409,12325
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,12349,12241
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,12402,12315
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,12411,12322
E4-e003Coalescence-mBHI-p1_S796,11936,11823
E4-e003Coalescence-mBHI-p3_S11,12340,12204
E4-e003Coalescence-mBHI-p5_S3,12357,12227
E4-e003Coalescence-mBHI-p7_S99,12221,11977
E4-e003Coalescence-mGAM-p1_S800,7410,7009
E4-e003Coalescence-mGAM-p3_S59,12362,12227
E4-e003Coalescence-mGAM-p5_S51,12291,12055
E4-e003Coalescence-mGAM-p7_S147,12377,12230
G2-e003Coalescence-mBHI-p1_S782,12379,12293
G2-e003Coalescence-mBHI-p3_S33,12378,12240
G2-e003Coalescence-mBHI-p5_S25,12365,12232
G2-e003Coalescence-mBHI-p7_S121,10463,10019
G2-e003Coalescence-mGAM-p1_S786,11980,11770
G2-e003Coalescence-mGAM-p3_S81,12370,12205
G2-e003Coalescence-mGAM-p5_S73,12331,12184
