,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p1_S764,12110,12269
A10-e003Coalescence-mBHI-p3,11884,12028
A10-e003Coalescence-mBHI-p5,12106,12290
A10-e003Coalescence-mBHI-p7,12084,12274
A10-e003Coalescence-mGAM-p1_S768,12066,12211
A10-e003Coalescence-mGAM-p3,12104,12276
A10-e003Coalescence-mGAM-p7,12061,12200
A4-e003Coalescence-Inoculumn-mGAM,12067,12274
A8-e003Coalescence-mBHI-p1_S748,11898,12272
A8-e003Coalescence-mBHI-p3,11985,12256
A8-e003Coalescence-mBHI-p5,11966,12268
A8-e003Coalescence-mBHI-p7,11965,12222
A8-e003Coalescence-mGAM-p1_S752,11599,12051
A8-e003Coalescence-mGAM-p7,11928,12238
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,11896,12251
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,12113,12293
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,11868,12235
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,12110,12263
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,12115,12300
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,11866,12254
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,12113,12296
B_A9_A8_AA_AA_mGAM_mBHI_4_S105,11870,12243
B_C11_C10_AE_AE_mGAM_mBHI_4_S131,12109,12242
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,12101,12278
B_C7_G10_AE_AE_mGAM_mBHI_2_S127,12107,12242
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,12108,12276
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,12021,12085
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,11783,12224
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,12054,12137
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,11831,12201
B_G11_C10_AE_AE_mGAM_mGAM_4_S179,12111,12254
B_G5_G8_AA_AE_mGAM_mGAM_2_S173,11954,12025
B_G7_G10_AE_AE_mGAM_mGAM_2_S175,12110,12257
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,12077,12210
C10-e003Coalescence-mBHI-p1_S766,11523,11497
C10-e003Coalescence-mBHI-p3,12110,12275
C10-e003Coalescence-mBHI-p5,12108,12265
C10-e003Coalescence-mBHI-p7,12103,12265
C10-e003Coalescence-mGAM-p1_S770,12094,12203
C10-e003Coalescence-mGAM-p3,12086,12237
C10-e003Coalescence-mGAM-p5,12113,12279
C10-e003Coalescence-mGAM-p7,12114,12284
C2-e003Coalescence-Inoculumn-mGAM,11948,12096
C8-e003Coalescence-mBHI-p1_S750,12095,12219
C8-e003Coalescence-mBHI-p5,12112,12300
C8-e003Coalescence-mBHI-p7,12108,12297
C8-e003Coalescence-mGAM-p1_S754,12002,12153
C8-e003Coalescence-mGAM-p7,12081,12254
C_A5_A8_AA_AA_mGAM_mBHI_6_S197,11343,11797
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,11920,12067
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,12067,12235
C_C7_C10_AE_AE_mGAM_mBHI_6_S223,12104,12264
C_E5_A8_AA_AA_mGAM_mGAM_6_S245,11888,12207
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,11827,11944
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,11631,11736
C_G7_C10_AE_AE_mGAM_mGAM_6_S271,12050,12149
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,12104,12243
Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,11912,12272
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,12103,12214
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,12115,12300
Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,12115,12300
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,12101,12249
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,11578,11632
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,12107,12298
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,12100,12296
D_A9_E8_AA_AA_mGAM_mBHI_4_S297,11878,12240
D_C11_G10_AE_AE_mGAM_mBHI_4_S323,12105,12279
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,12110,12292
D_C6_C9_ACPP_AE_mGAM_mBHI_6_S318,12109,12268
D_C7_C10_AE_AE_mGAM_mBHI_6_S319,12107,12264
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,12099,12296
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,11732,11898
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,11846,12226
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,12090,12258
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,11877,12028
