,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.477,0.375
A5-e003Coalescence-mBHI-inoculumn-redo,0.45999999999999996,0.441
A5-e003Coalescence-mBHI-p3,0.583,0.267
A5-e003Coalescence-mBHI-p7,0.056,0.951
A5-e003Coalescence-mGAM-p3,0.3095,0.59
D2-e003Coalescence-Inoculumn-mBHI,0.456,0.44699999999999995
D2-e003Coalescence-mBHI-p3,0.5700000000000001,0.302
D2-e003Coalescence-mBHI-p5,0.231,0.721
D2-e003Coalescence-mBHI-p7,0.0,1.0
D2-e003Coalescence-mGAM-p5,0.0,0.965
