,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,3,2
C9-e003Coalescence-mGAM-p3,3,2
C11-e003Coalescence-mBHI-p3,3,2
D11-e003Coalescence-mBHI-p5,3,2
C9-e003Coalescence-mGAM-p7,3,2
D10-e003Coalescence-mBHI-p3,3,2
F3-e004Assembly-epsilon-p3,0,0
A4-e003Coalescence-mBHI-p7,3,2
B4-e003Coalescence-mBHI-p5,1,2
B9-e003Coalescence-mGAM-p5,3,2
D4-e003Coalescence-mBHI-p5,3,2
B3-e004Assembly-mBHI-p7,1,1
D4-e003Coalescence-mBHI-p3,3,2
C3-e004Assembly-mBHI-p5,1,2
F4-e004Assembly-epsilon-p5,0,1
B12-e003Coalescence-mBHI-p3,3,2
C3-e003Coalescence-mGAM-p3,3,2
D3-e003Coalescence-Inoculumn-mBHI,3,2
D11-e003Coalescence-mGAM-p5,1,2
A11-e003Coalescence-mGAM-p7,0,0
B8-e003Coalescence-mBHI-p5,3,2
D3-e003Coalescence-mBHI-p5,3,2
B11-e003Coalescence-mGAM-p3,3,2
B5-e003Assembly-mBHI-p5,3,2
D2-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-mGAM-p5,3,2
B5-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-mBHI-p7,3,2
C9-e003Coalescence-mBHI-p5,3,2
A5-e003Coalescence-mGAM-p3,3,2
D8-e003Coalescence-mGAM-p5,3,2
A12-e003Coalescence-mGAM-p3,1,2
D9-e003Coalescence-mGAM-p7,3,2
D4-e003Coalescence-mBHI-p7,3,2
B10-e003Coalescence-mGAM-p3,3,2
A9-e003Coalescence-mGAM-p7,3,2
B5-e003Coalescence-Inoculumn-mGAM,3,2
D10-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-mBHI-p3,3,2
C5-e003Coalescence-mBHI-p3,3,2
D9-e003Coalescence-mGAM-p5,3,2
C9-e003Coalescence-mBHI-p3,3,2
D10-e003Coalescence-mGAM-p5,3,2
B11-e003Assembly-mGAM-p5,2,2
B4-e003Coalescence-mGAM-p5,3,2
D4-e003Coalescence-mGAM-p5,3,2
C3-e004Assembly-mBHI-p7,1,2
B5-e003Coalescence-mGAM-p5,3,2
B5-e003Coalescence-Inoculumn-mBHI,3,2
B5-e003Coalescence-mGAM-p7,2,1
D8-e003Coalescence-mBHI-p5,3,2
B10-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-Inoculumn-mGAM,3,2
B3-e004Assembly-mBHI-p5,1,2
B5-e003Coalescence-mBHI-p3,3,2
C5-e003Coalescence-mGAM-p7,2,2
C5-e003Coalescence-mBHI-inoculumn-redo,3,2
A4-e003Coalescence-mGAM-p5,3,2
D5-e003Coalescence-mBHI-p5,3,2
D4-e003Coalescence-mGAM-p7,2,2
B9-e003GlycerolRevival-mGAM-p2,2,2
B2-e003Coalescence-Inoculumn-mGAM,3,2
C5-e003Coalescence-mBHI-p5,3,2
C5-e003Coalescence-mGAM-p3,3,2
B12-e003Coalescence-mGAM-p3,3,2
A11-e003Coalescence-mBHI-p7,1,2
A3-e003Coalescence-Inoculumn-mGAM,2,2
C3-e003Coalescence-mGAM-p5,2,2
A9-e003Coalescence-mBHI-p3,3,2
D3-e003Coalescence-mBHI-p7,3,2
A9-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-Inoculumn-mBHI,3,2
C11-e003Coalescence-mGAM-p5,3,2
G4-e004Assembly-epsilon-p3,0,2
D9-e003Coalescence-mBHI-p3,3,2
D5-e003Assembly-mBHI-p5,1,2
A5-e003Coalescence-mBHI-p7,3,2
D2-e003Coalescence-mGAM-p5,3,2
B9-e003Assembly-mGAM-p5,3,2
D3-e003Coalescence-mGAM-p3,3,2
D9-e003Coalescence-mGAM-p3,3,2
E2-e004Assembly-mGAM-p7,1,1
D3-e003Coalescence-mGAM-p5,3,2
