,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
G4-e003Coalescence-mBHI-p5_S27,2.8020132321147806e-05,0.9998426497963534
E8-e003Coalescence-mBHI-p5_S5,0.999875983090908,7.566307010757194e-05
G2-e003Coalescence-mBHI-p3_S33,0.912,0.082
E9-e003Coalescence-mBHI-p5_S6,0.9927286601509729,0.006665807625226178
G5-e003Coalescence-mBHI-p3_S36,0.06317418577272771,0.9368972204159574
E3-e003Coalescence-mBHI-p3_S10,0.9970118336114607,0.0023526867670143406
E5-e003Coalescence-mBHI-p7_S100,0.9994971298986485,0.00032236691931906633
E100-e003Coalescence-mBHI-p7_S103,0.9968212427897675,0.0023318419082790317
E9-e003Coalescence-mBHI-p7_S102,0.9710472708231215,0.02534270633374669
E5-e003Coalescence-mBHI-p5_S4,0.9998406270609854,0.00010740881933718322
E111-e003Coalescence-mBHI-p5_S8,0.9544804655511224,0.04042965453348793
F5-e003Coalescence-mBHI-p5_S16,0.010111831878295422,0.9880643667537746
H8-e003Coalescence-mBHI-p7_S137,0.9993228127775194,0.000384454801771166
E2-e003Coalescence-mBHI-p5_S1,0.9997086220369161,0.00017047445254760147
E2-e003Coalescence-mBHI-p3_S9,0.9997725344468277,0.00017561034834624162
G3-e003Coalescence-mBHI-p3_S34,0.0011100217188242105,0.9985214111866948
E111-e003Coalescence-mBHI-p3_S108,0.9278506770213584,0.0661562144011022
G3-e003Coalescence-mBHI-p5_S26,7.064254315365818e-05,0.9997698835355044
G5-e003Coalescence-mBHI-p5_S28,0.00010732232517574993,0.999779766580566
G4-e003Coalescence-mBHI-p3_S35,0.000105297375644132,0.9998098527681618
H2-e003Coalescence-mBHI-p3_S45,0.9998509171286013,9.581824232387128e-05
E8-e003Coalescence-mBHI-p7_S101,0.889,0.104
E4-e003Coalescence-mBHI-p5_S3,0.9935663804993092,0.006224346569414658
F2-e003Coalescence-mBHI-p3_S21,0.9929822808881433,0.00594739721687297
H8-e003Coalescence-mBHI-p5_S41,0.9992099482404394,0.0005560390473647072
E100-e003Coalescence-mBHI-p5_S7,0.9994042815868284,0.0002728523540295231
E2-e003Coalescence-mBHI-p7_S97,0.92727314230465,0.06888257850001804
F3-e003Coalescence-mBHI-p3_S22,0.0015181396136316953,0.9978927828744877
G3-e003Coalescence-mBHI-p7_S122,7.098935464656664e-05,0.9997847395831857
G8-e003Coalescence-mBHI-p3_S129,0.9998673874045605,4.0830228539531463e-05
F4-e003Coalescence-mBHI-p7_S111,0.00010133268299896978,0.9997136730922987
F3-e003Coalescence-mBHI-p5_S14,0.0022161399331657294,0.9976710987128536
G4-e003Coalescence-mBHI-p7_S123,5.139909579235441e-05,0.9998432309113733
H4-e003Coalescence-mBHI-p7_S135,0.00034953092690761546,0.9994125002153588
E3-e003Coalescence-mBHI-p5_S2,0.9937559349172617,0.00556840762858469
H3-e003Coalescence-mBHI-p5_S38,0.004261264152392661,0.995555011758329
F8-e003Coalescence-mBHI-p7_S113,0.976024507911214,0.021015873960521413
G2-e003Coalescence-mBHI-p7_S121,0.9744668378769855,0.02273647442798975
H4-e003Coalescence-mBHI-p3_S47,0.15395158121026678,0.8410367614643668
F3-e003Coalescence-mBHI-p7_S110,0.0028770474207291817,0.9962364523124957
G8-e003Coalescence-mBHI-p7_S125,0.9990443953600533,0.0007753530458654329
F4-e003Coalescence-mBHI-p5_S15,0.00034353464966600697,0.9994922837158715
E111-e003Coalescence-mBHI-p7_S104,0.9900687242694358,0.00844396401808247
F2-e003Coalescence-mBHI-p5_S13,0.955,0.041
F4-e003Coalescence-mBHI-p3_S23,0.0055073767727925015,0.9934837002783994
H4-e003Coalescence-mBHI-p5_S39,0.00024214075015122866,0.9995972861404444
G8-e003Coalescence-mBHI-p5_S29,0.999798119583699,8.703478321997529e-05
G2-e003Coalescence-mBHI-p5_S25,0.921,0.0725
E4-e003Coalescence-mBHI-p3_S11,0.9858145739103095,0.013490528806980475
F5-e003Coalescence-mBHI-p3_S24,0.011195224173589152,0.9881791993022785
E8-e003Coalescence-mBHI-p3_S105,0.9995667769346496,0.0002442893158206158
H5-e003Coalescence-mBHI-p7_S136,0.17692797582290398,0.8218926059470488
F5-e003Coalescence-mBHI-p7_S112,0.001001263038641266,0.9985778581096995
E4-e003Coalescence-mBHI-p7_S99,0.9863734842960183,0.013024400885546262
F8-e003Coalescence-mBHI-p5_S17,0.9982250328423938,0.0013963461006146838
